segmentnr	original	stemmed
BO_K10_D0181_H0182:121b-6	nye zho med par phyir yang 'gro bar bya snyam du sems te /	nye zho med ba phyir yang gro ba byed snyam du sems te 
BO_K10_D0181_H0182:121b-7	de thabs mkhas pas sman gang gis mi de'i pho mtshan med par 'gyur ba de lta bu btsal nas /	de thabs mkhas ba sman gang gis mi de pho mtshan med ba gyur ba de lta bu btsal nas 
BO_K10_D0181_H0182:121b-8	de pho mtshan med par rgyal po de dang 'dris par byas te /	de pho mtshan med ba rgyal po de dang dris ba byed te 
BO_K10_D0181_H0182:121b-9	rgyal po de la'ang 'di skad du /	rgyal po de la di skad du 
BO_K10_D0181_H0182:121b-10	lha / mkhyen par mdzad du gsol /	lha mkhyen ba mdzad du gsol 
BO_K10_D0181_H0182:121b-11	bdag gi pho mtshan ma mchis par gyur te /	bdag gi pho mtshan ma mchis ba gyur te 
BO_K10_D0181_H0182:121b-12	bdag ma rung bar gyur gyi /	bdag ma rung ba gyur gyi 
BO_K10_D0181_H0182:121b-13	lha'i btsun mo'i 'khor bsrung bar 'tshal lo zhes gsol nas /	lha btsun mo khor bsrung ba tshal lo zhes gsol nas 
BO_K10_D0181_H0182:121b-14	de rgyal po des brtags te; btsun mo'i 'khor du btang ngo //	de rgyal po des rtog te; btsun mo khor du gtong ngo 
BO_K10_D0181_H0182:121b-15	btang nas kyang mi des sman gang gis pho mtshan 'byung bar 'gyur ba de zos nas /	gtong nas kyang mi des sman gang gis pho mtshan byung ba gyur ba de zos nas 
BO_K10_D0181_H0182:121b-16	de'i rgyal po'i btsun mo dam pa dang zla ba gcig gam /	de rgyal po btsun mo dam ba dang zla ba gcig gam 
BO_K10_D0181_H0182:121b-17	gnyis sam / gsum gyi bar du lhan cig gnas nas /	gnyis sam gsum gyi ba du lhan cig gnas nas 
BO_K10_D0181_H0182:121b-18	de 'di snyam du gal te bdag rgyal pos tshor na gdon mi za bar srog dang bral bar byed kyi /	de di snyam du gal te bdag rgyal pos tshor na don mi za ba srog dang bral ba byed kyi 
BO_K10_D0181_H0182:121b-19	bdag phyir yang rgyal po'i pho brang 'di nas nye zho med pa dang; bde bar 'gro bar bya'o snyam du sems te /	bdag phyir yang rgyal po pho brang di nas nye zho med ba dang; bde ba gro ba byed snyam du sems te 
BO_K10_D0181_H0182:121b-20	des rgyal po de la /	des rgyal po de la 
BO_K10_D0181_H0182:121b-21	lha / mkhyen par mdzad du gsol /	lha mkhyen ba mdzad du gsol 
BO_K10_D0181_H0182:121b-22	bdag gi pho mtshan yang slar byung gi /	bdag gi pho mtshan yang slar byung gi 
BO_K10_D0181_H0182:122a-0	lha'i btsun mo'i 'khor nas bdag slar @122a *//	lha btsun mo khor nas bdag slar 
BO_K10_D0181_H0182:122a-1	mchi'o zhes gsol to //	mchi zhes gsol to 
BO_K10_D0181_H0182:122a-2	de nas rgyal po de 'di snyam du /	de nas rgyal po de di snyam du 
BO_K10_D0181_H0182:122a-3	kye ma / mi 'di 'di ltar 'ongs nas /	kye ma mi di di ltar ngs nas 
BO_K10_D0181_H0182:122a-4	g-yo med par nga'i btsun mo'i 'khor dang lhan cig 'dug pa gang yin pa ni dge ba zhig yin no snyam sems te /	g-yo med ba nga btsun mo khor dang lhan cig dug ba gang yin ba ni dge ba jig yin no snyam sems te 
BO_K10_D0181_H0182:122a-5	rgyal pos de la lus la bgo ba byin zhing sbyin pa byin nas btang ngo //	rgyal pos de la lus la bgod ba byin zhing sbyin ba byin nas gtong ngo 
BO_K10_D0181_H0182:122a-6	de ltar thabs la mkhas pa dang / sman pa mkhas pas rgyal po'i btsun mo'i 'khor sun phyung nas /	de ltar thabs la mkhas ba dang sman ba mkhas ba rgyal po btsun mo khor sun byin nas 
BO_K10_D0181_H0182:122a-7	phyir yang 'di ltar sman gyi yon tan dang / 'di ltar thabs mkhas pa'i phyir de thabs mkhas pas nye zho med par phyir song ngo //	phyir yang di ltar sman gyi yon tan dang di ltar thabs mkhas ba phyir de thabs mkhas ba nye zho med ba phyir gro ngo 
BO_K10_D0181_H0182:122a-8	sh'a radva ti'i bu /	sha radva ti bu 
BO_K10_D0181_H0182:122a-9	de bzhin du byang chub sems dpa' sems dpa' chen po thabs mkhas pa ni /	de bzhin du byang chub sems dpa sems dpa chen po thabs mkhas ba ni 
BO_K10_D0181_H0182:122a-10	bsam gtan dang po thob nas mnyam par gzhog go /	bsam gtan dang po thob nas mnyam ba gzhog go 
BO_K10_D0181_H0182:122a-11	bsam gtan gnyis pa dang / gsum pa dang / bzhi pa thob nas mnyam par gzhog go /	bsam gtan gnyis ba dang gsum ba dang bzhi ba thob nas mnyam ba gzhog go 
BO_K10_D0181_H0182:122a-12	nam mkha' mtha' yas skye mched kyi snyoms par 'jug pa dang / rnam shes mtha' yas skye mched kyi snyoms par 'jug pa dang / ci'ang med pa'i skye mched kyi snyoms par 'jug pa dang / 'du shes med 'du shes med min skye mched kyi snyoms par 'jug pa thob nas mnyam par 'jog ste /	nam mkha mtha yas skye mched kyi snyom ba jug ba dang rnam shes mtha yas skye mched kyi snyom ba jug ba dang ci med ba skye mched kyi snyom ba jug ba dang du shes med du shes med min skye mched kyi snyom ba jug ba thob nas mnyam ba jog ste 
BO_K10_D0181_H0182:122a-13	de la 'dris par byas nas /	de la dris ba byed nas 
BO_K10_D0181_H0182:122a-14	thabs ma / bas pas phyir yang 'dod pa'i khams su babs te /	thabs ma ba ba phyir yang dod ba khams su bab te 
BO_K10_D0181_H0182:122a-15	'dod pa'i khams la dmigs shing /	dod ba khams la dmigs shing 
BO_K10_D0181_H0182:122b-0	de sangs rgyas mthong ba dang / sangs rgyas la @122b bsnyen bkur bya ba dang yang 'bral bar mi 'gyur la /	de sangs rgya mthong ba dang sangs rgya la snyen bkur byed ba dang yang bral ba mi gyur la 
BO_K10_D0181_H0182:122b-1	yang dag pa'i mtha' yang mngon sum du mi byed do //	yang dag ba mtha yang mngon sum du mi byed do 
BO_K10_D0181_H0182:122b-2	de ci'i phyir zhe na /	de ci phyir zhe na 
