segmentnr	original	folio	stemmed
BO_T02_D2718:84b-0	@84b # // rgya gar skad du /	84b	rgya gar skad du 
BO_T02_D2718:84b-1	a'arya manydzu shr'i sto tra n'a ma /	84b	aarya manydzu shr sto tra na ma 
BO_T02_D2718:84b-2	bod skad du /	84b	bod skad du 
BO_T02_D2718:84b-3	'phags pa 'jam dpal gyi bstod pa zhes bya ba /	84b	phag ba jam dpal gyi bstod ba zhes byed ba 
BO_T02_D2718:84b-4	'phags pa 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	84b	phag ba jam dpal gzhon nur gyur ba la phyag tshal lo 
BO_T02_D2718:84b-5	don zab sngags kyi stobs kyis rab sbyangs pa'i //	84b	don zab sngags kyi stobs kyis rab sbyong ba 
BO_T02_D2718:84b-6	stong gsal nam mkha' dri med dang mtshungs las //	84b	stong gsal nam mkha dri med dang mtshungs las 
BO_T02_D2718:84b-7	bam yig las grub dkar mdangs bdud rtsi'i mtsho //	84b	bam yig las grub dkar mdangs bdud rtsi mtsho 
BO_T02_D2718:84b-8	gting zab yangs pa can la phyag 'tshal lo //	84b	gting zab yangs ba can la phyag tshal lo 
BO_T02_D2718:84b-9	mtsho mtha' glang chen thal kar gyis bskor zhing //	84b	mtsho mtha glang chen thal kar gyis skor zhing 
BO_T02_D2718:84b-10	mnyen lcug 'khril sdem pad zlum dra bas khyab //	84b	mnyen lcug khril sdem pad zlum dra ba khyab 
BO_T02_D2718:84b-11	lo ma'i gur lding dkar mdzes me tog las //	84b	lo ma gur lding dkar mdzes me tog las 
BO_T02_D2718:84b-12	yid 'phrog dri bsung ldan la phyag 'tshal lo //	84b	yid phrog dri bsung ldan la phyag tshal lo 
BO_T02_D2718:84b-13	mtsho chen dbus na bam yig las byung ba'i //	84b	mtsho chen dbus na bam yig las byung ba 
BO_T02_D2718:84b-14	pad sdong yal ga lo ma phun tshogs ser //	84b	pad sdong yal ga lo ma phun tshogs ser 
BO_T02_D2718:84b-15	'dab rgyas dkar gsal ge sar dmar ser can //	84b	dab rgya dkar gsal ge sar dmar ser can 
BO_T02_D2718:84b-16	lte ba ljang ser mtho la phyag 'tshal lo //	84b	lte ba ljang ser mtho la phyag tshal lo 
BO_T02_D2718:84b-17	de steng yi ge mchog rab yongs gyur las //	84b	de steng yi ge mchog rab yongs gyur las 
BO_T02_D2718:84b-18	rab zlum 'khor lo rnam dag phun tshogs mdzes //	84b	rab zlum khor lo rnam dag phun tshogs mdzes 
BO_T02_D2718:84b-19	shin tu mdog dkar yid 'ong 'dzin gzugs can //	84b	shin tu mdog dkar yid ng dzin gzugs can 
BO_T02_D2718:84b-20	bsil zer phyogs bcur 'gyed la phyag 'tshal lo //	84b	bsil zer phyogs jur gyed la phyag tshal lo 
BO_T02_D2718:84b-21	der bzhugs aa dkar las grub dpa' bo'i sku //	84b	der bzhugs aa dkar las grub dpa bo sku 
BO_T02_D2718:84b-22	zung bzhi'i na tshod rdo rje skyil krung brtan //	84b	zung bzhi na tshod rdo rje skyil krung brtan 
BO_T02_D2718:84b-23	chu shel dri med ji bzhin rab dkar mdangs //	84b	chu shel dri med ji bzhin rab dkar mdangs 
BO_T02_D2718:84b-24	mtshan mchog dpe byad 'bar la phyag 'tshal lo //	84b	mtshan mchog dpe byad bar la phyag tshal lo 
BO_T02_D2718:85a-0	thor tshugs rtse na rin chen @85a * //	85a	thor tshugs rtse na rin chen 
BO_T02_D2718:85a-1	me tog spud //	85a	me tog spud 
BO_T02_D2718:85a-2	rtse mo lnga ldan zur phud shin tu gsal //	85a	rtse mo lnga ldan zur bud shin tu gsal 
BO_T02_D2718:85a-3	snyan gong autpal dri ldan dar dpyangs 'phur //	85a	snyan gong autpal dri ldan dar dpyong phur 
BO_T02_D2718:85a-4	snyan shal nor bu 'phyang la phyag 'tshal lo //	85a	snyan shal nor bu phyang la phyag tshal lo 
BO_T02_D2718:85a-5	de bzhin mgul rgyan dpung rgyan phyag gdub pa dang // zhabs gdub ska rags do shal bzang ba dang // sna tshogs na bza' rin chen rgyan gyis spras //	85a	de bzhin mgul rgyan dpung rgyan phyag gdub ba dang zhabs gdub ska rags do shal bzang ba dang sna tshogs na bza rin chen rgyan gyis spras 
BO_T02_D2718:85a-6	sil sil sgra snyan 'khrol la phyag 'tshal lo //	85a	sil sil sgra snyan khrol la phyag tshal lo 
BO_T02_D2718:85a-7	phyag g-yas mchog sbyin legs par brkyang mdzad nas //	85a	phyag g-yas mchog sbyin legs ba rkyong mdzad nas 
BO_T02_D2718:85a-8	g-yon pas autpal sdong po thugs kar 'dzin //	85a	g-yon ba autpal sdong po thugs kar dzin 
BO_T02_D2718:85a-9	srab 'jam dung mdog na bzas rab brgyan cing //	85a	srab jam dung mdog na bzas rab rgyan cing 
BO_T02_D2718:85a-10	mu med 'od zer 'phro la phyag 'tshal lo //	85a	mu med d zer phro la phyag tshal lo 
BO_T02_D2718:85a-11	dpa' mchog sku yi rnam pa dran gyur nas //	85a	dpa mchog sku yi rnam ba dran gyur nas 
BO_T02_D2718:85a-12	rig sngags cung zad bzlas pa tsam gyis kyang //	85a	rig sngags cung zad bzlas ba tsam gyis kyang 
BO_T02_D2718:85a-13	dus des dar dkar ma sha'i sbyor ba yis //	85a	dus des dar dkar ma sha sbyor ba yis 
BO_T02_D2718:85a-14	phun tshogs blo gros spel la phyag 'tshal lo //	85a	phun tshogs blo gros spel la phyag tshal lo 
BO_T02_D2718:85a-15	gzhan yang gzhon nu dpa' bos legs bsten pa'i //	85a	gzhan yang gzhon nu dpa bod legs sten ba 
BO_T02_D2718:85a-16	ting 'dzin sngags dang ci rigs rdzas sbyor gyis //	85a	ting dzin sngags dang ci rigs rdzas sbyor gyis 
BO_T02_D2718:85a-17	gnas skabs mthar thug yon tan ma lus kun //	85a	gnas skabs mthar thug yon tan ma lus kun 
BO_T02_D2718:85a-18	slu med nges par 'grub la phyag 'tshal lo //	85a	slu med nges ba grub la phyag tshal lo 
BO_T02_D2718:85a-19	ngo bo ma nor chos nyid rab mkhyen cing //	85a	ngo bo ma nor chos nyid rab mkhyen cing 
BO_T02_D2718:85a-20	rnam pa ma lus chos can lhang nger gzigs //	85a	rnam ba ma lus chos can lhang nger gzigs 
BO_T02_D2718:85a-21	thugs rje che dang thabs tshul dpag med kyis //	85a	thugs rje che dang thabs tshul dpog med kyis 
BO_T02_D2718:85a-22	srid mtsho mtha' yas skyob la phyag 'tshal lo //	85a	srid mtsho mtha yas skyob la phyag tshal lo 
BO_T02_D2718:85a-23	'jam dbyangs mgon khyod gus pas rjes dran cing //	85a	jam dbyangs mgon khyod gus ba rjes dran cing 
BO_T02_D2718:85a-24	bsgom bzlas legs mchod mngon par bstod pa yis //	85a	bsgom bzlas legs mchod mngon ba bstod ba yis 
BO_T02_D2718:85a-25	blo ngan mun nag thibs po'i tshogs rnams kun //	85a	blo ngan mun nag thibs po tshogs rnams kun 
BO_T02_D2718:85a-26	sprin med nyi shar ji bzhin dangs par mdzod //	85a	sprin med nyi char ji bzhin dangs ba mdzod 
BO_T02_D2718:85a-27	dpal ldan mkhas pa rnams kyi nang nas rgyal mtshan rtse mo ltar shin tu mtho zhing gsal bar gyur pa'i pandi ta chen po ma tis 'jam pa'i dbyangs kyi sgrub thabs dang bstun te /	85a	dpal ldan mkhas ba rnams kyi nang nas rgyal mtshan rtse mo ltar shin tu mtho zhing gsal ba gyur ba pandi ta chen po ma tis jam ba dbyangs kyi sgrub thabs dang bstun te 
BO_T02_D2718:85a-28	bskyed pa'i rim pa'i gsal 'debs bde ba'i ting nge 'dzin gyi bstod pa rdzogs so /	85a	skyed ba rim ba gsal debs bde ba ting nge dzin gyi bstod ba rdzogs so 
BO_T02_D2718:85a-29	// / pa ndi ta sh'a kya shr'i bha dra dang // bod kyi lo rts'a khro phu ba gnubs byams pa'i dpal gyis srin po'i rir bsgyur ba'o//	85a	ba ndi ta sha kya shr bha dra dang bod kyi lo rtsa khro phu ba gnubs byams ba dpal gyis srin po rir sgyur 
