segmentnr	original	stemmed
BO_T17_O2MS163914CZ189791:0	@ga_@#/_/dpal rdo rje mkha' 'gro'i bsgrub	rdo rje mkha gro sgrub 
BO_T17_O2MS163914CZ189791:1	thabs zhes bya ba/	thabs zhes byed 
BO_T17_O2MS163914CZ189791:2	@/_'byung po 'dul byed kyi bsgrub thabs/_@##/_/rgya gar skad du/	po dul byed kyi sgrub gar skad 
BO_T17_O2MS163914CZ189791:3	shri badzra da ki ni sa d+ha na ma/_bod skad du/_dpal rdo rje mkha' 'gro'i bsgrub	shri badzra da ki ni sa d+ha na skad rdo rje mkha gro sgrub 
BO_T17_O2MS163914CZ189791:4	thabs zhes bya ba/_he ru ka dpal phyag 'tshhal nas/_/rdo rje mkha' 'gro'i sgrub	thabs zhes byed ru ka dpal phyag tshhal rje mkha gro sgrub 
BO_T17_O2MS163914CZ189791:5	thabs bshad/_/'di nyid cho gas bsgrubs gyur na/_/ma mo rnams kyang bsgrub	thabs nyid cho gas sgrub gyur mo rnams kyang sgrub 
BO_T17_O2MS163914CZ189791:6	pa'i mchog_/de dbus khro bo chen po ni/_/zhal gcig pa la phyag bzhi pa/_/	ba dbus khro bo chen po gcig ba la phyag bzhi 
BO_T17_O2MS163914CZ189791:7	zhal gyi mche ba cung zad gtshigs/_/khro bcas zhal ni bzhad _pa dang /_/sku	zhal gyi mche ba cung zad cha zhal ni bzhad _pa dang 
BO_T17_O2MS163914CZ189791:8	mdog sngo nag 'jigs chen po/_/thod pa'i phreng bas brgyan pa'o/_/ro dang nyi	mdog sngo nag jigs chen ba phreng ba rgyan dang nyi 
BO_T17_O2MS163914CZ189791:9	steng g.yon brkyang zhing /_/g.yas skum stag lpags kyis brgyan pa/_/gar ldan	steng g.yon rkyong zhing skum stag lpags kyis rgyan ldan 
BO_T17_O2MS163914CZ189791:10	sum cu gsum 'jigs mdzad/_/spyan gsum cher bsgrad bgegs kun gnon/_/	sum cu gsum jigs gsum cher bsgrad bgegs kun 
BO_T17_O2MS163914CZ189791:11	rdo rje thod khrag thugs khar 'dzin/_/'og mas mda' gzhu rgyab nas 'gengs/_/	rdo rje thod khrag thugs khar mas mda gzhu rgyab nas 
BO_T17_O2MS163914CZ189791:12	tshhogs bdag stong pa'i ngang nyid las/_/a las pad+ma ram nyid las/_/nyi stengs hum	tshhogs bdag stong ba ngang nyid las pad+ma ram nyid stengs hum 
BO_T17_O2MS163914CZ189791:13	las rdo rje las/_/rang nyid khro rgyal gsal ba'i mdun/_/gahlas gyur pa'i	las rdo rje nyid khro rgyal gsal ba gyur ba 
BO_T17_O2MS163914CZ189791:14	bgegs bdag bskyed/_/dgug sngags brgya yis spyan drangs te/_/phyag mchod	bgegs bdag sngags brgya yis spyan drangs mchod 
BO_T17_O2MS163914CZ189791:15	bstod pas dngos grub blangs/_/gal te 'gor na rang nyid lus/_/hum mdzad skyed	bstod ba dngos grub te gor na rang nyid mdzad skyed 
BO_T17_O2MS163914CZ189791:16	rim brtan byas nas/_/gsang sngags 'bum bzlas zhabs 'og bcug_/phyag	rim brtan byed sngags bum bzlas zhabs g 
BO_T17_O2MS163914CZ189791:17	g.yas mthe bong mthe chung mnan/_/mdzub gsum rdo rje'i phyag rgya yis/_/gzir	g.yas mthe bong mthe chung gsum rdo rje phyag rgya 
BO_T17_O2MS163914CZ189791:18	te thugs ka'i pad steng gi/_/ram las me 'bar tshhig pa yis/_/skrag ste thal sbyar	te thugs ka pad steng las me bar tshhig ba ste thal sbyor 
BO_T17_O2MS163914CZ189791:19	gus btud nas/_/bka' nyan dngos grub lter bar bsam/_/lha chen gzir ba'i	gus dud nyan dngos grub lter ba chen gzir ba 
BO_T17_O2MS163914CZ189791:20	man ngag gzhan/_/mi bri sdig che zhal las shes/_/grub pa brnyes pa'i rnal 'byor	man ngag bri sdig che zhal las ba brnyes ba rnal byor 
BO_T17_O2MS163914CZ189791:21	pa nag po spyod pa'i zhal snga nas mdzad pa rdzogs so//_//rma	ba nag po spyod ba zhal snga nas mdzad ba rdzogs 
BO_T17_O2MS163914CZ189791:22	rgya gar gyi pan+di ta ga ya d+ha ra dang /_bod kyi lotsh+tshha ba 'brog mi shakya ye shes	rgya gar gyi pan+di ta ga ya d+ha ra dang kyi lotsh+tshha ba brog mi shakya ye shes 
BO_T17_O2MS163914CZ189791:23	kyis bsgyur te gtan la phab pa'o//_//	kyis sgyur te gtan la bebs 
BO_T17_O2MS163914CZ189791:24	//_//   dpal rdo rje mkha' 'gro'i bsgrub thabs zhes bya ba/	dpal rdo rje mkha gro sgrub thabs zhes byed 
