segmentnr	original	folio	stemmed
BO_T02_D2198:79b-0	@79b # // rgya gar skad du //	79b	rgya gar skad du 
BO_T02_D2198:79b-1	badzra ga ru da s'a dha na /	79b	badzra ga ru da sa dha na 
BO_T02_D2198:79b-2	bod skad du /	79b	bod skad du 
BO_T02_D2198:79b-3	rdo rje khyung gi sgrub thabs /	79b	rdo rje khyung gi sgrub thabs 
BO_T02_D2198:79b-4	rdo rje gtum po la phyag 'tshal lo //	79b	rdo rje thum po la phyag tshal lo 
BO_T02_D2198:79b-5	dkon mchog gsum la skyabs su 'gro ba byas la /	79b	dkon(d) mchog gsum la skyob su gro ba byed la 
BO_T02_D2198:79b-6	rang nyid rdo rje khyung kha dog nag po lag pa gnyis kyis sbrul za ba /	79b	rang nyid rdo rje khyung kha dog nag po lag ba gnyis kyis sbrul za ba 
BO_T02_D2198:79b-7	gshog pa dang sgro la sogs pa gnam lcags kyi ral gri me 'bar ba /	79b	gshog ba dang sgro la sogs ba gnam lcags kyi ral gri me bar ba 
BO_T02_D2198:79b-8	mig khro chu khol ba lta bu /	79b	mig khro chu khol ba lta bu 
BO_T02_D2198:79b-9	sku che ba cig tu bsams te /	79b	sku che ba cig tu bsams te 
BO_T02_D2198:79b-10	aom badzra ga ru da tsanda ma h'a n'a ga m'a ra ya sod sod /	79b	aom badzra ga ru da tsanda ma ha na ga ma ra ya sod sod 
BO_T02_D2198:80a-0	@80a * // n'a ga m'a ra ya thum ril rbad rbad h'um phat /	80a	na ga ma ra ya thum ril rbod rbod hum phat 
BO_T02_D2198:80a-1	rtag tu bzlas la ma yengs pas bsgrub par bya'o //	80a	rtag tu bzlas la ma yengs ba sgrub ba byed 
BO_T02_D2198:80a-2	'di ni las thams cad pa'i sngags te /	80a	di ni las thams cad ba sngags te 
BO_T02_D2198:80a-3	gang la yang bum par chu blugs la khyung bskyed la bzlas pa brgya rtsa brgyad bzlas te /	80a	gang la yang bum ba chu blugs la khyung skyed la bzlas ba brgya rtsa brgyad bzlas te 
BO_T02_D2198:80a-4	de nas yungs kar blugs la khrus bya'o ;	80a	de nas yungs kar blugs la khru byed 
BO_T02_D2198:80a-5	/ nad gang na bar yang byug par bya'o //	80a	nad gang na ba yang byug ba byed 
BO_T02_D2198:80a-6	bya'i sha mi bza'/	80a	byed sha mi 
BO_T02_D2198:80a-7	sgo nga mi bza'/	80a	sgo nga mi 
BO_T02_D2198:80a-8	bya ba la mi brdeg / rtag tu lhar bsgom par bya'o //	80a	byed ba la mi brdeg rtag tu lhar bsgom ba byed 
BO_T02_D2198:80a-9	rdo rje khyung gi sgrub pa'i man ngag / slob dpon rdo rje padmas mdzad pa rdzogs so /	80a	rdo rje khyung gi sgrub ba man ngag slob dpon rdo rje padmas mdzad ba rdzogs so 
BO_T02_D2198:80a-10	// / pandi ta sa'i snying po dang / lo ts'a ba rma ban gyis bsgyur ba'o//	80a	pandi ta sa snying po dang lo tsa ba rma ban gyis sgyur 
