segmentnr	original	stemmed
BO_K12_D0737=D0960_H0577:330b-0	@330b rgya gar skad du; a'arya ba la ba ti n'a ma pra dyam gi ri /	rgya gar skad du; aarya ba la ba ti na ma pra dyam gi ri 
BO_K12_D0737=D0960_H0577:330b-1	bod skad du /	bod skad du 
BO_K12_D0737=D0960_H0577:330b-2	'phags pa phyir ldog pa stobs can zhes bya ba /	phag ba phyir ldog ba stobs can zhes byed ba 
BO_K12_D0737=D0960_H0577:330b-3	dkon mchog gsum la phyag 'tshal lo //	dkon(d) mchog gsum la phyag tshal lo 
BO_K12_D0737=D0960_H0577:330b-4	byang chub sems dpa' sems dpa' chen po snying chen po dang dang ldan pa /	byang chub sems dpa sems dpa chen po snying chen po dang dang ldan ba 
BO_K12_D0737=D0960_H0577:330b-5	sems can thams cad la snying brtso ba can /	sems can thams cad la snying brtso ba can 
BO_K12_D0737=D0960_H0577:330b-6	'phags pa spyan ras gzigs dbang yug la phyag 'tshal lo //	phag ba spyan ras gzigs dbang yug la phyag tshal lo 
BO_K12_D0737=D0960_H0577:330b-7	'byung po thams cad 'gog pa /	byung po thams cad gog ba 
BO_K12_D0737=D0960_H0577:330b-8	rims thams cad zlog pa /	rims thams cad zlog ba 
BO_K12_D0737=D0960_H0577:330b-9	dus ma yin par 'chi ba thams cad 'gog pa /	dus ma yin ba chi ba thams cad gog ba 
BO_K12_D0737=D0960_H0577:330b-10	gza' dang / rgyu skar gyi gdon dang / 'byung lo'i gdon thams cad rnam par 'joms pa /	gza dang rgyu skar gyi don dang byung lo don thams cad rnam ba joms ba 
BO_K12_D0737=D0960_H0577:330b-11	bdud kyi gnas thams cad 'joms pa /	bdud kyi gnas thams cad joms ba 
BO_K12_D0737=D0960_H0577:330b-12	mi mdza' ba thams cad so sor rengs par byed pa /	mi mdza ba thams cad so sor rengs ba byed ba 
BO_K12_D0737=D0960_H0577:330b-13	te skyong ba /	te skyong ba 
BO_K12_D0737=D0960_H0577:330b-14	srog skyob pa'i phyir zlog pa 'di brjod par bya'o //	srog skyob ba phyir zlog ba di rjod ba byed 
BO_K12_D0737=D0960_H0577:330b-15	tadya th'a; aa ba lo ki te /	tadya tha; aa ba lo ki te 
BO_K12_D0737=D0960_H0577:330b-16	aa ba lo ki te /	aa ba lo ki te 
BO_K12_D0737=D0960_H0577:330b-17	sam bha be /	sam bha be 
BO_K12_D0737=D0960_H0577:330b-18	dha ra dha ra dha ra dha ra /	dha ra dha ra dha ra dha ra 
BO_K12_D0737=D0960_H0577:330b-19	ba ra ba ra ba ra ba ra /	ba ra ba ra ba ra ba ra 
BO_K12_D0737=D0960_H0577:330b-20	k'a le k'a le k'a le /	ka le ka le ka le 
BO_K12_D0737=D0960_H0577:330b-21	ma h'a k'a la aa ba lo ki te /	ma ha ka la aa ba lo ki te 
BO_K12_D0737=D0960_H0577:330b-22	pra s'a dha ne /	pra sa dha ne 
BO_K12_D0737=D0960_H0577:330b-23	dha me dha me dha me /	dha me dha me dha me 
BO_K12_D0737=D0960_H0577:331a-0	dha ma @331a *//	dha ma 
BO_K12_D0737=D0960_H0577:331a-1	ni; sa m'a hi te /	ni; sa ma hi te 
BO_K12_D0737=D0960_H0577:331a-2	bdag la srung du gsol /	bdag la srung du gsol 
BO_K12_D0737=D0960_H0577:331a-3	srung du gsol /	srung du gsol 
BO_K12_D0737=D0960_H0577:331a-4	'jigs shing skrag pa thams cad las srung du gsol /	jigs shing skrag ba thams cad las srung du gsol 
BO_K12_D0737=D0960_H0577:331a-5	yongs su bskyab tu gsol /	yongs su bskyab tu gsol 
BO_K12_D0737=D0960_H0577:331a-6	yongs su gzung du gsol /	yongs su gzung du gsol 
BO_K12_D0737=D0960_H0577:331a-7	yongs su bskyang du gsol /	yongs su skyong du gsol 
BO_K12_D0737=D0960_H0577:331a-8	zhi ba dang / bde legs su 'gyur bar mdzad du gsol /	zhi ba dang bde legs su gyur ba mdzad du gsol 
BO_K12_D0737=D0960_H0577:331a-9	chad pa spang bar mdzad du gsol /	chad ba spong ba mdzad du gsol 
BO_K12_D0737=D0960_H0577:331a-10	mtshon cha spang bar mdzad du gsol /	mtshon cha spong ba mdzad du gsol 
BO_K12_D0737=D0960_H0577:331a-11	mtshams gcad par mdzad du gsol /	mtshams gcod ba mdzad du gsol 
BO_K12_D0737=D0960_H0577:331a-12	sa bcing bar mdzad du gsol /	sa ching ba mdzad du gsol 
BO_K12_D0737=D0960_H0577:331a-13	ku ru ku ru pa na makshi /	ku ru ku ru ba na makshi 
BO_K12_D0737=D0960_H0577:331a-14	bi dhi bi dhi bi dhi /	bi dhi bi dhi bi dhi 
BO_K12_D0737=D0960_H0577:331a-15	mrga sam pra sva re /	mrga sam pra sva re 
BO_K12_D0737=D0960_H0577:331a-16	aa mri ta te dza ba ti /	aa mri ta te dza ba ti 
BO_K12_D0737=D0960_H0577:331a-17	gnod pa thams cad las bdag la rtag tu srung du gsol /	gnod ba thams cad las bdag la rtag tu srung du gsol 
BO_K12_D0737=D0960_H0577:331a-18	srung du gsol /	srung du gsol 
BO_K12_D0737=D0960_H0577:331a-19	mu lu mu lu mu lu /	mu lu mu lu mu lu 
BO_K12_D0737=D0960_H0577:331a-20	khu khu me /	khu khu me 
BO_K12_D0737=D0960_H0577:331a-21	gho ri gho ri /	gho ri gho ri 
BO_K12_D0737=D0960_H0577:331a-22	ba le ba le /	ba le ba le 
BO_K12_D0737=D0960_H0577:331a-23	ta ra ta ra /	ta ra ta ra 
BO_K12_D0737=D0960_H0577:331a-24	mu ya mu ya /	mu ya mu ya 
BO_K12_D0737=D0960_H0577:331a-25	munytsa ni / kha kha re; dhum dhum dhum ni /	munytsa ni kha kha re; dhum dhum dhum ni 
BO_K12_D0737=D0960_H0577:331a-26	bdag 'thab pa dang / 'thab mo dang / rtsod pa dang / 'gyed pa thams cad las srung du gsol /	bdag thab ba dang thab mo dang rtsod ba dang gyed ba thams cad las srung du gsol 
BO_K12_D0737=D0960_H0577:331a-27	srung du gsol /	srung du gsol 
BO_K12_D0737=D0960_H0577:331a-28	dza yam ku ru ku ru /	dza yam ku ru ku ru 
BO_K12_D0737=D0960_H0577:331a-29	phu ru phu ru sv'ah'a /	phu ru phu ru svaha 
BO_K12_D0737=D0960_H0577:331a-30	aa ma le sv'ah'a; aa mri te sv'ah'a /	aa ma le svaha; aa mri te svaha 
BO_K12_D0737=D0960_H0577:331a-31	'phags pa phyir zlog pa stobs can zhes bya ba rdzogs so ////	phag ba phyir zlog ba stobs can zhes byed ba rdzogs so 
