segmentnr	original	folio	stemmed
BO_T02_D3748:84a-0	@84a # // rgya gar skad du /	84a	rgya gar skad du 
BO_T02_D3748:84a-1	a'arya dzambha la sto tra /	84a	aarya dzambha la sto tra 
BO_T02_D3748:84a-2	bod skad du /	84a	bod skad du 
BO_T02_D3748:84a-3	'phags pa rmugs 'dzin la bstod pa /	84a	phag ba rmugs dzin la bstod ba 
BO_T02_D3748:84a-4	bcom ldan 'das dzambha la la phyag 'tshal lo //	84a	joms ldan da dzambha la la phyag tshal lo 
BO_T02_D3748:84a-5	mchod sbyin brgya pa me lha gdong bzhi dang // seng ge 'phrog byed nyin mor byed rnams kyis //	84a	mchod sbyin brgya ba me lha gdong bzhi dang seng ge phrog byed nyin mor byed rnams kyis 
BO_T02_D3748:84a-6	zhabs gnyis la btud bcom ldan sdug bsngal pa //	84a	zhabs gnyis la dud joms ldan sdug sngal ba 
BO_T02_D3748:84a-7	bdag la pad ltar yangs pa'i spyan ras gzigs ;	84a	bdag la pad ltar yangs ba spyan ras gzigs 
BO_T02_D3748:84a-8	/ bcom ldan chab khyor gang gis mnyes 'gyur na //	84a	joms ldan chab khyor gang gis mnyes gyur na 
BO_T02_D3748:84a-9	thugs rje mnga' ba gzhan gang lags pa gsungs //	84a	thugs rje mnga ba gzhan gang lags ba gsungs 
BO_T02_D3748:84a-10	de phyir mchod pa bshams la mi rtsi zhing //	84a	de phyir mchod ba bshams la mi rtsi zhing 
BO_T02_D3748:84a-11	khyod dang 'dra ba phal cher rnyed par dka' //	84a	khyod dang dra ba phal cher rnyed ba dka 
BO_T02_D3748:84a-12	brtse bas 'bad pa'i sgo nas btsal btsal nas //	84a	brtse ba bad ba sgo nas btsal btsal nas 
BO_T02_D3748:84a-13	phongs par gyur pa bdag la bde mdzad na //	84a	phong ba gyur ba bdag la bde mdzad na 
BO_T02_D3748:84a-14	kho bo mchi ma dag gis gdong spags pa //	84a	kho bo mchi ma dag gis gdong spog ba 
BO_T02_D3748:84a-15	spyan sngar mchis kyang ci ste gzigs ma lags //	84a	spyan sngar mchis kyang ci ste gzigs ma lags 
BO_T02_D3748:84a-16	ae ma'o rab tu rgyas pa thugs rje yi //	84a	ae ma rab tu rgya ba thugs rje yi 
BO_T02_D3748:84a-17	gzhu mo mnga' ba khyod lta bzhugs gyur kyang //	84a	gzhu mo mnga ba khyod lta bzhugs gyur kyang 
BO_T02_D3748:84a-18	skye tshogs bzlog dka' sdug bsngal chom rkun gyi //	84a	skye tshogs bzlog dka sdug sngal chom rkun gyi 
BO_T02_D3748:84a-19	ste yis rnam par 'joms par ji ltar lags //	84a	ste yis rnam ba joms ba ji ltar lags 
BO_T02_D3748:84a-20	sems can sman slad nor phu rin po che //	84a	sems can sman slad nor phu rin po che 
BO_T02_D3748:84a-21	rnam pa sna tshogs dgung char 'bebs drag na //	84a	rnam ba sna tshogs dgung char bebs drag na 
BO_T02_D3748:84a-22	kho bo khyod nyid gcig pu'i mthar thug pa //	84a	kho bo khyod nyid gcig pu mthar thug ba 
BO_T02_D3748:84a-23	ci ste thigs pa yang ni 'bebs ma lags //	84a	ci ste thigs ba yang ni bebs ma lags 
BO_T02_D3748:84a-24	khyod bzhugs bzhin du me yis 'bar ba ltar //	84a	khyod bzhugs bzhin du me yis bar ba ltar 
BO_T02_D3748:84a-25	kho bo phongs pas shin tu cher bsreg na //	84a	kho bo phong ba shin tu cher bsreg na 
BO_T02_D3748:84a-26	khyod kyis lta zhig thugs rje 'jo ba'i ba //	84a	khyod kyis lta jig thugs rje jo ba ba 
BO_T02_D3748:84a-27	sa gsum khur du khur ba gang du thal //	84a	sa gsum khur du khur ba gang du thal 
BO_T02_D3748:84a-28	bum pa dpag bsam shing dang yid bzhin gyi //	84a	bum ba dpog bsam shing dang yid bzhin gyi 
BO_T02_D3748:84a-29	nor bu sems dpa' dang ldan ma lags pa //	84a	nor bu sems dpa dang ldan ma lags ba 
BO_T02_D3748:84a-30	de dag gis kyang sems can phan bgyid na //	84a	de dag gis kyang sems can phan bgyid na 
BO_T02_D3748:84b-0	thugs rje'i bdag @84b can bcom ldan smos ci 'tshal //	84b	thugs rje bdag can joms ldan smos ci tshal 
