segmentnr	original	stemmed
BO_K02_D0008-7_H0009-7:42a-11	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:42a-12	byed pa po rnam par dag pa dang / skye mched drug rnam par dag pa 'di la gnyis su med de /	byed ba po rnam ba dag ba dang skye mched drug rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:42a-13	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:42a-14	tshor ba po rnam par dag pa gang yin pa de ni /	tshor ba po rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42a-15	skye mched drug rnam par dag pa /	skye mched drug rnam ba dag ba 
BO_K02_D0008-7_H0009-7:42a-16	skye mched drug rnam par dag pa gang yin pa de ni /	skye mched drug rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42a-17	tshor ba po rnam par dag pa ste /	tshor ba po rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:42a-18	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:42a-19	tshor ba po rnam par dag pa dang / skye mched drug rnam par dag pa 'di la gnyis su med de /	tshor ba po rnam ba dag ba dang skye mched drug rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:42a-20	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:42a-21	shes pa po rnam par dag pa gang yin pa de ni /	shes ba po rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42a-22	skye mched drug rnam par dag pa /	skye mched drug rnam ba dag ba 
BO_K02_D0008-7_H0009-7:42a-23	skye mched drug rnam par dag pa gang yin pa de ni /	skye mched drug rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42a-24	shes pa po rnam par dag pa ste /	shes ba po rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:42a-25	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:42a-26	shes pa po rnam par dag pa dang / skye mched drug rnam par dag pa 'di la gnyis su med de /	shes ba po rnam ba dag ba dang skye mched drug rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:42a-27	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:42b-0	mthong ba @42b po rnam par dag pa gang yin pa de ni /	mthong ba po rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42b-1	skye mched drug rnam par dag pa /	skye mched drug rnam ba dag ba 
BO_K02_D0008-7_H0009-7:42b-2	skye mched drug rnam par dag pa gang yin pa de ni /	skye mched drug rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42b-3	mthong ba po rnam par dag pa ste /	mthong ba po rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:42b-4	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:42b-5	mthong ba po rnam par dag pa dang / skye mched drug rnam par dag pa 'di la gnyis su med de /	mthong ba po rnam ba dag ba dang skye mched drug rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:42b-6	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:42b-7	bdag rnam par dag pa gang yin pa de ni /	bdag rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42b-8	reg pa rnam par dag pa /	reg ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:42b-9	reg pa rnam par dag pa gang yin pa de ni /	reg ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42b-10	bdag rnam par dag pa ste /	bdag rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:42b-11	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:42b-12	bdag rnam par dag pa dang / reg pa rnam par dag pa 'di la gnyis su med de /	bdag rnam ba dag ba dang reg ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:42b-13	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:42b-14	sems can rnam par dag pa gang yin pa de ni /	sems can rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42b-15	reg pa rnam par dag pa /	reg ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:42b-16	reg pa rnam par dag pa gang yin pa de ni /	reg ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42b-17	sems can rnam par dag pa ste /	sems can rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:42b-18	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:42b-19	sems can rnam par dag pa dang / reg pa rnam par dag pa 'di la gnyis su med de /	sems can rnam ba dag ba dang reg ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:42b-20	gnyis su byar med so so ma yin tha mi dad de //	gnyis su byar med so so ma yin tha mi dad de 
BO_K02_D0008-7_H0009-7:42b-21	srog rnam par dag pa gang yin pa de ni /	srog rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42b-22	reg pa rnam par dag pa /	reg ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:42b-23	reg pa rnam par dag pa gang yin pa de ni /	reg ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:42b-24	srog rnam par dag pa ste /	srog rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:42b-25	de ltar na /	de ltar na 
