segmentnr	original	stemmed
BO_K12_D0662=D1007_H0632:184a-0	@184a de nas bcom ldan 'das ma nor rgyun ma'i rtog pa bshad par bya ste /	de nas joms ldan da ma nor rgyun ma rtogs ba chad ba byed ste 
BO_K12_D0662=D1007_H0632:184a-1	dang po re zhig dpyid zla tha chung gi dkar po'i phyogs kyi tshes gcig la rgya mtshor 'bab pa'i chu bor song ste /	dang po re jig dpyid zla tha chung gi dkar po phyogs kyi tshes gcig la rgya mtshor bab ba chu bor gro ste 
BO_K12_D0662=D1007_H0632:184a-2	de nas nu ma'i bar du chu'i nang du nub par byas te 'dug la nyi ma la sngon du phyogs par yongs su brtags la ji snyed gnas kyi bar du bzlas pa bya'o //	de nas nu ma ba du chu nang du nub ba byed te dug la nyi ma la sngon du phyogs ba yongs su rtog la ji snyed gnas kyi ba du bzlas ba byed 
BO_K12_D0662=D1007_H0632:184a-3	bza' ba thams cad spangs te nyon mongs shing smra bcad byas te nub bdun du bzlas pa bya'o //	bza ba thams cad spong te nyon mongs shing smra gcod byed te nub bdun du bzlas ba byed 
BO_K12_D0662=D1007_H0632:184a-4	de nas bcom ldan 'das ma'i thang sku yang dbu skra ma gtogs par gur gum dang / tsandan gyis byug par bya ba ni /	de nas joms ldan da ma thang sku yang dbu skra ma gtogs ba gur gum dang tsandan gyis byug ba byed ba ni 
BO_K12_D0662=D1007_H0632:184a-5	nub mo snga bar langs te chur khru bdun /	nub mo snga ba ldang te chur(d) khru bdun 
BO_K12_D0662=D1007_H0632:184a-6	zheng du khru bcu dang bcas pa la tshon sna ma lus pa gso sbyong dang ldan pa'i lha bzos bcom ldan 'das ma mdog ljang ser sna tshogs pa'i rgyan gyis brgyan pa /	zheng du khru chu dang cha ba la tshon sna ma lus ba gso sbyong dang ldan ba lha bzos joms ldan da ma mdog ljang ser sna tshogs ba rgyan gyis rgyan ba 
BO_K12_D0662=D1007_H0632:184a-7	phyag g-yas pa na 'bras bu chen po bsnams pa /	phyag g-yas ba na bras bu chen po snom ba 
BO_K12_D0662=D1007_H0632:184a-8	phyag g-yon pa na sgrub pa po rnams la ster ba'i rin po che'i za ma tog mu tig dang / rdo rje pha lam dang / bee d'urya'i 'bras bu can bsnams pa'i phyag dang ldan par bya'o //	phyag g-yon ba na sgrub ba po rnams la ster ba rin po che za ma tog mu tig dang rdo rje pha lam dang bee durya bras bu can snom ba phyag dang ldan ba byed 
BO_K12_D0662=D1007_H0632:184b-0	steng du lha'i bu rin po che char mngon du 'bebs @184b bzhin pa bya'o //	steng du lha bu rin po che char mngon du bebs bzhin ba byed 
BO_K12_D0662=D1007_H0632:184b-1	g-yas logs su dpal chen mo padma'i phyag can sgrub pa po la nye bar dgongs pa la gnas bzhin pa bya'o //	g-yas logs su dpal chen mo padma phyag can sgrub ba po la nye ba dgongs ba la gnas bzhin ba byed 
BO_K12_D0662=D1007_H0632:184b-2	g-yon logs su padma'i dpa' rin po ches snyim pa gang ba bya'o //	g-yon logs su padma dpa rin po ches snyim ba gang ba byed 
BO_K12_D0662=D1007_H0632:184b-3	'og tu sgrub pa po padma'i lag pa can bya'o //	g tu sgrub ba po padma lag ba can byed 
BO_K12_D0662=D1007_H0632:184b-4	de nas thang sku sku gdung dang bcas pa'i mchod rten gyi drung du nub phyogs su kha bstan la bkram ste /	de nas thang sku sku gdung dang cha ba mchod rten gyi drung du nub phyogs su kha ston la grem ste 
BO_K12_D0662=D1007_H0632:184b-5	de nas nye bar spyod pa'i gtor ma ma gtogs pa mdzod kyi bzhes pa yang dbul zhing dri zhim po'i me tog gis mchod pa chen po byas la tsandan dang / aa ga ru'i bdug pas bsreg par bya'o //	de nas nye ba spyod ba thor ma ma gtogs ba mdzod kyi bzhes ba yang bul zhing dri zhim po me tog gis mchod ba chen po byed la tsandan dang aa ga ru bdug ba bsreg ba byed 
BO_K12_D0662=D1007_H0632:184b-6	zhun mar gyi mar me brgya 'bum 'bul bar bya'o //	zhun mar gyi mar me brgya bum bul ba byed 
BO_K12_D0662=D1007_H0632:184b-7	de nas stan gcig la gnas la bcom ldan 'das ma'i zhal la dmigs la nub mo mtshan bzlas pa byas na /	de nas stan gcig la gnas la joms ldan da ma zhal la dmigs la nub mo mtshan bzlas ba byed na 
BO_K12_D0662=D1007_H0632:184b-8	de nas skya rengs shar ba'i dus su skyes bu chen po tsam gyi nor rin po che thams cad kyi rgyun 'bab cing khang ba gang bar 'gyur ro //	de nas skya rengs char ba dus su skye bu chen po tsam gyi nor rin po che thams cad kyi rgyun bab cing khang ba gang ba gyur ro 
BO_K12_D0662=D1007_H0632:184b-9	yang na mtshan mo phyed na chu'i nang du zhugs la brgyad brgya bzlas par bya'o //	yang na mtshan mo phyed na chu nang du jug la brgyad brgya bzlas ba byed 
BO_K12_D0662=D1007_H0632:184b-10	zla ba gcig tu gcig gi sbyor bas nor gyi rgyun 'bab par 'gyur te /	zla ba gcig tu gcig gi sbyor ba nor gyi rgyun bab ba gyur te 
BO_K12_D0662=D1007_H0632:184b-11	mi shes par kha cig 'phel bar 'gyur ro //	mi shes ba kha cig phel ba gyur ro 
BO_K12_D0662=D1007_H0632:184b-12	yang na rgyal po'i dkor mngon par 'dod na nyin mo chu'i nang du bzlas pa bya zhing //	yang na rgyal po dkor mngon ba dod na nyin mo chu nang du bzlas ba byed zhing 
BO_K12_D0662=D1007_H0632:185a-0	mtshan @185a *// mo'i phyed na til gyis sbyin sreg brgyad brgya byas na /	mtshan mo phyed na til gyis sbyin sreg brgyad brgya byed na 
BO_K12_D0662=D1007_H0632:185a-1	rgyal rigs las rnyed pa chen po thob bo //	rgyal rigs las rnyed ba chen po thob bo 
BO_K12_D0662=D1007_H0632:185a-2	yungs kar mar la bsres nas sbyin sreg /	yungs kar mar la bsres nas sbyin sreg 
BO_K12_D0662=D1007_H0632:185a-3	byas na; rgyal po dbang du byed do //	byed na; rgyal po dbang du byed do 
BO_K12_D0662=D1007_H0632:185a-4	kun tu ra'i sbyin sreg byas na /	kun tu ra sbyin sreg byed na 
BO_K12_D0662=D1007_H0632:185a-5	rgyal po'i blon po dbang du byed //	rgyal po blon po dbang du byed 
BO_K12_D0662=D1007_H0632:185a-6	kha cig gis ni /	kha cig gis ni 
BO_K12_D0662=D1007_H0632:185a-7	sbyor ba gang gis mtshan mo bcom ldan 'das padma'i gdan can dran par byas na /	sbyor ba gang gis mtshan mo joms ldan da padma gdan can dran ba byed na 
BO_K12_D0662=D1007_H0632:185a-8	sbyin bdag chen por 'gyur ro //	sbyin bdag chen por gyur ro 
BO_K12_D0662=D1007_H0632:185a-9	yang na sgrub thabs chen po bshad par bya ste /	yang na sgrub thabs chen po chad ba byed ste 
BO_K12_D0662=D1007_H0632:185a-10	cho 'phrul gyi dkar po'i phyogs kyi tshes gcig nas brtsams te zas ci srid du bcad nas gdung dang bcas pa'i mchod rten gyi drung na thang ga nub phyogs su bstan la dgram zhing /	cho phrul gyi dkar po phyogs kyi tshes gcig nas brtsams te zas ci srid du gcod nas gdung dang cha ba mchod rten gyi drung na thang ga nub phyogs su ston la grem zhing 
BO_K12_D0662=D1007_H0632:185a-11	nyin mo shes rab kyi pha rol tu phyin pa bklag cing /	nyin mo shes rab kyi pha rol tu phyin ba klog cing 
BO_K12_D0662=D1007_H0632:185a-12	mtshan mo stan gcig la gnas pas nub ya la gyis bzlas pa byas na /	mtshan mo stan gcig la gnas ba nub ya la gyis bzlas ba byed na 
BO_K12_D0662=D1007_H0632:185a-13	nor gyi phung po chen po rnyed de /	nor gyi phung po chen po rnyed de 
BO_K12_D0662=D1007_H0632:185a-14	'thor gnod byas kyang 'dzang bar mi 'gyur te /	thor gnod byed kyang dzang ba mi gyur te 
BO_K12_D0662=D1007_H0632:185a-15	lha khang chen po bya'o //	lha khang chen po byed 
BO_K12_D0662=D1007_H0632:185a-16	chog 'di'i cho 'phrul gyi dkar po'i phyogs la bzlas pa byas na /	chog di cho phrul gyi dkar po phyogs la bzlas ba byed na 
BO_K12_D0662=D1007_H0632:185a-17	'khor los bsgyur ba 'thob cing //	khor los sgyur ba thob cing 
BO_K12_D0662=D1007_H0632:185a-18	bcom ldan 'das ma nor rgyun ma dngos su mthong zhing phyir mi ldog pa'i byang chub sems dpar 'gyur ro //	joms ldan da ma nor rgyun ma dngos su mthong zhing phyir mi ldog ba byang chub sems dpar gyur ro 
BO_K12_D0662=D1007_H0632:185b-0	ji ltar de @185b ltar tshangs spyod bya zhing //	ji ltar de ltar tshangs spyod byed zhing 
BO_K12_D0662=D1007_H0632:185b-1	kha na ma tho ba'i zas chang dang / nya sha la sogs pa sbangs shing mtshan mo bzlas pa byas na /	kha na ma tho ba zas chang dang nya sha la sogs ba sbong shing mtshan mo bzlas ba byed na 
BO_K12_D0662=D1007_H0632:185b-2	dbul por mi 'gyur ro //	bul por mi gyur ro 
BO_K12_D0662=D1007_H0632:185b-3	de nas bcom ldan 'das la 'phags pa kun dga' bo dang / zla ba bzang po yongs su dga' nas khyim bdag zla ba bzang po'i don du gsungs pa la mngon par bstod do //	de nas joms ldan da la phag ba kun dga bo dang zla ba bzang po yongs su dga nas khyim bdag zla ba bzang po don du gsungs ba la mngon ba bstod do 
BO_K12_D0662=D1007_H0632:185b-4	bcom ldan 'das ma nor rgyun ma'i rtog pa rdzogs so ////	joms ldan da ma nor rgyun ma rtogs ba rdzogs so 
