segmentnr	original	stemmed
BO_K02_D0008-7_H0009-7:118b-2	byed pa po rnam par dag pa gang yin pa de ni /	byed ba po rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:118b-3	smon pa med pa rnam par dag pa /	smon ba med ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:118b-4	smon pa med pa rnam par dag pa gang yin pa de ni /	smon ba med ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:118b-5	byed pa po rnam par dag pa ste /	byed ba po rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:118b-6	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:118b-7	byed pa po rnam par dag pa dang / smon pa med pa rnam par dag pa 'di la gnyis su med de /	byed ba po rnam ba dag ba dang smon ba med ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:118b-8	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:118b-9	tshor ba po rnam par dag pa gang yin pa de ni /	tshor ba po rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:118b-10	smon pa med pa rnam par dag pa /	smon ba med ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:118b-11	smon pa med pa rnam par dag pa gang yin pa de ni /	smon ba med ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:118b-12	tshor ba po rnam par dag pa ste /	tshor ba po rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:118b-13	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:118b-14	tshor ba po rnam par dag pa dang / smon pa med pa rnam par dag pa 'di la gnyis su med de /	tshor ba po rnam ba dag ba dang smon ba med ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:118b-15	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:118b-16	shes pa po rnam par dag pa gang yin pa de ni /	shes ba po rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:118b-17	smon pa med pa rnam par dag pa /	smon ba med ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:118b-18	smon pa med pa rnam par dag pa gang yin pa de ni /	smon ba med ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:118b-19	shes pa po rnam par dag pa ste /	shes ba po rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:118b-20	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:118b-21	shes pa po rnam par dag pa /	shes ba po rnam ba dag ba 
BO_K02_D0008-7_H0009-7:118b-22	smon pa med pa rnam par dag pa 'di la gnyis su med de /	smon ba med ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:118b-23	gnyis su byar med so so ma yin tha mi dad do /	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:118b-24	mthong ba po rnam par dag pa gang pa gang yin pa de ni /	mthong ba po rnam ba dag ba gang ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:118b-25	smon pa med pa rnam par dag pa /	smon ba med ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:118b-26	smon pa med pa rnam par dag pa gang yin pa de ni /	smon ba med ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:118b-27	mthong ba po rnam par dag pa ste /	mthong ba po rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:118b-28	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:118b-29	mthong ba po rnam par dag pa dang / smon pa med pa rnam par dag pa 'di la gnyis su med de /	mthong ba po rnam ba dag ba dang smon ba med ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:119a-0	gnyis su byar med so so @119a *//	gnyis su byar med so so 
BO_K02_D0008-7_H0009-7:119a-1	ma yin tha mi dad do //	ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:119a-2	bdag rnam par dag pa gang yin pa de ni /	bdag rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119a-3	mngon par shes pa rnam par dag pa /	mngon ba shes ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:119a-4	mngon par shes pa rnam par dag pa gang yin pa de ni /	mngon ba shes ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119a-5	bdag rnam par dag pa ste /	bdag rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:119a-6	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:119a-7	bdag rnam par dag pa dang / mngon par shes pa rnam par dag pa 'di la gnyis su med de /	bdag rnam ba dag ba dang mngon ba shes ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:119a-8	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:119a-9	sems can rnam par dag pa gang yin pa de ni /	sems can rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119a-10	mngon par shes pa rnam par dag pa /	mngon ba shes ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:119a-11	mngon par shes pa rnam par dag pa gang yin pa de ni /	mngon ba shes ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119a-12	sems can rnam par dag pa ste /	sems can rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:119a-13	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:119a-14	sems can rnam par dag pa dang / mngon par shes pa rnam par dag pa 'di la gnyis su med de /	sems can rnam ba dag ba dang mngon ba shes ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:119a-15	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:119a-16	srog rnam par dag pa gang yin pa de ni /	srog rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119a-17	mngon par shes pa rnam par dag pa /	mngon ba shes ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:119a-18	mngon par shes pa rnam par dag pa gang yin pa de ni /	mngon ba shes ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119a-19	srog rnam par dag pa ste /	srog rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:119a-20	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:119a-21	srog rnam par dag pa dang / mngon par shes pa rnam par dag pa 'di la gnyis su med de /	srog rnam ba dag ba dang mngon ba shes ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:119a-22	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:119a-23	gso ba rnam par dag pa gang yin pa de ni /	gso ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119a-24	mngon par shes pa rnam par dag pa /	mngon ba shes ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:119a-25	mngon par shes pa rnam par dag pa gang yin pa de ni /	mngon ba shes ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119a-26	gso ba rnam par dag pa ste /	gso ba rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:119a-27	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:119a-28	gso ba rnam par dag pa dang / mngon par shes pa rnam par dag pa 'di la gnyis su med de /	gso ba rnam ba dag ba dang mngon ba shes ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:119b-0	gnyis su @119b byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:119b-1	skyes bu rnam par dag pa gang yin pa de ni /	skye bu rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119b-2	mngon par shes pa rnam par dag pa /	mngon ba shes ba rnam ba dag ba 
BO_K02_D0008-7_H0009-7:119b-3	mngon par shes pa rnam par dag pa gang yin pa de ni /	mngon ba shes ba rnam ba dag ba gang yin ba de ni 
BO_K02_D0008-7_H0009-7:119b-4	skyes bu rnam par dag pa ste /	skye bu rnam ba dag ba ste 
BO_K02_D0008-7_H0009-7:119b-5	de ltar na /	de ltar na 
BO_K02_D0008-7_H0009-7:119b-6	skyes bu rnam par dag pa dang / mngon par shes pa rnam par dag pa 'di la gnyis su med de /	skye bu rnam ba dag ba dang mngon ba shes ba rnam ba dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:119b-7	gnyis su byar med so so ma yin tha mi dad do //	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:119b-8	gang zag rnam par dag pa gang yin pa de ni /	gang zag rnam ba dag ba gang yin ba de ni 
