segmentnr	original	stemmed
BO_T02_D2663b-1:261a-0	@261a * // rgya gar skad du /	rgya gar skad du 
BO_T02_D2663b-1:261a-1	bee ro tsa n'a bhi sam bo dhi tantra sya sad britti n'a ma /	bee ro tsa na bhi sam bo dhi tantra sya sad britti na ma 
BO_T02_D2663b-1:261a-2	bod skad du /	bod skad du 
BO_T02_D2663b-1:261a-3	rnam par snang mdzad mngon par rdzogs pa byang chub pa'i rgyud kyi tshig 'grel zhes bya ba /	rnam ba snang mdzad mngon ba rdzogs ba byang chub ba brgyud kyi tshig grel zhes byed ba 
BO_T02_D2663b-1:261a-4	bcom ldan 'das kyis thog ma thams cad mkhyen pa'i ye shes brnyes nas /	joms ldan da kyis thogs ma thams cad mkhyen ba ye shes brnyes nas 
BO_T02_D2663b-1:261a-5	thams cad mkhyen pa'i ye shes des 'dul ba'i 'gro ba rnam pa gnyis su gzigs te /	thams cad mkhyen ba ye shes des dul ba gro ba rnam ba gnyis su gzigs te 
BO_T02_D2663b-1:261a-6	dmigs pa dang bcas pa la mos pa gtso bor gyur pa dang / zab cing rgya che ba la mos pa gtso bor gyur pa'o //	dmigs ba dang cha ba la mos ba gtso bor gyur ba dang zab cing rgya che ba la mos ba gtso bor gyur ba 
BO_T02_D2663b-1:261a-7	'dul ba'i 'gro ba de rnams la yang spyod pa rnam pa gnyis te /	dul ba gro ba de rnams la yang spyod ba rnam ba gnyis te 
BO_T02_D2663b-1:261a-8	pha rol tu phyin pa'i sgo nas 'jug cing spyod pa dang / sngags kyi sgo nas 'jug cing spyod pa'o //	pha rol tu phyin ba sgo nas jug cing spyod ba dang sngags kyi sgo nas jug cing spyod ba 
BO_T02_D2663b-1:261a-9	de la pha rol tu phyin pa'i sgo nas 'jug cing spyod pa la yang rnam pa gnyis te /	de la pha rol tu phyin ba sgo nas jug cing spyod ba la yang rnam ba gnyis te 
BO_T02_D2663b-1:261a-10	dmigs pa dang bcas pa la mos pa gtso bor gyur pa dang / zab cing rgya che ba la mos pa gtso bor gyur pa ste /	dmigs ba dang cha ba la mos ba gtso bor gyur ba dang zab cing rgya che ba la mos ba gtso bor gyur ba ste 
BO_T02_D2663b-1:261a-11	de la pha rol tu phyin pa'i sgo nas 'jug cing spyod pa'i gdul ba'i 'gro ba dmigs pa dang bcas pa la mos pa gtso bor gyur pa rnams kyi don du 'dul ba dang / mdo sde dang / mngon pa'i chos rnams dang / de bzhin du gzhan yang theg pa chen po'i mdo sde khyim bdag dpa' bo la sogs pa bstan to //	de la pha rol tu phyin ba sgo nas jug cing spyod ba gdul ba gro ba dmigs ba dang cha ba la mos ba gtso bor gyur ba rnams kyi don du dul ba dang mdo sde dang mngon ba chos rnams dang de bzhin du gzhan yang theg ba chen po mdo sde khyim bdag dpa bo la sogs ba ston to 
BO_T02_D2663b-1:261a-12	de bzhin du zab cing rgya che la mos pa'i 'dul ba'i 'gro ba rnams kyi don du zab cing rgya che ba'i mdo sde sdong po bkod pa dang / sa bcu dang ting nge 'dzin gyi rgyal po la sogs pa rnams bstan to //	de bzhin du zab cing rgya che la mos ba dul ba gro ba rnams kyi don du zab cing rgya che ba mdo sde sdong po bkod ba dang sa chu dang ting nge dzin gyi rgyal po la sogs ba rnams ston to 
BO_T02_D2663b-1:261a-13	de bzhin du sngags kyi sgo nas 'jug cing spyod pa'i gdul ba'i 'gro ba rnams la yang rnam pa gnyis te /	de bzhin du sngags kyi sgo nas jug cing spyod ba gdul ba gro ba rnams la yang rnam ba gnyis te 
BO_T02_D2663b-1:261a-14	dmigs pa ngang bcas pa la mos pa gtso bor gyur pa dang / zab cing rgya che ba la mos pa gtso bor gyur pa ste /	dmigs ba ngang cha ba la mos ba gtso bor gyur ba dang zab cing rgya che ba la mos ba gtso bor gyur ba ste 
BO_T02_D2663b-1:261a-15	de la dmigs pa dang bcas pa la mos pa gtso bor gyur pa rnams kyi don du /	de la dmigs ba dang cha ba la mos ba gtso bor gyur ba rnams kyi don du 
BO_T02_D2663b-1:261a-16	'phags pa legs par grub pa'i rgyud dang / rig 'dzin gyi sde snod la sogs pa bya ba'i rgyud rnams bstan to //	phag ba legs ba grub ba brgyud dang rig dzin gyi sde snod la sogs ba byed ba brgyud rnams ston to 
BO_T02_D2663b-1:261a-17	de bzhin du zab cing rgya che bas 'dul ba'i 'gro ba rnams kyi don du 'phags pa de kho na nyid bsdus pa'i rgyud la sogs pa bstan te /	de bzhin du zab cing rgya che ba dul ba gro ba rnams kyi don du phag ba de kho na nyid sdud ba brgyud la sogs ba ston te 
BO_T02_D2663b-1:261a-18	dmigs pa dang bcas pa la gtso bor gyur pa zhes pa yang zab cing rgya che ba la ma mos shing mi spyod pa ma yin mod kyi /	dmigs ba dang cha ba la gtso bor gyur ba zhes ba yang zab cing rgya che ba la ma mos shing mi spyod ba ma yin mod kyi 
BO_T02_D2663b-1:261a-19	dmigs pa dang bcas pa la spyod par mos pa'i shas che ba la bya'o //	dmigs ba dang cha ba la spyod ba mos ba shas che ba la byed 
