segmentnr	original	stemmed
BO_K12_D0776=D1076_H0718:127b-0	@127b rgya gar skad du /	rgya gar skad du 
BO_K12_D0776=D1076_H0718:127b-1	a'arya pra daksh'a ratna tra y'a n'a ma dh'a ra n'i /	aarya pra daksha ratna tra ya na ma dha ra n 
BO_K12_D0776=D1076_H0718:127b-2	bod skad du /	bod skad du 
BO_K12_D0776=D1076_H0718:127b-3	'phags pa dkon mchog mchog gi rten la bskor ba bya ba'i gzungs zhes bya ba /	phag ba dkon(d) mchog mchog gi rten la skor ba byed ba gzungs zhes byed ba 
BO_K12_D0776=D1076_H0718:127b-4	bcom ldan 'das de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas sh'akya thub pa la phyag 'tshal lo //	joms ldan da de bzhin gshegs ba dgra joms ba yang dag ba rdzogs ba sangs rgya shakya thub ba la phyag tshal lo 
BO_K12_D0776=D1076_H0718:127b-5	aom na mod sha di ka  k'a la sarba ratna tra y'a ya /	aom na mod sha di ka ka la sarba ratna tra ya ya 
BO_K12_D0776=D1076_H0718:127b-6	na ma ma pra daksha su pra daksh'a /	na ma ma pra daksha su pra daksha 
BO_K12_D0776=D1076_H0718:127b-7	sarba p'a pam bi sho dha ni sv'ah'a /	sarba pa pam bi sho dha ni svaha 
BO_K12_D0776=D1076_H0718:128a-0	gzungs 'di @128a *//	gzungs di 
BO_K12_D0776=D1076_H0718:128a-1	lan gcig brjod pas phyogs bcu dus gsum gyi dkon mchog gsum la phyag 'tshal zhing bskor ba byas par 'gyur ro //	lan gcig rjod ba phyogs chu dus gsum gyi dkon(d) mchog gsum la phyag tshal zhing skor ba byed ba gyur ro 
BO_K12_D0776=D1076_H0718:128a-2	thog ma med pa nas bsags pa'i sdig pa thams cad dag par 'gyur /	thogs ma med ba nas bsags ba sdig ba thams cad dag ba gyur 
BO_K12_D0776=D1076_H0718:128a-3	sangs rgyas kyi byang chub myur du thob par 'gyur ro //	sangs rgya kyi byang chub myur du thob ba gyur ro 
BO_K12_D0776=D1076_H0718:128a-4	dgra dang / bgegs kyis glags rnyed par mi 'gyur ro //	dgra dang bgegs kyis glags rnyed ba mi gyur ro 
BO_K12_D0776=D1076_H0718:128a-5	nad dang / gdon thams cad las thar bar 'gyur ro //	nad dang don thams cad las thar ba gyur ro 
BO_K12_D0776=D1076_H0718:128a-6	bskor ba'i gzungs rdzogs so ////	skor ba gzungs rdzogs so 
