segmentnr	original	stemmed
BO_K12_D0650=D1039_H0567:327a-0	@327a rgya gar skad du /	rgya gar skad du 
BO_K12_D0650=D1039_H0567:327a-1	pra dzny'a pa ra dh'a ni n'a ma dh'a ra n'i /	pra dznya ba ra dha ni na ma dha ra n 
BO_K12_D0650=D1039_H0567:327a-2	bod skad du /	bod skad du 
BO_K12_D0650=D1039_H0567:327a-3	shes rab skyed pa zhes bya ba'i gzungs /	shes rab skyed ba zhes byed ba gzungs 
BO_K12_D0650=D1039_H0567:327a-4	na mo ratna tra y'a ya /	na mo ratna tra ya ya 
BO_K12_D0650=D1039_H0567:327a-5	na ma a'arya aa ba lo ki te shva r'a ya /	na ma aarya aa ba lo ki te shva ra ya 
BO_K12_D0650=D1039_H0567:327a-6	bo dhi satv'a ya /	bo dhi satva ya 
BO_K12_D0650=D1039_H0567:327a-7	ma h'a satv'a ya /	ma ha satva ya 
BO_K12_D0650=D1039_H0567:327a-8	ma h'a ka ru ni k'a ya /	ma ha ka ru ni ka ya 
BO_K12_D0650=D1039_H0567:327a-9	tadya th'a / ae bi ba bi ba /	tadya tha ae bi ba bi ba 
BO_K12_D0650=D1039_H0567:327a-10	pra dzny'a pa ra dha ni /	pra dznya ba ra dha ni 
BO_K12_D0650=D1039_H0567:327a-11	dza ra dza ra /	dza ra dza ra 
BO_K12_D0650=D1039_H0567:327a-12	me dha pa ra dha ni /	me dha ba ra dha ni 
BO_K12_D0650=D1039_H0567:327a-13	dhi ri dhi ri /	dhi ri dhi ri 
BO_K12_D0650=D1039_H0567:327a-14	buddhi pa ra dha ni sv'ah'a; rig sngags 'di'i cho ga ni /	buddhi ba ra dha ni svaha; rig sngags di cho ga ni 
BO_K12_D0650=D1039_H0567:327a-15	'di yin te /	di yin te 
BO_K12_D0650=D1039_H0567:327a-16	nang re zhing rtsab mo khyor gang la lan nyi shu rtsa gcig bzlas te zla ba gcig gi bar du 'thung na /	nang re zhing rtsab mo khyor gang la lan nyi shu rtsa gcig bzlas te zla ba gcig gi ba du thung na 
BO_K12_D0650=D1039_H0567:327a-17	thos pa 'dzin par 'gyur ro //	thos ba dzin ba gyur ro 
BO_K12_D0650=D1039_H0567:327a-18	shes rab skyed pa zhes bya ba'i gzungs rdzogs so ////	shes rab skyed ba zhes byed ba gzungs rdzogs so 
