segmentnr	original	stemmed
BO_K02_D0008-2_H0009-2:387a-9	gang de la nam mkha'i khams bdag med ces bya bar de dmigs pa'i tshul gyis chos ston cing /	gang de la nam mkha khams bdag med ces byed ba de dmigs ba tshul gyis chos ston cing 
BO_K02_D0008-2_H0009-2:387a-10	dge ba'i rtsa ba thams cad kyang rnam pa thams cad mkhyen pa nyid ma gtogs par nyan thos kyi sa'am; rang sangs rgyas kyi sar yongs su bsngor mi 'jug pa'o //	dge ba rtsa ba thams cad kyang rnam ba thams cad mkhyen ba nyid ma gtogs ba nyan thos kyi sa; rang sangs rgya kyi sar yongs su bsngor mi jug ba 
BO_K02_D0008-2_H0009-2:387a-11	gang de la rnam par shes pa'i khams bdag med ces bya bar de mi dmigs pa'i tshul gyis chos ston cing /	gang de la rnam ba shes ba khams bdag med ces byed ba de mi dmigs ba tshul gyis chos ston cing 
BO_K02_D0008-2_H0009-2:387a-12	dge ba'i rtsa ba thams cad kyang rnam pa thams cad mkhyen pa nyid ma gtogs par nyan thos kyi sa'am /	dge ba rtsa ba thams cad kyang rnam ba thams cad mkhyen ba nyid ma gtogs ba nyan thos kyi sa 
BO_K02_D0008-2_H0009-2:387a-13	rang sangs rgyas kyi sar yongs su bsngor mi 'jug pa'o //	rang sangs rgya kyi sar yongs su bsngor mi jug ba 
BO_K02_D0008-2_H0009-2:387b-0	rab 'byor / @387b gzhan yang byang chub sems dpa' sems dpa' chen po'i dge ba'i bshes gnyen ni /	rab byor gzhan yang byang chub sems dpa sems dpa chen po dge ba bshes gnyen ni 
BO_K02_D0008-2_H0009-2:387b-1	gang de la sa'i khams zhi zhes bya bar de mi dmigs pa'i tshul gyis chos ston cing /	gang de la sa khams zhi zhes byed ba de mi dmigs ba tshul gyis chos ston cing 
BO_K02_D0008-2_H0009-2:387b-2	dge ba'i rtsa ba thams cad kyang rnam pa thams cad mkhyen pa nyid ma gtogs par nyan thos kyi sa'am /	dge ba rtsa ba thams cad kyang rnam ba thams cad mkhyen ba nyid ma gtogs ba nyan thos kyi sa 
BO_K02_D0008-2_H0009-2:387b-3	rang sangs rgyas kyi sar yongs su bsngor mi 'jug pa'o //	rang sangs rgya kyi sar yongs su bsngor mi jug ba 
BO_K02_D0008-2_H0009-2:387b-4	gang de la chu'i khams zhi zhes bya bar de mi dmigs pa'i tshul gyis chos ston cing /	gang de la chu khams zhi zhes byed ba de mi dmigs ba tshul gyis chos ston cing 
