segmentnr	original	folio	stemmed
BO_T02_D3399:59b-0	@59b # // rgya gar skad du /	59b	rgya gar skad du 
BO_T02_D3399:59b-1	m'a y'a dz'a la kra ma aa ba lo ki te shva ra s'a dha nam /	59b	ma ya dza la kra ma aa ba lo ki te shva ra sa dha nam 
BO_T02_D3399:59b-2	bod skad du /	59b	bod skad du 
BO_T02_D3399:60a-0	sgyu 'phrul dra ba'i rim pa'i spyan @60a * //	60a	sgyu phrul dra ba rim ba spyan 
BO_T02_D3399:60a-1	ras gzigs dbang phyug gi sgrub pa'i thabs /	60a	ras gzigs dbang phyug gi sgrub ba thabs 
BO_T02_D3399:60a-2	'phags pa spyan ras gzigs dbang phyug la phyag 'tshal lo //	60a	phag ba spyan ras gzigs dbang phyug la phyag tshal lo 
BO_T02_D3399:60a-3	sngon du bstan pa'i cho gas stong pa nyid bsgom pa'i rjes su /	60a	sngon du ston ba cho gas stong ba nyid bsgom ba rjes su 
BO_T02_D3399:60a-4	nam mkha' la ram las byung ba'i nyi ma'i dkyil 'khor la h'um de yongs su gyur pa las /	60a	nam mkha la ram las byung ba nyi ma dkyil khor la hum de yongs su gyur ba las 
BO_T02_D3399:60a-5	sna tshogs rdo rje rgya gram /	60a	sna tshogs rdo rje rgya grams 
BO_T02_D3399:60a-6	de yongs su gyur pa las rdo rje'i ra ba dang rdo rje'i gur yang ngo //	60a	de yongs su gyur ba las rdo rje ra ba dang rdo rje gur yang ngo 
BO_T02_D3399:60a-7	de'i nang du mi bzad pa'i dur khrod rnam par bsgoms nas /	60a	de nang du mi bzad ba dur khrod rnam ba sgom nas 
BO_T02_D3399:60a-8	de'i dbus su padma dmar po 'dab ma brgyad pa /	60a	de dbus su padma dmar po dab ma brgyad ba 
BO_T02_D3399:60a-9	de'i dbus su hr'i: las byung ba'i bcom ldan 'das 'phags pa spyan ras gzigs dbang phyug mdog nag po /	60a	de dbus su hr: las byung ba joms ldan da phag ba spyan ras gzigs dbang phyug mdog nag po 
BO_T02_D3399:60a-10	nyi ma'i dkyil 'khor la g-yon brkyang ba'i zhabs kyis gnas pa bsam par bya'o //	60a	nyi ma dkyil khor la g-yon rkyong ba zhabs kyis gnas ba bsam ba byed 
BO_T02_D3399:60a-11	zhal lnga pa spyan gsum pa /	60a	zhal lnga ba spyan gsum ba 
BO_T02_D3399:60a-12	phyag bcu gnyis pa'o //	60a	phyag chu gnyis ba 
BO_T02_D3399:60a-13	dkar po dang dmar po ni /	60a	dkar po dang dmar po ni 
BO_T02_D3399:60a-14	g-yas kyi zhal gnyis so //	60a	g-yas kyi zhal gnyis so 
BO_T02_D3399:60a-15	de bzhin du ser po dang / ljang gu ni g-yon gyi zhal gnyis so //	60a	de bzhin du ser po dang ljang gu ni g-yon gyi zhal gnyis so 
BO_T02_D3399:60a-16	g-yas kyi phyag na rde'u chung dang / kha tv'am ga dang / lcags kyu dang / zhags pa dang / rdo rje dang mda' bsnams pa'o //	60a	g-yas kyi phyag na rdeu chung dang kha tv ga dang lcags kyu dang zhags ba dang rdo rje dang mda snom ba 
BO_T02_D3399:60a-17	g-yon na sdigs mdzub dang / thod pa dang / padma dmar po dang / nor bu dang / 'khor lo dang / gzhu bsnams pa'o //	60a	g-yon na sdigs mdzub dang thod ba dang padma dmar po dang nor bu dang khor lo dang gzhu snom ba 
BO_T02_D3399:60a-18	zhal thams cad mche ba gtsigs pa /	60a	zhal thams cad mche ba gtsigs ba 
BO_T02_D3399:60a-19	phyag rgya drug dang ldan pa /	60a	phyag rgya drug dang ldan ba 
BO_T02_D3399:60a-20	sku la mgo bo rlon pa'i phreng bas brgyan pa /	60a	sku la mgo bo rlon ba phreng ba rgyan ba 
BO_T02_D3399:60a-21	gcer bu g-yon brkyang ba'i zhabs kyis bzhugs pa /	60a	bcer bu g-yon rkyong ba zhabs kyis bzhugs ba 
BO_T02_D3399:60a-22	yan lag thams cad mdzes pa'i bdag nyid du skad cig gis rab tu brtags la /	60a	yan lag thams cad mdzes ba bdag nyid du skad cig gis rab tu rtog la 
BO_T02_D3399:60a-23	snying gar zla ba'i dbus su hr'i: yig gnas pa'o //	60a	snying gar zla ba dbus su hr: yig gnas ba 
BO_T02_D3399:60a-24	aom a'a:h'um ai ti mu ni bar badzre hr'i: h'um dza:/	60a	aom aa:hum ai ti mu ni ba badzre hr: hum 
BO_T02_D3399:60a-25	zhes bya ba'i sngags phreng ba'i rnam pa can du bzla bar bya'o //	60a	zhes byed ba sngags phreng ba rnam ba can du bzla ba byed 
BO_T02_D3399:60a-26	mtshams med pa rnam pa lnga byas pa yang 'bum phrag gcig bzlas pas 'grub par 'gyur ro //	60a	mtshams med ba rnam ba lnga byed ba yang bum phrag gcig bzlas ba grub ba gyur ro 
BO_T02_D3399:60a-27	sgyu 'phrul dra ba'i rim pa'i 'phags pa spyan ras gzigs dbang phyug gi sgrub thabs /	60a	sgyu phrul dra ba rim ba phag ba spyan ras gzigs dbang phyug gi sgrub thabs 
BO_T02_D3399:60a-28	slob dpon dgra las rnam par rgyal bas mdzad pa rdzogs so /	60a	slob dpon dgra las rnam ba rgyal ba mdzad ba rdzogs so 
BO_T02_D3399:60a-29	// / pandi ta don yod rdo rje dang / khams pa lo ts'a ba dge slong ba ris bsgyur ba'o /	60a	pandi ta don yod rdo rje dang khams ba lo tsa ba dge slong ba ris sgyur ba 
