segmentnr	original	stemmed
BO_K10_D0234=D0658=D1064_H0235:386a-0	@386a rgya gar skad du /	rgya gar skad du 
BO_K10_D0234=D0658=D1064_H0235:386a-1	a'arya ma h'a me gha b'a yu manda la pa ri brta sarba n'a ga hri da ya n'a ma ma h'a y'a na s'u tra /	aarya ma ha me gha ba yu manda la ba ri rtas sarba na ga hri da ya na ma ma ha ya na su tra 
BO_K10_D0234=D0658=D1064_H0235:386a-2	bod skad du /	bod skad du 
BO_K10_D0234=D0658=D1064_H0235:386a-3	'phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo /	phag ba sprin chen po rlung gi dkyil khor gyi leu klu thams cad kyi snying po zhes byed ba theg ba chen po mdo 
BO_K10_D0234=D0658=D1064_H0235:386a-4	sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K10_D0234=D0658=D1064_H0235:386a-5	'di skad bdag gis thos pa dus gcig na /	di skad bdag gis thos ba dus gcig na 
BO_K10_D0234=D0658=D1064_H0235:386a-6	bcom ldan 'das rgya mtsho chen po na nor bu rin po che'i rtse mo can gyi khang pa brtsegs pa na klu stong du tshang ba'i klu'i tshogs chen po klu thams cad kyang rdzu 'phrul che zhing klu'i 'khor chen po dang ldan pa sha stag la 'di lta	joms ldan da rgya mtsho chen po na nor bu rin po che rtse mo can gyi khang ba brtsegs ba na klu stong du tshang ba klu tshogs chen po klu thams cad kyang rdzu phrul che zhing klu khor chen po dang ldan ba sha stag la di lta 
BO_K10_D0234=D0658=D1064_H0235:386a-7	ste / klu'i rgyal po dga' bo dang / klu'i rgyal po nye dga' dang / klu'i rgyal po yang dag sgul dang / klu'i rgyal po glog phreng can dang / klu'i rgyal po gzi can dang / klu'i rgyal po gzi can chen po dang / klu'i rgyal po btang bzung dang /	ste klu rgyal po dga bo dang klu rgyal po nye dga dang klu rgyal po yang dag sgul dang klu rgyal po glog phreng can dang klu rgyal po gzi can dang klu rgyal po gzi can chen po dang klu rgyal po gtong bzung dang 
BO_K10_D0234=D0658=D1064_H0235:386b-0	klu'i rgyal po dung dang / klu'i @386b rgyal po ae la'i 'dab ma dang / klu'i rgyal po mtshams bzang dang / klu'i rgyal po stabs kyis rgyu dang / klu'i rgyal po glog 'byung dang / klu'i rgyal po snod ldan gtsug phud can dang / klu'i rgyal po sprin chen rnam par 'phrul dang /	klu rgyal po dung dang klu rgyal po ae la dab ma dang klu rgyal po mtshams bzang dang klu rgyal po stabs kyis rgyu dang klu rgyal po glog byung dang klu rgyal po snod ldan gtsug bud can dang klu rgyal po sprin chen rnam ba phrul dang 
BO_K10_D0234=D0658=D1064_H0235:386b-1	klu'i rgyal po sprin chen rgyas byed dang / klu'i rgyal po 'brug sgrog dang / klu'i rgyal po char 'byung dang / klu'i rgyal po skar mda' stong dang / klu'i rgyal po dus min sgrog dang / klu'i rgyal po 'brug skad dang / klu'i rgyal po glog rab tu gtong dang /	klu rgyal po sprin chen rgya byed dang klu rgyal po brug sgrog dang klu rgyal po char byung dang klu rgyal po skar mda stong dang klu rgyal po dus min sgrog dang klu rgyal po brug skad dang klu rgyal po glog rab tu gtong dang 
