segmentnr	original	folio	stemmed
BO_TZ_DZOGCHEN-DESUM-P5:0	sde gsum spyi skor /    rdzogs chen sde gsum gyi mdo byang las /	0	sde gsum spyi skor rdzogs chen sde gsum gyi mdo byang las 
BO_TZ_DZOGCHEN-DESUM-P5:1	zhib par seng brag kha byang chen mor ltos :	0	zhib ba seng brag kha byang chen mor ltos 
BO_TZ_DZOGCHEN-DESUM-P5:2	de nyid sa steng byung ba tsham gyis ni :	0	de nyid sa steng byung ba tsham gyis ni 
BO_TZ_DZOGCHEN-DESUM-P5:3	mon gyi dkar po brag gi gter kha thon :	0	mon gyi dkar po brag gi gter kha thon 
BO_TZ_DZOGCHEN-DESUM-P5:4	zhes gsungs /:	0	zhes gsungs 
BO_TZ_DZOGCHEN-DESUM-P5:5	lung pa'i mdar pha wong yod :	0	lung ba mdar pha wong yod 
BO_TZ_DZOGCHEN-DESUM-P5:6	chu'i 'gram du brag dben rtsha yod :	0	chu grams du brag dben rtsha yod 
BO_TZ_DZOGCHEN-DESUM-P5:7	lung pa'i chu 'bab pa'i mdar klung shod kyi chu yod :	0	lung ba chu bab ba mdar klung shod kyi chu yod 
BO_TZ_DZOGCHEN-DESUM-P5:8	de'i rgyud du 'brug a yu :	0	de brgyud du brug a yu 
BO_TZ_DZOGCHEN-DESUM-P5:9	lho byung rat+na :	0	lho byung rat+na 
BO_TZ_DZOGCHEN-DESUM-P5:10	khyi d+harma : si he ka sid+d+hi dbye :	1	khyi d+harma si he ka sid+d+hi byed 
BO_TZ_DZOGCHEN-DESUM-P5:11	he badzra pra be sha ya phata?:	1	he badzra pra be sha ya phata?: 
BO_TZ_DZOGCHEN-DESUM-P5:12	lho seng brag bya skyibs gsum pa'i bar mtshhal gyi g.yung drung yod :	1	lho seng brag byed skyibs gsum ba ba mtshhal gyi g.yung drung yod 
BO_TZ_DZOGCHEN-DESUM-P5:13	o rgyan zhwa'i nang la bswe'i sgrom sor bzhi pa'i nang du lha sras kyi phyag tham yod :	1	o rgyan zhwa nang la bswe sgrom sor bzhi ba nang du lha sras kyi phyag tham yod 
