segmentnr	original	stemmed
BO_K12_D0729=D1001_H0680:92a-0	@92a dkon mchog gsum la phyag 'tshal lo //	dkon(d) mchog gsum la phyag tshal lo 
BO_K12_D0729=D1001_H0680:92a-1	na mo ratna tra y'a ya /	na mo ratna tra ya ya 
BO_K12_D0729=D1001_H0680:92a-2	na ma a'ary'a ba lo ki te shva r'a ya /	na ma aarya ba lo ki te shva ra ya 
BO_K12_D0729=D1001_H0680:92a-3	bo dhi satv'a ya /	bo dhi satva ya 
BO_K12_D0729=D1001_H0680:92a-4	ma h'a sat'v'a ya /	ma ha satva ya 
BO_K12_D0729=D1001_H0680:92a-5	ma h'a k'a ru ni k'a ya /	ma ha ka ru ni ka ya 
BO_K12_D0729=D1001_H0680:92a-6	tadya th'a / aom t'a re tutt'a re tu re sarba du shtan pra du shtan ma ma kri te dzam bha ya /	tadya tha aom ta re tutta re tu re sarba du shtan pra du shtan ma ma kri te dzam bha ya 
BO_K12_D0729=D1001_H0680:92a-7	stam bha ya /	stam bha ya 
BO_K12_D0729=D1001_H0680:92a-8	mo ha ya /	mo ha ya 
BO_K12_D0729=D1001_H0680:92a-9	bandha ya / h'um h'um h'um/	bandha ya hum hum 
BO_K12_D0729=D1001_H0680:92a-10	phat phat phat/ sarba dushta stam bha ni t'a re sv'ah'a /	phat phat sarba dushta stam bha ni ta re svaha 
BO_K12_D0729=D1001_H0680:92a-11	'phags ma sgrol ma'i gzungs rdzogs so ////	phag ma sgrol ma gzungs rdzogs so 
