segmentnr	original	stemmed
BO_K12_D0704_H0673:47a-0	@47a na mo ratna tra y'a ya /	na mo ratna tra ya ya 
BO_K12_D0704_H0673:47a-1	na ma a'ary'a ba lo ki te shva r'a ya /	na ma aarya ba lo ki te shva ra ya 
BO_K12_D0704_H0673:47a-2	bo dhi satv'a ya /	bo dhi satva ya 
BO_K12_D0704_H0673:47a-3	ma h'a satv'a ya /	ma ha satva ya 
BO_K12_D0704_H0673:47a-4	ma h'a ka ru ni k'a ya /	ma ha ka ru ni ka ya 
BO_K12_D0704_H0673:47a-5	tadya th'a / aom aa ka te /	tadya tha aom aa ka te 
BO_K12_D0704_H0673:47a-6	bi ka te /	bi ka te 
BO_K12_D0704_H0673:47a-7	ni ka te /	ni ka te 
BO_K12_D0704_H0673:47a-8	ka tam ka te /	ka tam ka te 
BO_K12_D0704_H0673:47a-9	ka ro te /	ka ro te 
BO_K12_D0704_H0673:47a-10	ka ro te /	ka ro te 
BO_K12_D0704_H0673:47a-11	b'irye sv'ah'a / bcom ldan 'das de'i spyan sngar pa'i lci ba sa la ma ltung bas so sor mandala brgyad byas la mandala re re la lan bcu gsum gyi bar du bzlas la /	brye svaha joms ldan da de spyan sngar ba lci ba sa la ma ltung ba so sor mandala brgyad byed la mandala re re la lan chu gsum gyi ba du bzlas la 
BO_K12_D0704_H0673:47a-12	lci ba lhag ma la sngags bzlas te sman pa la nye bar byugs na /	lci ba lhag ma la sngags bzlas te sman ba la nye ba byug na 
BO_K12_D0704_H0673:47a-13	nad thams cad zhi bar 'gyur ro //	nad thams cad zhi ba gyur ro 
BO_K12_D0704_H0673:47a-14	gal te nyi ma bdun nam /	gal te nyi ma bdun nam 
BO_K12_D0704_H0673:47a-15	bcu gsum mam /	chu gsum mam 
BO_K12_D0704_H0673:47a-16	nyi shu rtsa gcig gis 'grub ste /	nyi shu rtsa gcig gis grub ste 
BO_K12_D0704_H0673:47a-17	mtshams 'grub ste /	mtshams grub ste 
BO_K12_D0704_H0673:47a-18	mtshams med pa lnga byas pa ni /	mtshams med ba lnga byed ba ni 
BO_K12_D0704_H0673:47a-19	ma yin no //	ma yin no 
BO_K12_D0704_H0673:47a-20	de ltar ma grub na /	de ltar ma grub na 
BO_K12_D0704_H0673:47a-21	bdag gis mtshams med pa lnga byas par 'gyur ro //	bdag gis mtshams med ba lnga byed ba gyur ro 
BO_K12_D0704_H0673:47a-22	sengge sgra'i gzungs rdzogs so ////	sengge sgra gzungs rdzogs so 
BO_K12_D0704_H0673:47a-23	rgya gar gyi mkhan po ngag gi dbang phyug dang / glog skya shes rab brtsegs kyis bsgyur ba'o ////	rgya gar gyi mkhan po ngag gi dbang phyug dang glog skya shes rab brtsegs kyis sgyur ba 
