segmentnr	original	folio	stemmed
BO_T02_D1222:22b-0	@22b thams @23a # //	22b	thams 
BO_T02_D1222:22b-1	cad dngos po'i rang bzhin mchog / gdod nas thams cad de bzhin gshegs //	22b	cad dngos po rang bzhin mchog gdod nas thams cad de bzhin gshegs 
BO_T02_D1222:22b-2	gnyis med don gyi bdag nyid can //	22b	gnyis med don gyi bdag nyid can 
BO_T02_D1222:22b-3	kye yi rdo rje phyag 'tshal bstod //	22b	kye yi rdo rje phyag tshal bstod 
BO_T02_D1222:22b-4	sngon po chos nyid mi 'gyur ba //	22b	sngon po chos nyid mi gyur ba 
BO_T02_D1222:22b-5	dmar po thugs rje rgyun mi 'chad //	22b	dmar po thugs rje rgyun mi chad 
BO_T02_D1222:22b-6	gyen brdzes 'gro ba 'dren pa ste ;	22b	gyen brdzes gro ba bgrang ba ste 
BO_T02_D1222:22b-7	/ he ru ka la phyag 'tshal bstod //	22b	he ru ka la phyag tshal bstod 
BO_T02_D1222:22b-8	spyan gsum rnam par thar pa gsum //	22b	spyan gsum rnam ba thar ba gsum 
BO_T02_D1222:22b-9	dmar ba chos nyid chags pa'i don //	22b	dmar ba chos nyid chags ba don 
BO_T02_D1222:22b-10	h'um sgrogs skye ba med pa ste //	22b	hum sgrogs skye ba med ba ste 
BO_T02_D1222:22b-11	kun gyi gtso la phyag 'tshal bstod //	22b	kun gyi gtso la phyag tshal bstod 
BO_T02_D1222:22b-12	g-yas na gdug 'joms rdo rje ste //	22b	g-yas na gdug joms rdo rje ste 
BO_T02_D1222:22b-13	g-yon na bde skyong ka p'a la //	22b	g-yon na bde skyong ka pa la 
BO_T02_D1222:22b-14	shes rab mtshon pa kha tvam ga //	22b	shes rab mtshon ba kha tvam ga 
BO_T02_D1222:22b-15	longs spyod rdzogs la phyag 'tshal bstod //	22b	longs spyod rdzogs la phyag tshal bstod 
BO_T02_D1222:22b-16	thod pa ye shes lnga yi dngos //	22b	thod ba ye shes lnga yi dngos 
BO_T02_D1222:22b-17	phyag rgya lnga ni rigs lnga ste //	22b	phyag rgya lnga ni rigs lnga ste 
BO_T02_D1222:22b-18	do shal phreng ba 'du byed spangs //	22b	do shal phreng ba du byed spong 
BO_T02_D1222:22b-19	sprul sku khyod la phyag 'tshal bstod //	22b	sprul sku khyod la phyag tshal bstod 
BO_T02_D1222:22b-20	nyon mongs ma gos padma'i gdan //	22b	nyon mongs ma gos padma gdan 
BO_T02_D1222:22b-21	rnam rtog mi mnga' tshangs pa'i ro //	22b	rnam rtogs mi mnga tshangs ba ro 
BO_T02_D1222:22b-22	ma rig sreg pa'i nyi ma ste //	22b	ma rig sreg ba nyi ma ste 
BO_T02_D1222:22b-23	gos med sku la phyag 'tshal bstod //	22b	gos med sku la phyag tshal bstod 
BO_T02_D1222:22b-24	rdzogs so / //	22b	rdzogs so 
