segmentnr	original	stemmed
BO_K12_D0577=D0933_H0748:136a-0	@136a 'phags pa shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa'i gzungs /	phag ba shes rab kyi pha rol tu phyin ba stong phrag nyi shu lnga ba gzungs 
BO_K12_D0577=D0933_H0748:136a-1	bcom ldan 'das ma yum shes rab kyi pha rol tu phyin pa la phyag 'tshal lo //	joms ldan da ma yum shes rab kyi pha rol tu phyin ba la phyag tshal lo 
BO_K12_D0577=D0933_H0748:136a-2	tadya th'a / aom pra dzny'a pra dzny'e /	tadya tha aom pra dznya pra dznye 
BO_K12_D0577=D0933_H0748:136a-3	pradzny'a aa pa bh'a sa pradzny'a ba lo ki te sarba dharma aan dha k'a ra bhi dharma ni /	pradznya aa ba bha sa pradznya ba lo ki te sarba dharma aan dha ka ra bhi dharma ni 
BO_K12_D0577=D0933_H0748:136a-4	siddhe su siddhe /	siddhe su siddhe 
BO_K12_D0577=D0933_H0748:136a-5	siddhantu m'am bha ga ba ti /	siddhantu m bha ga ba ti 
BO_K12_D0577=D0933_H0748:136a-6	sarba dzny'a na san dha ri /	sarba dznya na san dha ri 
BO_K12_D0577=D0933_H0748:136a-7	bha ga ba ti bad tshe la /	bha ga ba ti bad tshe la 
BO_K12_D0577=D0933_H0748:136a-8	pra sa ra te hasta ma ma su ka ra /	pra sa ra te hasta ma ma su ka ra 
BO_K12_D0577=D0933_H0748:136a-9	siddha siddha buddha buddha /	siddha siddha buddha buddha 
BO_K12_D0577=D0933_H0748:136a-10	kam pa kam pa /	kam ba kam ba 
BO_K12_D0577=D0933_H0748:136a-11	p'a la p'a la /	pa la pa la 
BO_K12_D0577=D0933_H0748:136a-12	dha ra dha ra /	dha ra dha ra 
BO_K12_D0577=D0933_H0748:136a-13	ba ra ba ra /	ba ra ba ra 
BO_K12_D0577=D0933_H0748:136a-14	gardza gardza / aa gatstsha /	gardza gardza aa gatstsha 
BO_K12_D0577=D0933_H0748:136a-15	aa gatstsha bha ga ba ti m'a bi lamba sv'ah'a /	aa gatstsha bha ga ba ti ma bi lamba svaha 
BO_K12_D0577=D0933_H0748:136a-16	'di bzung bas shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa gzung bar 'gyur ro //	di bzung ba shes rab kyi pha rol tu phyin ba stong phrag nyi shu lnga ba gzung ba gyur ro 
BO_K12_D0577=D0933_H0748:136a-17	las kyi sgrib pa thams cad byang bar 'gyur ro //	las kyi sgrib ba thams cad byang ba gyur ro 
BO_K12_D0577=D0933_H0748:136b-0	'phags pa shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa'i @136b gzungs rdzogs so ////	phag ba shes rab kyi pha rol tu phyin ba stong phrag nyi shu lnga ba gzungs rdzogs so 
