segmentnr	original	folio	stemmed
BO_TZ51_ZHI-026:63	/de ltar grub nas don gal che ba'i dngos grub zhu dgos kyi skabs su /	6	ltar grub nas don gal che ba dngos grub ju dgos kyi skabs su 
BO_TZ51_ZHI-026:64	gsol ka sngags dmigs /	6	gsol ka sngags dmigs 
BO_TZ51_ZHI-026:65	gtor 'bul phrin bcol tsham byas na'ang 'dod pa'i dngos grub 'byung ba yid bzhin nor bu bas lhag pa yin no //	6	thor bul phrin chol tsham byed na dod ba dngos grub byung ba yid bzhin nor bu ba lhag ba yin no 
BO_TZ51_ZHI-026:66	de ltar kun 'khyil ma'i dril sgrub kyi zin bris bsnyen yig zab gsang yid bzhin mdzod kyi lde'u mig ces pa 'di yang /	6	de ltar kun khyil ma dril sgrub kyi zin bri snyen yig zab gsang yid bzhin mdzod kyi ldeu mig ces ba di yang 
BO_TZ51_ZHI-026:67	rang 'dod sbyin chu ma yin par /	6	rang dod sbyin chu ma yin ba 
BO_TZ51_ZHI-026:68	mtshhungs med dpal ldan bla ma rin po che'i zhal gyi man ngag ji ltar snyan brgyud yi ger bkod pa ste /	6	mtshhungs med dpal ldan bla ma rin po che zhal gyi man ngag ji ltar snyan brgyud yi ger bkod ba ste 
BO_TZ51_ZHI-026:69	pad+ma rab dga' 'di yi sgrub pa la zhugs skabs phan phyir bris pa /	6	pad+ma rab dga di yi sgrub ba la jug skabs phan phyir bri ba 
BO_TZ51_ZHI-026:70	dam med lag tu song na sha za da kis bka' chad drag po phob cig	7	dam med lag tu gro na sha za da kis bka chad drag po phob cig 
BO_TZ51_ZHI-026:71	/bka' rgya dam pas gzhan la bstan na nor bu mi la byin pa dang 'dra 'o //	7	rgya dam ba gzhan la ston na nor bu mi la byin ba dang dra mang 
BO_TZ51_ZHI-026:72	zhes sha sa na d+ha ra sa ga ras shing rta lo dang po'i gsar tshhes kyi thun bar gcig tu bris pa gsang ba bsgrags pa'i nyes pa bshags shing /	7	zhes sha sa na d+ha ra sa ga ras shing rta lo dang po gsar tshhes kyi thun ba gcig tu bri ba gsang ba sgrog ba nyes ba chags shing 
BO_TZ51_ZHI-026:73	dge bas bdag sogs sbyin pa'i phar phyin rdzogs par gyur cig //	7	dge ba bdag sogs sbyin ba phar phyin rdzogs ba gyur cig 
