segmentnr	original	stemmed
BO_K12_D0786=D1023_H0729:132b-0	@132b dkon mchog gsum la phyag 'tshal lo //	dkon(d) mchog gsum la phyag tshal lo 
BO_K12_D0786=D1023_H0729:132b-1	de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas la phyag 'tshal lo //	de bzhin gshegs ba dgra joms ba yang dag ba rdzogs ba sangs rgya la phyag tshal lo 
BO_K12_D0786=D1023_H0729:132b-2	aom ku m'a ra r'u pa dh'a ra ni bi shva sam bha ba a'a gatstsha a'a gatstsha /	aom ku ma ra ru ba dha ra ni bi shva sam bha ba aa gatstsha aa gatstsha 
BO_K12_D0786=D1023_H0729:132b-3	la gu la gu /	la gu la gu 
BO_K12_D0786=D1023_H0729:132b-4	bh'um bh'um/ h'um h'um/	bhum hum 
BO_K12_D0786=D1023_H0729:132b-5	dzin dzik manydzu shri ye /	dzin dzik manydzu shri ye 
BO_K12_D0786=D1023_H0729:132b-6	ta ra ya m'am/	ta ra ya 
BO_K12_D0786=D1023_H0729:132b-7	sarba du: khe bhya: phat phat/	sarba du: khe bhya: phat 
BO_K12_D0786=D1023_H0729:132b-8	sa ma ya sa ma ya /	sa ma ya sa ma ya 
BO_K12_D0786=D1023_H0729:132b-9	aa mi tod bha bod bha ba /	aa mi tod bha bod bha ba 
BO_K12_D0786=D1023_H0729:132b-10	p'a pam me n'a sha ya sv'a h'a /	pa pam me na sha ya sva ha 
BO_K12_D0786=D1023_H0729:132b-11	sdig pa thams cad rab tu zhi bar byed pa ces bya ba'i gzungs rdzogs so ////	sdig ba thams cad rab tu zhi ba byed ba ces byed ba gzungs rdzogs so 
