segmentnr	original	stemmed
BO_K12_D0660=D0997-2_H0630-2:173a-0	@173a rgya gar skad du /	rgya gar skad du 
BO_K12_D0660=D0997-2_H0630-2:173a-1	gra ha m'a tri ka n'a ma dha ra n'i /	gra ha ma tri ka na ma dha ra n 
BO_K12_D0660=D0997-2_H0630-2:173a-2	bod skad du; gza' rnams kyi yum zhes bya ba'i gzungs /	bod skad du; gza rnams kyi yum zhes byed ba gzungs 
BO_K12_D0660=D0997-2_H0630-2:173a-3	sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K12_D0660=D0997-2_H0630-2:173a-4	'di skad bdag gis thos pa dus gcig na /	di skad bdag gis thos ba dus gcig na 
BO_K12_D0660=D0997-2_H0630-2:173a-5	bcom ldan 'das 'brog gnas kyi grong khyer na lha dang / klu dang / gnod sbyin dang / srin po dang / dri za dang / lha ma yin dang / nam mkha' lding dang / mi 'am ci dang / lto 'phye chen po dang / bdud dang /	joms ldan da brog gnas kyi grong khyer na lha dang klu dang gnod sbyin dang srin po dang dri za dang lha ma yin dang nam mkha lding dang mi mang ci dang lto phye chen po dang bdud dang 
BO_K12_D0660=D0997-2_H0630-2:173a-6	nyi ma dang / zla ba dang / mig dmar dang / pa ba sangs dang / phur bu dang / gza' lhag pa dang / spen pa dang / sgra gcan dang / mjug ring dang / rgyu skar nyi shu rtsa brgyad la sogs te mang po rnams kyis bstod cing /	nyi ma dang zla ba dang mig dmar dang ba ba sangs dang phur bu dang gza lhag ba dang spen ba dang sgra gcan dang mjug ring dang rgyu skar nyi shu rtsa brgyad la sogs te mang po rnams kyis bstod cing 
BO_K12_D0660=D0997-2_H0630-2:173a-7	rdo rje chen po'i dam tshig gi byin gyi rlabs kyis brgyan pa'i seng+ge'i khri la bzhugs so //	rdo rje chen po dam tshig gi byin gyi rlabs kyis rgyan ba seng+ge khri la bzhugs so 
BO_K12_D0660=D0997-2_H0630-2:173b-0	byang chub sems dpa' du ma dang thabs cig @173b ste; 'di ltar byang chub sems dpa' sems dpa' chen po lag na rdo rje dang / byang chub sems dpa' sems chen po rdo rje gtum po dang / byang chub sems dpa' sems dpa' chen po rdo rje'i sde dang /	byang chub sems dpa du ma dang thabs cig ste; di ltar byang chub sems dpa sems dpa chen po lag na rdo rje dang byang chub sems dpa sems chen po rdo rje thum po dang byang chub sems dpa sems dpa chen po rdo rje sde dang 
BO_K12_D0660=D0997-2_H0630-2:173b-1	byang chub sems dpa' sems dpa' chen po rdo rje gzhu can dang / byang chub sems dpa' sems dpa' chen po rdo rje'i bdag po dang / byang chub sems dpa' sems dpa' chen po rdo rje'i rgyan dang / byang chub sems dpa' sems dpa' chen po rdo rje'i 'od dang /	byang chub sems dpa sems dpa chen po rdo rje gzhu can dang byang chub sems dpa sems dpa chen po rdo rje bdag po dang byang chub sems dpa sems dpa chen po rdo rje rgyan dang byang chub sems dpa sems dpa chen po rdo rje d dang 
BO_K12_D0660=D0997-2_H0630-2:173b-2	byang chub sems dpa' sems dpa' chen po spyan ras gzigs dbang phyug dang / byang chub sems dpa' sems dpa' chen po kun tu gzigs dang / byang chub sems dpa' sems dpa' chen po 'jig rten dpal dang / byang chub sems dpa' sems dpa' chen po padma'i tog dang /	byang chub sems dpa sems dpa chen po spyan ras gzigs dbang phyug dang byang chub sems dpa sems dpa chen po kun tu gzigs dang byang chub sems dpa sems dpa chen po jig rten dpal dang byang chub sems dpa sems dpa chen po padma tog dang 
BO_K12_D0660=D0997-2_H0630-2:173b-3	byang chub sems dpa' sems dpa' chen po zhal ras rgyas pa dang / byang chub sems dpa' sems dpa' chen po padma'i snying po dang / byang chub sems dpa' sems dpa' chen po padma'i spyan dang / byang chub sems dpa' sems dpa' chen po 'jam dpal gzhon nur gyur pa dang /	byang chub sems dpa sems dpa chen po zhal ras rgya ba dang byang chub sems dpa sems dpa chen po padma snying po dang byang chub sems dpa sems dpa chen po padma spyan dang byang chub sems dpa sems dpa chen po jam dpal gzhon nur gyur ba dang 
BO_K12_D0660=D0997-2_H0630-2:174a-0	byang chub sems dpa' sems @174a *//	byang chub sems dpa sems 
