segmentnr	original	stemmed
BO_K02_D0008-10_H0009-10:264a-31	tshad med pa rnams ni dpung gnyen no //	tshad med ba rnams ni dpung gnyen no 
BO_K02_D0008-10_H0009-10:264b-0	tshad med pa rnams ni skyabs @264b so; ;tshad med pa rnams ni mgon no //	tshad med ba rnams ni skyob so; ;tshad med ba rnams ni mgon no 
BO_K02_D0008-10_H0009-10:264b-1	tshad med pa rnams ni ma'o //	tshad med ba rnams ni ma 
BO_K02_D0008-10_H0009-10:264b-2	tshad med pa rnams ni pha'o //	tshad med ba rnams ni pha 
BO_K02_D0008-10_H0009-10:264b-3	gzugs med pa'i snyoms par 'jug pa rnams ni byang chub sems dpa' sems dpa' chen po rnams kyi ston par rig par bya ste /	gzugs med ba snyom ba jug ba rnams ni byang chub sems dpa sems dpa chen po rnams kyi ston ba rig ba byed ste 
BO_K02_D0008-10_H0009-10:264b-4	gzugs med pa'i snyoms par 'jug pa rnams ni lam mo //	gzugs med ba snyom ba jug ba rnams ni lam mo 
BO_K02_D0008-10_H0009-10:264b-5	gzugs med pa'i snyoms par 'jug pa rnams ni snang ba'o //	gzugs med ba snyom ba jug ba rnams ni snang ba 
BO_K02_D0008-10_H0009-10:264b-6	gzugs med pa'i snyoms par 'jug pa rnams ni sgron ma'o //	gzugs med ba snyom ba jug ba rnams ni sgron ma 
BO_K02_D0008-10_H0009-10:264b-7	blo'o // shes pa'o //	blo shes ba 
BO_K02_D0008-10_H0009-10:264b-8	shes rab bo //	shes rab bo 
BO_K02_D0008-10_H0009-10:264b-9	gzugs med pa'i snyoms par 'jug pa rnams ni dpung gnyen no //	gzugs med ba snyom ba jug ba rnams ni dpung gnyen no 
BO_K02_D0008-10_H0009-10:264b-10	gzugs med pa'i snyoms par 'jug pa rnams ni skyabs so //	gzugs med ba snyom ba jug ba rnams ni skyob so 
BO_K02_D0008-10_H0009-10:264b-11	gzugs med pa'i snyoms par 'jug pa rnams ni mgon no //	gzugs med ba snyom ba jug ba rnams ni mgon no 
BO_K02_D0008-10_H0009-10:264b-12	gzugs med pa'i snyoms par 'jug pa rnams ni ma'o //	gzugs med ba snyom ba jug ba rnams ni ma 
BO_K02_D0008-10_H0009-10:264b-13	gzugs med pa'i snyoms par 'jug pa rnams ni pha'o //	gzugs med ba snyom ba jug ba rnams ni pha 
BO_K02_D0008-10_H0009-10:264b-14	rnam par thar pa brgyad ni byang chub sems dpa' sems dpa' chen po rnams kyi ston par rig par bya ste /	rnam ba thar ba brgyad ni byang chub sems dpa sems dpa chen po rnams kyi ston ba rig ba byed ste 
BO_K02_D0008-10_H0009-10:264b-15	rnam par thar pa brgyad ni lam mo //	rnam ba thar ba brgyad ni lam mo 
BO_K02_D0008-10_H0009-10:264b-16	rnam par thar pa brgyad ni snang ba'o //	rnam ba thar ba brgyad ni snang ba 
BO_K02_D0008-10_H0009-10:264b-17	rnam par thar pa brgyad ni sgron ma'o //	rnam ba thar ba brgyad ni sgron ma 
BO_K02_D0008-10_H0009-10:264b-18	blo'o // shes pa'o //	blo shes ba 
BO_K02_D0008-10_H0009-10:264b-19	shes rab bo //	shes rab bo 
BO_K02_D0008-10_H0009-10:264b-20	rnam par thar pa brgyad ni dpung gnyen no //	rnam ba thar ba brgyad ni dpung gnyen no 
BO_K02_D0008-10_H0009-10:264b-21	rnam par thar pa brgyad ni skyabs so //	rnam ba thar ba brgyad ni skyob so 
