segmentnr	original	stemmed
BO_K10_D0202_H0203:97a-0	@97a / /rgya gar gyi mkhan po su rendra bo dhi dang / zhus chen gyi lo ts'a ba bande ye shes sdes bsgyur cing zhus te gtan la phab pa'o ////	gar gyi mkhan po su rendra bo dhi dang zhus chen gyi lo tsa ba bande ye shes sdes sgyur cing zhus te gtan la bebs ba 
BO_K10_D0202_H0203:97a-1	rgya gar skad du /	rgya gar skad du 
BO_K10_D0202_H0203:97a-2	a'arya ni ya ta aa ni ya ta ga ti mu dr'a aa ba t'a ra n'a ma ma h'a y'a na s'u tra /	aarya ni ya ta aa ni ya ta ga ti mu dra aa ba ta ra na ma ma ha ya na su tra 
BO_K10_D0202_H0203:97a-3	bod skad du /	bod skad du 
BO_K10_D0202_H0203:97a-4	'phags pa nges pa dang / ma nges par 'gro ba'i phyag rgya la 'jug pa zhes bya ba theg pa chen po'i mdo /	phag ba nges ba dang ma nges ba gro ba phyag rgya la jug ba zhes byed ba theg ba chen po mdo 
BO_K10_D0202_H0203:97a-5	sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K10_D0202_H0203:97a-6	'di skad bdag gis thos pa dus gcig na /	di skad bdag gis thos ba dus gcig na 
BO_K10_D0202_H0203:97a-7	bcom ldan 'das rgyal po'i khab na bya rgod kyi phung po'i ri la dge slong stong nyis brgya lnga bcu'i dge slong gi dge 'dun chen po dang / byang chub sems dpa' bye ba khrag khrig 'bum phrag drug cu la /	joms ldan da rgyal po khab na byed rgod kyi phung po ri la dge slong stong nyis brgya lnga chu dge slong gi dge dun chen po dang byang chub sems dpa bye ba khrag khrig bum phrag drug cu la 
BO_K10_D0202_H0203:97a-8	'di lta ste /	di lta ste 
BO_K10_D0202_H0203:97b-0	'jam dpal gzhon nur gyur pa dang / spyan ras gzigs dbang phyug dang / mthu chen thob dang / sman gyi rgyal po dang / sman gyi yang dag 'phags dang / mchod rten mngon par bsgrags pa'i sgra skad rgyal po dang / de dag la sogs @97b pa byang chub sems dpa' bye ba khrag khrig 'bum phrag drug cu thams cad kyang rab tu zhi ba rnam par nges pa'i cho 'phrul gyi ting nge 'dzin la gnas pa /	jam dpal gzhon nur gyur ba dang spyan ras gzigs dbang phyug dang mthu chen thob dang sman gyi rgyal po dang sman gyi yang dag phag dang mchod rten mngon ba sgrog ba sgra skad rgyal po dang de dag la sogs ba byang chub sems dpa bye ba khrag khrig bum phrag drug cu thams cad kyang rab tu zhi ba rnam ba nges ba cho phrul gyi ting nge dzin la gnas ba 
BO_K10_D0202_H0203:97b-1	za ba cing brtan pa'i tshul rgya mtsho'i dus rlabs kyi ting nge 'dzin 'thob pa /	za ba cing brtan ba tshul rgya mtsho dus rlabs kyi ting nge dzin thob ba 
BO_K10_D0202_H0203:97b-2	dbang bskur ba'i gzungs thob pa /	dbang skur ba gzungs thob ba 
BO_K10_D0202_H0203:97b-3	sangs rgyas kyi sku mdog mtha' yas pa yongs su 'grub pa'i gzungs thob pa sha stag dang thabs gcig tu bzhugs te /	sangs rgya kyi sku mdog mtha yas ba yongs su grub ba gzungs thob ba sha stag dang thabs gcig tu bzhugs te 
