segmentnr	original	stemmed
BO_K12_D0686-2_H0689-2:103a-3	gsang sngags kyi snying po 'dis lan brgya rtsa brgyad bzlas brjod bgyis nas bcom ldan 'das bdag la bdugs na /	gsang sngags kyi snying po dis lan brgya rtsa brgyad bzlas rjod bgyid nas joms ldan da bdag la bdug na 
BO_K12_D0686-2_H0689-2:103a-4	bdugs pa tsam gyi mod la bcom ldan 'das bdag dgug pa dang / g-yar drangs par 'gyur lags so //	bdug ba tsam gyi mod la joms ldan da bdag gugs ba dang g-yar drangs ba gyur lags so 
BO_K12_D0686-2_H0689-2:103a-5	bcom ldan 'das /	joms ldan da 
BO_K12_D0686-2_H0689-2:103a-6	rig sngags 'di sgrub pa'i tshe rang gi gzugs kyis mdun na mchis shing bsam pa thams cad yid bzhin du dngos grub rjes su stsal bar bgyi /	rig sngags di sgrub ba tshe rang gi gzugs kyis mdun na mchis shing bsam ba thams cad yid bzhin du dngos grub rjes su stsal ba bgyid 
BO_K12_D0686-2_H0689-2:103a-7	bgegs dang / log 'dren thams cad bzlog par bgyi /	bgegs dang log bgrang thams cad bzlog ba bgyid 
BO_K12_D0686-2_H0689-2:103a-8	gnod sbyin dang / srin po dang / 'byung po dang / sha za thams cad bzlog par bgyi /	gnod sbyin dang srin po dang byung po dang sha za thams cad bzlog ba bgyid 
BO_K12_D0686-2_H0689-2:103a-9	'thab pa dang / 'thab mo dang / rtsod pa dang / 'gyed pa thams cad rab tu zhi bar bgyi /	thab ba dang thab mo dang rtsod ba dang gyed ba thams cad rab tu zhi ba bgyid 
BO_K12_D0686-2_H0689-2:103a-10	bsam pa thams cad yid bzhin du rdzogs par bgyi /	bsam ba thams cad yid bzhin du rdzogs ba bgyid 
BO_K12_D0686-2_H0689-2:103a-11	mchog stsal bar bgyi /	mchog stsal ba bgyid 
BO_K12_D0686-2_H0689-2:103a-12	bde legs dang / dge legs bsrung ba dang / bskyab pa dang / sba bar bgyi'o //	bde legs dang dge legs bsrung ba dang bskyab ba dang sbed ba bgyid 
BO_K12_D0686-2_H0689-2:103a-13	bcom ldan 'das /	joms ldan da 
BO_K12_D0686-2_H0689-2:103a-14	mchis nyal ba na bdug spos kyi rgyal po 'dis bdag la bdugs shing /	mchis nyal ba na bdug spros kyi rgyal po dis bdag la bdug shing 
BO_K12_D0686-2_H0689-2:103a-15	bdag gi snying po nor bu rin po che chen po'i snying po gsum po de dag lan nyi shu rtsa gcig brjod na /	bdag gi snying po nor bu rin po che chen po snying po gsum po de dag lan nyi shu rtsa gcig rjod na 
BO_K12_D0686-2_H0689-2:103b-0	bdugs pa tsam gyi mod dang / dran pa @103b tsam gyis bcom ldan 'das bdag nyid kyi ngo bo rang gi gzugs yongs su dag pa bstan cing /	bdug ba tsam gyi mod dang dran ba tsam gyis joms ldan da bdag nyid kyi ngo bo rang gi gzugs yongs su dag ba ston cing 
BO_K12_D0686-2_H0689-2:103b-1	mngon sum du mchis par bgyi /	mngon sum du mchis ba bgyid 
BO_K12_D0686-2_H0689-2:103b-2	mchog thams cad rjes su stsal bar bgyi /	mchog thams cad rjes su stsal ba bgyid 
BO_K12_D0686-2_H0689-2:103b-3	byung ba dang 'byung ba'i bka' mchid bgyi'o //	byung ba dang byung ba bka mchid bgyid 
BO_K12_D0686-2_H0689-2:103b-4	dran pa tsam gyi mod la don yod pa padma gtsug tor gyi zhags pa'i snying po 'di dran pa tsam gyis bcom ldan 'das /	dran ba tsam gyi mod la don yod ba padma gtsug tor gyi zhags ba snying po di dran ba tsam gyis joms ldan da 
BO_K12_D0686-2_H0689-2:103b-5	bdag rig sngags 'chang de'i mdun du mchis shing bsam pa thams cad yid bzhin du yongs su rdzogs par bgyi /	bdag rig sngags chang de mdun du mchis shing bsam ba thams cad yid bzhin du yongs su rdzogs ba bgyid 
BO_K12_D0686-2_H0689-2:103b-6	sdang ba dang / sdig pa thams cad dang / bgegs dang log 'dren thams cad so sor bzlog par bgyi /	sdang ba dang sdig ba thams cad dang bgegs dang log bgrang thams cad so sor bzlog ba bgyid 
BO_K12_D0686-2_H0689-2:103b-7	dngos grub chen po sgrub pa rjes su stsal bar bgyi /	dngos grub chen po sgrub ba rjes su stsal ba bgyid 
BO_K12_D0686-2_H0689-2:103b-8	bkra shis kyi sgra thams cad 'byung bar bgyi /	bkra shis kyi sgra thams cad byung ba bgyid 
BO_K12_D0686-2_H0689-2:103b-9	rig sngags kyi dngos grub thams cad rjes su stsal bar bgyi /	rig sngags kyi dngos grub thams cad rjes su stsal ba bgyid 
BO_K12_D0686-2_H0689-2:103b-10	cho ga zhib mo dang / dkyil 'khor dang / phyag rgya rim par phye ba'i dngos grub thams cad rjes su stsal bar bgyi /	cho ga zhib mo dang dkyil khor dang phyag rgya rim ba byed ba dngos grub thams cad rjes su stsal ba bgyid 
BO_K12_D0686-2_H0689-2:103b-11	bsod nams drang ba'i dngos grub thams cad rjes su stsal bar bgyi /	bsod nams dren ba dngos grub thams cad rjes su stsal ba bgyid 
BO_K12_D0686-2_H0689-2:103b-12	dus ma yin par 'chi ba thams cad so sor bzlog par bgyi /	dus ma yin ba chi ba thams cad so sor bzlog ba bgyid 
BO_K12_D0686-2_H0689-2:103b-13	sdig pa dang / sgrib pa thams cad rnam par dag par bgyi /	sdig ba dang sgrib ba thams cad rnam ba dag ba bgyid 
BO_K12_D0686-2_H0689-2:103b-14	rtag tu rjes su 'brang bar bgyi /	rtag tu rjes su brang ba bgyid 
BO_K12_D0686-2_H0689-2:103b-15	rtag tu rgyun mi 'chad par rig sngags 'chang gi bgegs dang log 'dren thams cad so sor bzlog par bgyi /	rtag tu rgyun mi chad ba rig sngags chang gi bgegs dang log bgrang thams cad so sor bzlog ba bgyid 
BO_K12_D0686-2_H0689-2:103b-16	nad thams cad bsal bar bgyi'o //	nad thams cad bsal ba bgyid 
BO_K12_D0686-2_H0689-2:103b-17	bcom ldan 'das /	joms ldan da 
BO_K12_D0686-2_H0689-2:104a-0	@104a *// rig sngags 'chang 'gum pa'i tshe rnam par shes pa tha ma la bab pa ste /	rig sngags chang gum ba tshe rnam ba shes ba tha ma la bab ba ste 
BO_K12_D0686-2_H0689-2:104a-1	bcom ldan 'das /	joms ldan da 
BO_K12_D0686-2_H0689-2:104a-2	bdag gis rtag tu mngon sum du bstan cing mdun na nye bar mchis par bgyi /	bdag gis rtag tu mngon sum du ston cing mdun na nye ba mchis ba bgyid 
BO_K12_D0686-2_H0689-2:104a-3	sangs rgyas yid la bgyid pa shin tu dran pas dus las 'da' bar bgyid pa dang / ji ltar sbrul pags pa brjes pa bzhin lus brjes nas 'jig rten gyi khams bde ba can gyi skal pa dang mnyam par padma dag las brdzus te skye la rgyan thams cad kyis brgyan pa dang /	sangs rgya yid la bgyid ba shin tu dran ba dus las da ba bgyid ba dang ji ltar sbrul pags ba rje ba bzhin lus rje nas jig rten gyi khams bde ba can gyi skal ba dang mnyam ba padma dag las brdzus te skye la rgyan thams cad kyis rgyan ba dang 
BO_K12_D0686-2_H0689-2:104a-4	tshe rabs su tshe rabs dran par 'gyur /	tshe rabs su tshe rabs dran ba gyur 
BO_K12_D0686-2_H0689-2:104a-5	de bzhin gshegs pa thams cad kyis yongs su bzung zhing byin gyis brlabs par 'gyur /	de bzhin gshegs ba thams cad kyis yongs su bzung zhing byin gyis brlabs ba gyur 
BO_K12_D0686-2_H0689-2:104a-6	lus rdo rjer 'gyur /	lus rdo rjer gyur 
BO_K12_D0686-2_H0689-2:104a-7	sangs rgyas kyi zhing thams cad du chud par 'gyur /	sangs rgya kyi zhing thams cad du chud ba gyur 
BO_K12_D0686-2_H0689-2:104a-8	sa bcu la gnas par yang 'gyur /	sa chu la gnas ba yang gyur 
BO_K12_D0686-2_H0689-2:104a-9	phyir mi ldog pa'i sa la gnas par yang 'gyur /	phyir mi ldog ba sa la gnas ba yang gyur 
BO_K12_D0686-2_H0689-2:104a-10	de bzhin gshegs pa thams cad kyis lung bstan par yang 'gyur /	de bzhin gshegs ba thams cad kyis lung ston ba yang gyur 
BO_K12_D0686-2_H0689-2:104a-11	dge ba'i rtsa ba thams cad bskyed par yang 'gyur /	dge ba rtsa ba thams cad skyed ba yang gyur 
BO_K12_D0686-2_H0689-2:104a-12	de bzhin gshegs pa thams cad mngon sum du ston par 'gyur /	de bzhin gshegs ba thams cad mngon sum du ston ba gyur 
BO_K12_D0686-2_H0689-2:104a-13	bsod nams kyi tshogs thams cad bsags par 'gyur /	bsod nams kyi tshogs thams cad bsags ba gyur 
