segmentnr	original	stemmed
BO_K12_D0815_H0772:354a-0	@354a dkon mchog gsum la phyag 'tshal lo //	dkon(d) mchog gsum la phyag tshal lo 
BO_K12_D0815_H0772:354a-1	zas skom bzang po'i ro zhim zhing mdog sdug la dri bsung dang ldan zhing ngad ldang ba /	zas skom bzang po ro zhim zhing mdog sdug la dri bsung dang ldan zhing ngad ldang ba 
BO_K12_D0815_H0772:354a-2	yon tan phun sum tshogs pas brgyan pa /	yon tan phun sum tshogs ba rgyan ba 
BO_K12_D0815_H0772:354a-3	dpag bsam gyi shing ljon pa'i nags tshal dkon zhing dri ma med la rgyan gyis klubs pa /	dpog bsam gyi shing ljon ba nags tshal dkon(d) zhing dri ma med la rgyan gyis klub ba 
BO_K12_D0815_H0772:354b-0	yal ga'i thor to'i ljid kyis gzur za la mgo lcogs me tog kha phye zhing 'dab mas legs par brgyan te bung ba lang long khyus lding zhing 'phungs pa rnams kyis bzhib cing non pa'i shugs kyis bag tsam @354b 'dar ldem ldem la rin chen yal ga dang	yal ga thor to ljid kyis gzur za la mgo lcogs me tog kha byed zhing dab mas legs ba rgyan te bung ba lang long khyus lding zhing phungs ba rnams kyis bzhib cing non ba shugs kyis bag tsam dar ldem ldem la rin chen yal ga dang 
BO_K12_D0815_H0772:354b-1	/ ma rgad lcug phran gyi bla re 'jol ba dang / mngon par sgrub par byed pa /	ma rgad lcug phran gyi bla re jol ba dang mngon ba sgrub ba byed ba 
BO_K12_D0815_H0772:354b-2	'gro ba dag tu mtshor bar 'gro ba'i g-yangs chen po yang ba dag tu mar me snang gsal dag cing dri ma med pa lta bu byin pa gang las bsod nams dang / bsod nams kyi rgyu mthun pa dang / dge ba dang / dge ba'i rgyu dang /	gro ba dag tu mtshor ba gro ba g-yangs chen po yang ba dag tu mar me snang gsal dag cing dri ma med ba lta bu byin ba gang las bsod nams dang bsod nams kyi rgyu mthun ba dang dge ba dang dge ba rgyu dang 
BO_K12_D0815_H0772:354b-3	mthun pa bde dgu'i gzhir gyur pa des na sbyin bdag chen po bdag nyid che ba che ge mo zhig gi lus dge ba bcu'i las kyi lam gyis bsgrubs pa la tshe dang / kha dog dang / stobs dang / gzi byin dang / longs spyod dang /	mthun ba bde dgu gzhir gyur ba des na sbyin bdag chen po bdag nyid che ba che ge mo jig gi lus dge ba chu las kyi lam gyis sgrub ba la tshe dang kha dog dang stobs dang gzi byin dang longs spyod dang 
BO_K12_D0815_H0772:354b-4	dbang phyug dang / shes rab dang / spobs pa phun sum tshogs par gyur cig /	dbang phyug dang shes rab dang spobs ba phun sum tshogs ba gyur cig 
BO_K12_D0815_H0772:354b-5	sbyin bdag gi bsod nams ma skyes pa rnams ni skye bar gyur cig /	sbyin bdag gi bsod nams ma skye ba rnams ni skye ba gyur cig 
BO_K12_D0815_H0772:354b-6	sbyin bdag gi longs spyod kyi sa zin ba rnams ni 'phel zhing rgyas par gyur cig /	sbyin bdag gi longs spyod kyi sa zin ba rnams ni phel zhing rgya ba gyur cig 
BO_K12_D0815_H0772:354b-7	de bzhin du sbyin bdag gi pha ma mchog tu dka' ba byed byed ba /	de bzhin du sbyin bdag gi pha ma mchog tu dka ba byed byed ba 
BO_K12_D0815_H0772:354b-8	gso gas / gnam gnam /	gso gas gnam gnam 
BO_K12_D0815_H0772:354b-9	bskyed bskyed / bsring bsring la dzambu'i gling bkra yer yer mig gis mthong bar byed pas kyang bsod nams kyi phud kyi skal shas thob par gyur cig /	skyed skyed bsring bsring la dzambu gling bkra yer yer mig gis mthong ba byed ba kyang bsod nams kyi bud kyi skal shas thob ba gyur cig 
BO_K12_D0815_H0772:354b-10	de bzhin du sbyin bdag gi chung ma rnams dang / bu rnams dang / bu mo rnams dang / sbyin bdag gi gnyen 'dab mdza' bshes rgyas ba'i tshan ris gang dag 'khod cing 'tshol gnas pa de dag kyang tshe rang zhing longs spyod che la g-yog 'khor mang bar gyur cig /	de bzhin du sbyin bdag gi chung ma rnams dang bu rnams dang bu mo rnams dang sbyin bdag gi gnyen dab mdza bshes rgya ba tshan ris gang dag khod cing tshol gnas ba de dag kyang tshe rang zhing longs spyod che la g-yog khor mang ba gyur cig 
BO_K12_D0815_H0772:355a-0	gang dag @355a *//	gang dag 
BO_K12_D0815_H0772:355a-1	'das shing tshe 'phos pa de dag kyang 'gro ba dang / skye ba'i gnas dang / gnas tha dad pa'i khyad par thob pa 'gyur te lha'i gnas su skyes par gyur nas 'phags pa byams pa'i zhal snga nas mnyes par byed par gyur cig /	da shing tshe pho ba de dag kyang gro ba dang skye ba gnas dang gnas tha dad ba khyad ba thob ba gyur te lha gnas su skye ba gyur nas phag ba byams ba zhal snga nas mnyes ba byed ba gyur cig 
BO_K12_D0815_H0772:355a-2	de bzhin du rgyal po'i mchog rgyal po chen po mnga' bdag dam pa dpal lha btsan pos ma phebs pa rnams ni phebs par gyur cig /	de bzhin du rgyal po mchog rgyal po chen po mnga bdag dam ba dpal lha btsan pos ma phebs ba rnams ni phebs ba gyur cig 
BO_K12_D0815_H0772:355a-3	phebs zin pa rnams ni cham du phebs par gyur cig /	phebs zin ba rnams ni cham du phebs ba gyur cig 
BO_K12_D0815_H0772:355a-4	stobs kyi 'khor los bsgyur ba'i rgyal srid kyang brnyes par gyur cig /	stobs kyi khor los sgyur ba rgyal srid kyang brnyes ba gyur cig 
BO_K12_D0815_H0772:355a-5	de bzhin du nye 'khor gyi grong na gnas pa'i rigs bzhi ste bram ze dang / rgyal rigs dang / rje'u rigs dang / dmangs rigs la sogs pa yul gyi mi rnams la nad med cing gnod pa med par gyur cig /	de bzhin du nye khor gyi grong na gnas ba rigs bzhi ste bram ze dang rgyal rigs dang rjeu rigs dang dmangs rigs la sogs ba yul gyi mi rnams la nad med cing gnod ba med ba gyur cig 
BO_K12_D0815_H0772:355a-6	de bzhin du mi mdzed kyi bdag po tshangs pa dang / lha'i dbang po brgya byin dang / 'jig rten skyong ba bzhi dang / gnod sbyin gyi sde dpon chen po nyi shu rtsa brgyad dang / klu'i rgyal po dga' bo dang / bsnyen dga' bo dang /	de bzhin du mi mdzed kyi bdag po tshangs ba dang lha dbang po brgya byin dang jig rten skyong ba bzhi dang gnod sbyin gyi sde dpon chen po nyi shu rtsa brgyad dang klu rgyal po dga bo dang snyen dga bo dang 
