segmentnr	original	stemmed
BO_K12_D0622=D1014_H0546:284a-0	@284a rgya gar skad du /	rgya gar skad du 
BO_K12_D0622=D1014_H0546:284a-1	a'arya sarba ro ga pra sha ma ni n'a ma dh'a ra ni /	aarya sarba ro ga pra sha ma ni na ma dha ra ni 
BO_K12_D0622=D1014_H0546:284a-2	bod skad du /	bod skad du 
BO_K12_D0622=D1014_H0546:284a-3	'phags pa nad thams cad rab tu zhi bar byed pa ces bya ba'i gzungs /	phag ba nad thams cad rab tu zhi ba byed ba ces byed ba gzungs 
BO_K12_D0622=D1014_H0546:284a-4	sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K12_D0622=D1014_H0546:284a-5	'di skad bdag gis thos pa dus gcig na; bcom ldan 'das mnyan yod na rgyal bu rgyal byed kyi tshal mgon med zas sbyin gyi kun dga' ra ba na bzhugs te /	di skad bdag gis thos ba dus gcig na; joms ldan da nyan yod na rgyal bu rgyal byed kyi tshal mgon med zas sbyin gyi kun dga ra ba na bzhugs te 
BO_K12_D0622=D1014_H0546:284a-6	de nas bcom ldan 'das kyi dge slong rnams la bka' stsal pa /	de nas joms ldan da kyi dge slong rnams la bka stsal ba 
BO_K12_D0622=D1014_H0546:284a-7	dge slong dag /	dge slong dag 
BO_K12_D0622=D1014_H0546:284a-8	chos kyi rnam grangs 'di zungs shig /	chos kyi rnam grangs di zungs shig 
BO_K12_D0622=D1014_H0546:284a-9	chongs shig / lhogs shig /	chongs shig lhogs shig 
BO_K12_D0622=D1014_H0546:284a-10	kun chub par gyis shig /	kun chub ba gyis shig 
BO_K12_D0622=D1014_H0546:284a-11	gzhan dag la yang rgya cher yang dag par ston cig /	gzhan dag la yang rgya cher yang dag ba ston cig 
BO_K12_D0622=D1014_H0546:284a-12	tadya th'a / tsa le me /	tadya tha tsa le me 
BO_K12_D0622=D1014_H0546:284a-13	tsa le me /	tsa le me 
BO_K12_D0622=D1014_H0546:284a-14	pam na ko ki li /	pam na ko ki li 
BO_K12_D0622=D1014_H0546:284a-15	shri ma ti /	shri ma ti 
BO_K12_D0622=D1014_H0546:284a-16	kunda le / dundu bhe /	kunda le dundu bhe 
BO_K12_D0622=D1014_H0546:284a-17	aindra ni / mu khe sv'ah'a /	aindra ni mu khe svaha 
BO_K12_D0622=D1014_H0546:284a-18	'di dag ni /	di dag ni 
BO_K12_D0622=D1014_H0546:284b-0	zas ma zhu ba dang / sbos pa dang / khrag @284b dang mkhris pa 'dres pa dang / gzhang 'brum gyis btab pa dang / gzhan nad can dang / za gu dang / lud pa can dang / rims nad can dang / klad pa na ba dang /	zas ma ju ba dang sbo ba dang khrag dang mkhris ba dre ba dang gzhang brum gyis debs ba dang gzhan nad can dang za gu dang lud ba can dang rims nad can dang klad ba na ba dang 
BO_K12_D0622=D1014_H0546:284b-1	gzhogs phyed na ba dang / yi dvags kyis zin pa'i gsang sngags kyi gzhi yin te /	gzhogs phyed na ba dang yi dvags kyis zin ba gsang sngags kyi gzhi yin te 
BO_K12_D0622=D1014_H0546:284b-2	kun dga' bo /	kun dga bo 
BO_K12_D0622=D1014_H0546:284b-3	gang gsang sngags kyi gzhi 'di dag las 'gal bar byed pa de ni /	gang gsang sngags kyi gzhi di dag las gal ba byed ba de ni 
BO_K12_D0622=D1014_H0546:284b-4	ngas lha dang bcas pa'i 'jig rten na ma mthong ngo //	ngas lha dang cha ba jig rten na ma mthong ngo 
BO_K12_D0622=D1014_H0546:284b-5	tshe zad pa ni /	tshe zad ba ni 
BO_K12_D0622=D1014_H0546:284b-6	ma gtogs so //	ma gtogs so 
BO_K12_D0622=D1014_H0546:284b-7	gsang sngags kyi gzhi 'di dag ni /	gsang sngags kyi gzhi di dag ni 
BO_K12_D0622=D1014_H0546:284b-8	de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas kyis gsungs pa ste /	de bzhin gshegs ba dgra joms ba yang dag ba rdzogs ba sangs rgya kyis gsungs ba ste 
BO_K12_D0622=D1014_H0546:284b-9	'di la sangs rgyas ni /	di la sangs rgya ni 
BO_K12_D0622=D1014_H0546:284b-10	sems can thams cad kyi mchog go /	sems can thams cad kyi mchog go 
BO_K12_D0622=D1014_H0546:284b-11	'dod chags dang bral ba ni /	dod chags dang bral ba ni 
BO_K12_D0622=D1014_H0546:284b-12	chos thams cad kyi mchog go /	chos thams cad kyi mchog go 
BO_K12_D0622=D1014_H0546:284b-13	dge 'dun ni; tshogs thams cad kyi mchog go /	dge dun ni; tshogs thams cad kyi mchog go 
BO_K12_D0622=D1014_H0546:284b-14	bden pa'i tshig dang / bden pa'i ngag 'dis bdag gis zos pa dang / 'thung ba dang / 'chos pa dang / myangs pa rnams legs par bde bar zhu bar gyur cig sv'ah'a /	bden ba tshig dang bden ba ngag dis bdag gis zos ba dang thung ba dang chos ba dang myangs ba rnams legs ba bde ba ju ba gyur cig svaha 
BO_K12_D0622=D1014_H0546:284b-15	bcom ldan 'das kyis de skad ces bka' stsal nas dge slong de de dag yi rang ste bcom ldan 'das kyis gsungs pa la mngon par bstod do //	joms ldan da kyis de skad ces bka stsal nas dge slong de de dag yi rang ste joms ldan da kyis gsungs ba la mngon ba bstod do 
BO_K12_D0622=D1014_H0546:284b-16	'phags pa nad thams cad rab tu zhi bar byed pa'i gzungs rdzogs so ////	phag ba nad thams cad rab tu zhi ba byed ba gzungs rdzogs so 
