segmentnr	original	stemmed
BO_K10_D0141=D0526=D0916_H0143:464a-0	@464a / /rgya gar skad du /	gar skad du 
BO_K10_D0141=D0526=D0916_H0143:464a-1	a'arya sha ta mu kha n'a ma dh'a ra n'i /	aarya sha ta mu kha na ma dha ra n 
BO_K10_D0141=D0526=D0916_H0143:464a-2	bod skad du /	bod skad du 
BO_K10_D0141=D0526=D0916_H0143:464a-3	'phags pa sgo drug pa zhes bya ba'i gzungs /	phag ba sgo drug ba zhes byed ba gzungs 
BO_K10_D0141=D0526=D0916_H0143:464a-4	'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	jam dpal gzhon nur gyur ba la phyag tshal lo 
BO_K10_D0141=D0526=D0916_H0143:464a-5	'di skad bdag gis thos pa dus gcig na /	di skad bdag gis thos ba dus gcig na 
BO_K10_D0141=D0526=D0916_H0143:464a-6	bcom ldan 'das 'khor gyi khyams gnas gtsang ma'i steng nam mkha'i dkyil na gnas pa rin po che sna bdun gyis rab tu rnam par phye bar spras pa na byang chub sems dpa'i tshogs grangs med pa dang thabs cig tu bzhugs te /	joms ldan da khor gyi khyams gnas gtsang ma steng nam mkha dkyil na gnas ba rin po che sna bdun gyis rab tu rnam ba byed ba spras ba na byang chub sems dpa tshogs grangs med ba dang thabs cig tu bzhugs te 
BO_K10_D0141=D0526=D0916_H0143:464a-7	de'i tshe bcom ldan 'das kyis byang chub sems dpa' rnams la bka' stsal pa /	de tshe joms ldan da kyis byang chub sems dpa rnams la bka stsal ba 
BO_K10_D0141=D0526=D0916_H0143:464a-8	rigs kyi bu dag /	rigs kyi bu dag 
BO_K10_D0141=D0526=D0916_H0143:464a-9	khyed kyis 'gro ba thams cad la phan pa dang bde ba'i phyir sgo drug pa zhes bya ba'i gzungs zungs shig /	khyed kyis gro ba thams cad la phan ba dang bde ba phyir sgo drug ba zhes byed ba gzungs zungs shig 
BO_K10_D0141=D0526=D0916_H0143:464a-10	de ni / 'di lta ste /	de ni di lta ste 
BO_K10_D0141=D0526=D0916_H0143:464a-11	'khor ba nas 'khor ba'i skye gnas gzhan dag tu bdag gis sdug bsngal gang ci myong ba de /	khor ba nas khor ba skye gnas gzhan dag tu bdag gis sdug sngal gang ci myong ba de 
BO_K10_D0141=D0526=D0916_H0143:464a-12	sems can thams cad dang mnyam nyid mi shes pa'i mtshan nyid du ma gyur cig /	sems can thams cad dang mnyam nyid mi shes ba mtshan nyid du ma gyur cig 
BO_K10_D0141=D0526=D0916_H0143:464a-13	bdag gis 'jig rten pa'i phun sum tshogs pa'i bde ba gang ci myong ba de /	bdag gis jig rten ba phun sum tshogs ba bde ba gang ci myong ba de 
BO_K10_D0141=D0526=D0916_H0143:464a-14	sems can thams cad dang thun mong du yongs su shes par byed par spyod par gyur cig /	sems can thams cad dang thun mong du yongs su shes ba byed ba spyod ba gyur cig 
BO_K10_D0141=D0526=D0916_H0143:464b-0	bdag gis sdig pa mi dge ba'i @464b las gang ci byas pa de /	bdag gis sdig ba mi dge ba las gang ci byed ba de 
BO_K10_D0141=D0526=D0916_H0143:464b-1	so sor bshags pa bla na med pas so sor ma bshags par ma gyur cig /	so sor chags ba bla na med ba so sor ma chags ba ma gyur cig 
BO_K10_D0141=D0526=D0916_H0143:464b-2	bdag gis bdud kyi las gang ci byas pa de /	bdag gis bdud kyi las gang ci byed ba de 
