segmentnr	original	stemmed
BO_K12_D0773=D0969_H0715:126a-0	@126a rgya gar skad du /	rgya gar skad du 
BO_K12_D0773=D0969_H0715:126a-1	a'arya bidya r'a dz'a shva sa ma ha n'a ma /	aarya bidya ra dza shva sa ma ha na ma 
BO_K12_D0773=D0969_H0715:126a-2	bod skad du /	bod skad du 
BO_K12_D0773=D0969_H0715:126a-3	'phags pa rig sngags kyi rgyal po dbugs chen po zhes bya ba /	phag ba rig sngags kyi rgyal po dbugs chen po zhes byed ba 
BO_K12_D0773=D0969_H0715:126b-0	sangs rgyas dang / byang chub sems dpa' thams cad la @126b phyag 'tshal lo //	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K12_D0773=D0969_H0715:126b-1	de nas bcom ldan 'das la gling bzhi pa'i dbang phyug /	de nas joms ldan da la gling bzhi ba dbang phyug 
BO_K12_D0773=D0969_H0715:126b-2	'byung po'i bdag po chen po /	byung po bdag po chen po 
BO_K12_D0773=D0969_H0715:126b-3	mche ba gtsigs pa /	mche ba gtsigs ba 
BO_K12_D0773=D0969_H0715:126b-4	ser skya zhes bya bas 'di skad ces gsol to //	ser skya zhes byed ba di skad ces gsol to 
BO_K12_D0773=D0969_H0715:126b-5	bcom ldan 'das /	joms ldan da 
BO_K12_D0773=D0969_H0715:126b-6	bdag ni 'byung po thams cad kyi bdag po lags te bdag ni gling bzhi pa'i 'jig rten gyi khams na mchis pa'i 'byung po thams cad la 'tshe bar bgyid /	bdag ni byung po thams cad kyi bdag po lags te bdag ni gling bzhi ba jig rten gyi khams na mchis ba byung po thams cad la tshe ba bgyid 
BO_K12_D0773=D0969_H0715:126b-7	rdeg par bgyid /	rdeg ba bgyid 
BO_K12_D0773=D0969_H0715:126b-8	'ching bar bgyid /	ching ba bgyid 
BO_K12_D0773=D0969_H0715:126b-9	'jig rten gyi khams 'di nas 'jig rten gyi khams gzhan du 'phen par bgyid /	jig rten gyi khams di nas jig rten gyi khams gzhan du phen ba bgyid 
BO_K12_D0773=D0969_H0715:126b-10	yan lag dang / nyid lag rnams rnam par gcod par bgyid lags so //	yan lag dang nyid lag rnams rnam ba gcod ba bgyid lags so 
BO_K12_D0773=D0969_H0715:126b-11	bcom ldan 'das /	joms ldan da 
BO_K12_D0773=D0969_H0715:126b-12	gang gi tshe bdag bkres par gyur pa na dbugs gtong ste dbugs des gling bzhi pa'i 'jig rten gyi khams kun tu 'gengs par bgyid cing /	gang gi tshe bdag bkres ba gyur ba na dbugs gtong ste dbugs des gling bzhi ba jig rten gyi khams kun tu gengs ba bgyid cing 
BO_K12_D0773=D0969_H0715:126b-13	bcom ldan 'das /	joms ldan da 
BO_K12_D0773=D0969_H0715:126b-14	bdag mi dang / mi ma lags pa thams cad kyi gzi byin 'phrog par bgyid lags te dbugs chen pos sems can rnams reg ma thag tu bro nad sna tshogs dag 'byung lags so //	bdag mi dang mi ma lags ba thams cad kyi gzi byin phrog ba bgyid lags te dbugs chen pos sems can rnams reg ma thag tu bro nad sna tshogs dag byung lags so 
BO_K12_D0773=D0969_H0715:126b-15	bcom ldan 'das /	joms ldan da 
BO_K12_D0773=D0969_H0715:126b-16	gang na rig sngags kyi rgyal po dbugs chen po zhes bgyi ba 'di spyod pa der bdag gis dbugs kyis mi tshugs pa dang / 'byung po rnams 'tshe bar mi 'gyur ba dang / rigs kyi bu'am /	gang na rig sngags kyi rgyal po dbugs chen po zhes bgyid ba di spyod ba der bdag gis dbugs kyis mi tshugs ba dang byung po rnams tshe ba mi gyur ba dang rigs kyi bu 
BO_K12_D0773=D0969_H0715:127a-0	rigs kyi bu mo gang la la zhig gis sangs rgyas dang / @127a *//	rigs kyi bu mo gang la la jig gis sangs rgya dang 
BO_K12_D0773=D0969_H0715:127a-1	chos dang / dge 'dun rnams la phyag bgyis  nas mgo'am /	chos dang dge dun rnams la phyag bgyid nas mgo 
