segmentnr	original	folio	stemmed
BO_T04_D3978:257a-0	@257a # // rgya gar skad du /	257a	rgya gar skad du 
BO_T04_D3978:257a-1	tri samba ra kra ma /	257a	tri samba ra kra ma 
BO_T04_D3978:257a-2	bod skad du /	257a	bod skad du 
BO_T04_D3978:257a-3	sdom pa gsum gyi rim pa /	257a	sdom ba gsum gyi rim ba 
BO_T04_D3978:257a-4	dkon mchog gsum la phyag 'tshal lo //	257a	dkon(d) mchog gsum la phyag tshal lo 
BO_T04_D3978:257a-5	de la byang chub sems dpa' khyim pa slob pa la /	257a	de la byang chub sems dpa khyim ba slob ba la 
BO_T04_D3978:257a-6	bsnyen gnas dpog pa dang / dge bsnyen gyi sdom pa dang / byang chub sems dpa'i sems bskyed pa dang por bya'o //	257a	snyen gnas dpog ba dang dge snyen gyi sdom ba dang byang chub sems dpa sems skyed ba dang por byed 
BO_T04_D3978:257a-7	bsnyen gnas dpog pa ni /	257a	snyen gnas dpog ba ni 
BO_T04_D3978:257a-8	btsun pa'am / slob dpon dgongs su gsal /	257a	btsun ba slob dpon dgongs su gsal 
BO_T04_D3978:257a-9	bdag dge bsnyen ming 'di zhes bgyi ba /	257a	bdag dge snyen ming di zhes bgyid ba 
BO_T04_D3978:257a-10	ji srid byang chub snying po la mchis kyi bar du /	257a	ji srid byang chub snying po la mchis kyi ba du 
BO_T04_D3978:257a-11	sangs rgyas dang chos dang dge 'dun la skyobs su mchi'o //	257a	sangs rgya dang chos dang dge dun la skyobs su mchi 
BO_T04_D3978:257a-12	de bzhin du lan gnyis lan gsum du bya'o //	257a	de bzhin du lan gnyis lan gsum du byed 
BO_T04_D3978:257a-13	de ltar btsun pas bdag la gsum la skyabs su song bar gzung du gsol zhes bya'o //	257a	de ltar btsun ba bdag la gsum la skyob su gro ba gzung du gsol zhes byed 
BO_T04_D3978:257a-14	btsun pa'am slob dpon bdag la dgongs su gsol //	257a	btsun ba slob dpon bdag la dgongs su gsol 
BO_T04_D3978:257a-15	bdag dge bsnyen ming 'di zhes bgyi ba dus 'di nas bzung ste /	257a	bdag dge snyen ming di zhes bgyid ba dus di nas bzung ste 
BO_T04_D3978:257a-16	ji srid sang nyi ma ma shar gyi bar du /	257a	ji srid sang nyi ma ma char gyi ba du 
BO_T04_D3978:257a-17	srog chags so cog gsod pa dang / gzhan gyi nor 'phrog pa dang / mi tshangs par spyod pa dang / brdzun du smra ba dang / myos byed 'thung ba dang / dus ma yin par za ba dang / phreng ba dang / kha dog bsgyur ba dang /	257a	srog chags so cog gsod ba dang gzhan gyi nor phrog ba dang mi tshangs ba spyod ba dang brdzun du smra ba dang myos byed thung ba dang dus ma yin ba za ba dang phreng ba dang kha dog sgyur ba dang 
BO_T04_D3978:257b-0	gar dang / glu dang / rtsed @257b 'jo dang / mal stan mthon po la sogs pa ldog par bgyid pa /	257b	gar dang glu dang rtsed jo dang mal stan mthon po la sogs ba ldog ba bgyid ba 
BO_T04_D3978:257b-1	yon tan brgyad kyis bdag dgra bcom pa rnams kyi tshul du 'jog go zhes bya ba ni bsnyen gnas dpog pa'o //	257b	yon tan brgyad kyis bdag dgra joms ba rnams kyi tshul du jog go zhes byed ba ni snyen gnas dpog ba 
BO_T04_D3978:257b-2	tshe dang ldan pa brjod cing /	257b	tshe dang ldan ba rjod cing 
BO_T04_D3978:257b-3	bdag la dgongs su gsol /	257b	bdag la dgongs su gsol 
BO_T04_D3978:257b-4	bdag ming 'di zhes bgyi ba dus 'di nas bzung ste /	257b	bdag ming di zhes bgyid ba dus di nas bzung ste 
BO_T04_D3978:257b-5	ji srid 'tsho'i bar du rkang gnyis rnams kyi mchog sangs rgyas la skyabs su mchi'o //	257b	ji srid tsho ba du rkang gnyis rnams kyi mchog sangs rgya la skyob su mchi 
BO_T04_D3978:257b-6	theg pa chen po'i chos mtha' dag la skyabs su mchi'o //	257b	theg ba chen po chos mtha dag la skyob su mchi 
BO_T04_D3978:257b-7	tshogs rnams kyi mchog dge 'dun la skyabs su mchi'o //	257b	tshogs rnams kyi mchog dge dun la skyob su mchi 
BO_T04_D3978:257b-8	btsun pas bdag dge bsnyen du gzung du gsol /	257b	btsun ba bdag dge snyen du gzung du gsol 
BO_T04_D3978:257b-9	thabs yin no //	257b	thabs yin no 
BO_T04_D3978:257b-10	legs so // tshe dang ldan pa brjod cig / slob dpon dgongs su gsol /	257b	legs so tshe dang ldan ba rjod cig slob dpon dgongs su gsol 
BO_T04_D3978:257b-11	ji ltar 'phags pa dgra bcom pa de dag gis ji srid 'tsho'i bar du srog gcod pa spangs te /	257b	ji ltar phag ba dgra joms ba de dag gis ji srid tsho ba du srog gcod ba spong te 
BO_T04_D3978:257b-12	srog gcod pa las log pa de bzhin du /	257b	srog gcod ba las log ba de bzhin du 
BO_T04_D3978:257b-13	bdag ming 'di zhes bgyi ba yang dus deng nas bzung ste /	257b	bdag ming di zhes bgyid ba yang dus deng nas bzung ste 
BO_T04_D3978:257b-14	ji srid 'tsho'i bar du srog gcod pa spangs te ;	257b	ji srid tsho ba du srog gcod ba spong te 
BO_T04_D3978:257b-15	srog gcod pa las slar ldog par bgyid do //	257b	srog gcod ba las slar ldog ba bgyid do 
