segmentnr	original	stemmed
BO_K12_D0673A_H0650A:244b-0	@244b aom badzra a'a yu she h'um aa /	aom badzra aa yu she hum aa 
BO_K12_D0673A_H0650A:244b-1	'phags pa tshe dpag med kyi snying po 'di rtag tu bzlas sam /	phag ba tshe dpog med kyi snying po di rtag tu bzlas sam 
BO_K12_D0673A_H0650A:244b-2	sngags chab kyis dbang bskur na tshe nur bar 'gyur ro /	sngags chab kyis dbang skur na tshe nur ba gyur ro 
