segmentnr	original	stemmed
BO_K10_D0340_H0346:62a-7	la du 'di bdag la mi dgos so //	la du di bdag la mi dgos so 
BO_K10_D0340_H0346:62a-8	zhes smras so //	zhes smras so 
BO_K10_D0340_H0346:62a-9	de skad ces smras nas bcom ldan 'das kyis bram ze'i khye'u de la la du de byin no //	de skad ces smras nas joms ldan da kyis bram ze khyeu de la la du de byin no 
BO_K10_D0340_H0346:62a-10	de'i tshe khyim bdag mgon med zas sbyin bcom ldan 'das kyi drung nas thag mi ring ba zhig na 'dug pa des bsam pa /	de tshe khyim bdag mgon med zas sbyin joms ldan da kyi drung nas thag mi ring ba jig na dug ba des bsam ba 
BO_K10_D0340_H0346:62a-11	bcom ldan 'das ni /	joms ldan da ni 
BO_K10_D0340_H0346:62a-12	bsod snyoms gzhan bzhes mi srid de /	bsod snyom gzhan bzhes mi srid de 
BO_K10_D0340_H0346:62a-13	de ni / gnas med cing skabs ma yin no snyam du rig nas bram ze'i khye'u de gud du bkar te bram ze'i khye'u la smras pa /	de ni gnas med cing skabs ma yin no snyam du rig nas bram ze khyeu de gud du bkar te bram ze khyeu la smras ba 
BO_K10_D0340_H0346:62a-14	bram ze'i khye'u /	bram ze khyeu 
BO_K10_D0340_H0346:62a-15	la du 'o ni /	la du mang ni 
BO_K10_D0340_H0346:62a-16	bcom ldan 'das la phyir phul cig dang bdag gis khyod la karsha pa na lnga brgya sbyin no //	joms ldan da la phyir bul cig dang bdag gis khyod la karsha ba na lnga brgya sbyin no 
BO_K10_D0340_H0346:62a-17	bram ze'i khye'u smras pa /	bram ze khyeu smras ba 
BO_K10_D0340_H0346:62a-18	khyim bdag / khyod ci ltar dga' ba de bzhin du bya'o //	khyim bdag khyod ci ltar dga ba de bzhin du byed 
BO_K10_D0340_H0346:62a-19	zhes byas nas bram ze'i khye'u des la du de bcom ldan 'das kyi lhung bzed kyi nang du bcug go /	zhes byed nas bram ze khyeu des la du de joms ldan da kyi lhung bzed kyi nang du jug go 
BO_K10_D0340_H0346:62a-20	de nas bcom ldan 'das kyis bsod snyoms de bzhes nas gtsug lag khang du gshegs so //	de nas joms ldan da kyis bsod snyom de bzhes nas gtsug lag khang du gshegs so 
BO_K10_D0340_H0346:62b-0	khyim bdag mgon med zas sbyin gyis kyang bram ze'i khye'u de khyim du khrid de zan byin nas karsha pa na lnga brgya byin te @62b btang ngo //	khyim bdag mgon med zas sbyin gyis kyang bram ze khyeu de khyim du khrid de zan byin nas karsha ba na lnga brgya byin te gtong ngo 
BO_K10_D0340_H0346:62b-1	de nas dge slong dag gis bcom ldan 'das la zhus pa /	de nas dge slong dag gis joms ldan da la zhus ba 
BO_K10_D0340_H0346:62b-2	btsun pa / kye ma bram ze'i khye'u 'dis bcom ldan 'das las la du blangs pa de'i tshe bcom ldan 'das kyis de ma stsal la; gang gi tshe des kye goo ta ma /	btsun ba kye ma bram ze khyeu dis joms ldan da las la du blangs ba de tshe joms ldan da kyis de ma stsal la; gang gi tshe des kye goo ta ma 
BO_K10_D0340_H0346:62b-3	la tu 'di bdag la mi dgos so //	la tu di bdag la mi dgos so 
BO_K10_D0340_H0346:62b-4	zhes smras pa de'i tshe bcom ldan 'das kyis de la la du stsal ba la gzigs /	zhes smras ba de tshe joms ldan da kyis de la la du stsal ba la gzigs 
BO_K10_D0340_H0346:62b-5	bcom ldan 'das kyis bka' stsal pa; dge slong dag /	joms ldan da kyis bka stsal pa; dge slong dag 
BO_K10_D0340_H0346:62b-6	bram ze'i khye'u des ni /	bram ze khyeu des ni 
BO_K10_D0340_H0346:62b-7	tshe rabs stong phrag du mar blang ba'i 'du shes 'ba' zhig kun tu bsten cing bsgoms te mang du byas nas 'di rtag tu gzhan 'ba' zhig la re bar gyur pas ngas 'di da ltar la dus brid nas blang ba'i 'du shes las bzlog ste /	tshe rabs stong phrag du mar blang ba du shes ba jig kun tu sten cing sgom te mang du byed nas di rtag tu gzhan ba jig la re ba gyur ba ngas di da ltar la dus brid nas blang ba du shes las bzlog ste 
BO_K10_D0340_H0346:62b-8	'di nyid 'di'i rab tu 'byung ba dang / phung po yongs su spong ba'i rgyur 'gyur ro //	di nyid di rab tu byung ba dang phung po yongs su spong ba rgyur gyur ro 
BO_K10_D0340_H0346:62b-9	btsun pa; bram ze'i khye'u 'di'i phung po gang du yongs su spong bar 'gyur lags /	btsun pa; bram ze khyeu di phung po gang du yongs su spong ba gyur lags 
BO_K10_D0340_H0346:62b-10	dge slong dag /	dge slong dag 
BO_K10_D0340_H0346:62b-11	ma 'ongs pa'i dus na nyan thos dang rang sangs rgyas kyi sa las 'das pa'i yang dag par rdzogs pa'i sangs rgyas ri bo zhes bya ba zhig 'byung bar 'gyur te /	ma ngs ba dus na nyan thos dang rang sangs rgya kyi sa las da ba yang dag ba rdzogs ba sangs rgya ri bo zhes byed ba jig byung ba gyur te 
BO_K10_D0340_H0346:62b-12	de'i gsung rab la 'dis mir skye ba thob nas rgyu 'di kho nas rab tu byung ste nyon mongs pa thams cad spangs nas dgra bcom pa nyid mngon sum du byed par 'gyur ro ////	de gsung rab la dis mir skye ba thob nas rgyu di kho nas rab tu byung ste nyon mongs ba thams cad spong nas dgra joms ba nyid mngon sum du byed ba gyur ro 
