segmentnr	original	stemmed
BO_K06_D0011-2_H0013-2:228a-9	gang du'ang 'gro ba med par sems can rnams la chos ston te /	gang du gro ba med ba sems can rnams la chos ston te 
BO_K06_D0011-2_H0013-2:228a-10	rab 'byor / de ltar na byang chub sems dpa' sems dpa' chen po dag 'jig rten rnams kyi rten yin no //	rab byor de ltar na byang chub sems dpa sems dpa chen po dag jig rten rnams kyi rten yin no 
BO_K06_D0011-2_H0013-2:228a-11	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:228a-12	chos thams cad ni stong pa nyid dang / mtshan ma med pa dang / smon pa med pa'i tshul can te /	chos thams cad ni stong ba nyid dang mtshan ma med ba dang smon ba med ba tshul can te 
BO_K06_D0011-2_H0013-2:228a-13	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da' ba'i phyir ro //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da ba phyir ro 
BO_K06_D0011-2_H0013-2:228a-14	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:228a-15	rab 'byor / stong pa nyid dang / mtshan ma med pa dang / smon pa med pa dag la ni 'gro ba'am /	rab byor stong ba nyid dang mtshan ma med ba dang smon ba med ba dag la ni gro ba 
BO_K06_D0011-2_H0013-2:228a-16	'ong ba ci'ang mi dmigs pa'i phyir ro //	ng ba ci mi dmigs ba phyir ro 
BO_K06_D0011-2_H0013-2:228a-17	rab 'byor / chos thams cad ni mngon par 'du byed pa med pa'i tshul can te /	rab byor chos thams cad ni mngon ba du byed ba med ba tshul can te 
BO_K06_D0011-2_H0013-2:228a-18	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:228b-0	rab 'byor / skye ba med pa dang / 'gag pa med pa dang / @228b kun nas nyon mongs pa med pa dang / rnam par byang ba med pa dag la ni 'gro ba'am /	rab byor skye ba med ba dang gag ba med ba dang kun nas nyon mongs ba med ba dang rnam ba byang ba med ba dag la ni gro ba 
BO_K06_D0011-2_H0013-2:228b-1	'ong ba ci'ang mi dmigs so //	ng ba ci mi dmigs so 
BO_K06_D0011-2_H0013-2:228b-2	rab 'byor / de ltar gong ma bzhin du sbyar te /	rab byor de ltar gong ma bzhin du sbyor te 
BO_K06_D0011-2_H0013-2:228b-3	chos thams cad ni skye ba med pa dang / 'gag pa med pa dang / kun nas nyon mongs pa med pa dang / rnam par byang ba med pa'i tshul can te /	chos thams cad ni skye ba med ba dang gag ba med ba dang kun nas nyon mongs ba med ba dang rnam ba byang ba med ba tshul can te 
BO_K06_D0011-2_H0013-2:228b-4	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:228b-5	rab 'byor / skye ba med pa dang / 'gag pa med pa dang / kun nas nyon mongs pa med pa dang / rnam par byang ba med pa dag la ni 'gro ba'am /	rab byor skye ba med ba dang gag ba med ba dang kun nas nyon mongs ba med ba dang rnam ba byang ba med ba dag la ni gro ba 
BO_K06_D0011-2_H0013-2:228b-6	'ong ba ci'ang mi dmigs so; ;rab 'byor /	ng ba ci mi dmigs so; ;rab byor 
BO_K06_D0011-2_H0013-2:228b-7	chos thams cad ni sgyu ma dang / smig rgyu dang / chu zla dang / rmi lam dang / mig yor dang / brag ca dang / sprul pa'i tshul can te /	chos thams cad ni sgyu ma dang smig rgyu dang chu zla dang rmi lam dang mig yor dang brag ca dang sprul ba tshul can te 
BO_K06_D0011-2_H0013-2:228b-8	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:228b-9	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:228b-10	rab 'byor / sgyu ma dang / smig rgyu dang / chu zla dang / rmi lam dang / mig yor dang / brag ca dang / sprul pa dag la ni 'gro ba'am /	rab byor sgyu ma dang smig rgyu dang chu zla dang rmi lam dang mig yor dang brag ca dang sprul ba dag la ni gro ba 
BO_K06_D0011-2_H0013-2:228b-11	'ong ba ci'ang mi dmigs pa'i phyir ro //	ng ba ci mi dmigs ba phyir ro 
BO_K06_D0011-2_H0013-2:228b-12	rab 'byor / chos thams cad ni dbri ba med pa dang / bsnan pa med pa'i tshul can te /	rab byor chos thams cad ni phri ba med ba dang snon ba med ba tshul can te 
BO_K06_D0011-2_H0013-2:228b-13	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:228b-14	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:228b-15	rab 'byor / dbri ba med pa dang / bsnan pa med pa'i tshul can la ni 'gro'am /	rab byor phri ba med ba dang snon ba med ba tshul can la ni gro 
BO_K06_D0011-2_H0013-2:228b-16	'ong ba ci'ang mi dmigs pa'i phyir ro //	ng ba ci mi dmigs ba phyir ro 
BO_K06_D0011-2_H0013-2:229a-0	rab @229a *// 'byor /	rab byor 
BO_K06_D0011-2_H0013-2:229a-1	chos thams cad ni ma 'ongs pa'i tshul can te /	chos thams cad ni ma ngs ba tshul can te 
BO_K06_D0011-2_H0013-2:229a-2	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:229a-3	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:229a-4	rab 'byor / ma 'ongs pa'i tshul can la ni 'gro ba'am /	rab byor ma ngs ba tshul can la ni gro ba 
BO_K06_D0011-2_H0013-2:229a-5	'ong ba ci'ang mi dmigs pa'i phyir ro //	ng ba ci mi dmigs ba phyir ro 
BO_K06_D0011-2_H0013-2:229a-6	rab 'byor / de bzhin du sbyar te /	rab byor de bzhin du sbyor te 
BO_K06_D0011-2_H0013-2:229a-7	chos thams cad ni blang du med pa dang / dor du med pa'i bar gyi tshul can te /	chos thams cad ni blang du med ba dang dor du med ba ba gyi tshul can te 
BO_K06_D0011-2_H0013-2:229a-8	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:229a-9	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:229a-10	rab 'byor / blang du med pa dang / dor du med pa la ni 'gro ba'am /	rab byor blang du med ba dang dor du med ba la ni gro ba 
BO_K06_D0011-2_H0013-2:229a-11	'ong ba ci'ang mi dmigs pa'i phyir ro //	ng ba ci mi dmigs ba phyir ro 
BO_K06_D0011-2_H0013-2:229a-12	rab 'byor / chos thams cad ni 'dre ba med pa'i tshul can te /	rab byor chos thams cad ni dre ba med ba tshul can te 
BO_K06_D0011-2_H0013-2:229a-13	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:229a-14	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:229a-15	rab 'byor / 'dre ba med pa la 'gro ba'am /	rab byor dre ba med ba la gro ba 
BO_K06_D0011-2_H0013-2:229a-16	'ong ba ci'ang dmigs su med pa'i phyir ro //	ng ba ci dmigs su med ba phyir ro 
BO_K06_D0011-2_H0013-2:229a-17	rab 'byor / chos thams cad ni bdag med pa'i tshul can te /	rab byor chos thams cad ni bdag med ba tshul can te 
BO_K06_D0011-2_H0013-2:229a-18	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:229a-19	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:229a-20	rab 'byor / bdag la ni 'gro ba'am /	rab byor bdag la ni gro ba 
BO_K06_D0011-2_H0013-2:229a-21	'ong ba ci'ang mi dmigs pa'i phyir ro //	ng ba ci mi dmigs ba phyir ro 
BO_K06_D0011-2_H0013-2:229a-22	rab 'byor / de ltar na gong ma bzhin du sbyar te /	rab byor de ltar na gong ma bzhin du sbyor te 
BO_K06_D0011-2_H0013-2:229b-0	chos thams cad ni sems can med pa dang / skye ba po med pa dang / srog med pa dang / gso ba @229b med pa dang / gang zag med pa dang / shed las skyes pa med pa dang / shed bu med pa dang /	chos thams cad ni sems can med ba dang skye ba po med ba dang srog med ba dang gso ba med ba dang gang zag med ba dang shed las skye ba med ba dang shed bu med ba dang 
BO_K06_D0011-2_H0013-2:229b-1	slong ba po med pa dang / kun nas slong ba po med pa dang / byed pa po med pa dang / byed du 'jug pa po dang / shes pa po dang / mthong ba po med pa'i tshul can te /	slong ba po med ba dang kun nas slong ba po med ba dang byed ba po med ba dang byed du jug ba po dang shes ba po dang mthong ba po med ba tshul can te 
BO_K06_D0011-2_H0013-2:229b-2	byang chub sems dpa' sems dpa' chen po de dag kyang tshul de las mi 'da'o //	byang chub sems dpa sems dpa chen po de dag kyang tshul de las mi da 
BO_K06_D0011-2_H0013-2:229b-3	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:229b-4	rab 'byor / bdag gtan med cing mi dmigs pa dang / de bzhin du sems can dang / srog dang / gso ba dang / gang zag dang / shed las skyes pa dang / shed bu dang / slong ba po dang / kun nas slong pa po dang /	rab byor bdag gtan med cing mi dmigs ba dang de bzhin du sems can dang srog dang gso ba dang gang zag dang shed las skye ba dang shed bu dang slong ba po dang kun nas slong ba po dang 
BO_K06_D0011-2_H0013-2:229b-5	byed pa po dang / byed du 'jug pa po dang / shes pa po dang / mthong ba po med cing mi dmigs pa'i phyir ro //	byed ba po dang byed du jug ba po dang shes ba po dang mthong ba po med cing mi dmigs ba phyir ro 
BO_K06_D0011-2_H0013-2:229b-6	rab 'byor / gzhan yang chos thams cad ni rtag pa dang / mi rtag pa'i tshul can no //	rab byor gzhan yang chos thams cad ni rtag ba dang mi rtag ba tshul can no 
BO_K06_D0011-2_H0013-2:229b-7	rab 'byor / de bzhin du chos thams cad ni bde ba'i tshul can dang / sdug bsngal ba'i tshul can dang / bdag gi tshul can dang / bdag med pa'i tshul can dang / stong pa'i tshul can dang / mi stong pa'i tshul can dang /	rab byor de bzhin du chos thams cad ni bde ba tshul can dang sdug sngal ba tshul can dang bdag gi tshul can dang bdag med ba tshul can dang stong ba tshul can dang mi stong ba tshul can dang 
BO_K06_D0011-2_H0013-2:229b-8	mtshan ma'i tshul can dang / mtshan ma med pa'i tshul can dang / smon pa'i tshul can dang / smon pa med pa'i tshul can dang / zhi ba'i tshul can dang / dben pa'i tshul can dang / kun nas nyon mongs pa'i tshul can dang /	mtshan ma tshul can dang mtshan ma med ba tshul can dang smon ba tshul can dang smon ba med ba tshul can dang zhi ba tshul can dang dben ba tshul can dang kun nas nyon mongs ba tshul can dang 
BO_K06_D0011-2_H0013-2:230a-0	rnam byang ba'i tshul can dang / skye ba'i tshul can dang / skye ba med pa'i tshul can dang / 'gag pa'i tshul can dang / 'gag pa med pa'i tshul can dang / dngos po'i tshul can dang / dngos po med pa'i @230a *//	rnam byang ba tshul can dang skye ba tshul can dang skye ba med ba tshul can dang gag ba tshul can dang gag ba med ba tshul can dang dngos po tshul can dang dngos po med ba 
BO_K06_D0011-2_H0013-2:230a-1	tshul can dang / sdug pa'i tshul can dang / mi sdug pa'i tshul can te /	tshul can dang sdug ba tshul can dang mi sdug ba tshul can te 
BO_K06_D0011-2_H0013-2:230a-2	tshul de las mi 'da'o //	tshul de las mi da 
BO_K06_D0011-2_H0013-2:230a-3	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:230a-4	rab 'byor / rtag pa dang / bde ba dang / bdag dang / sdug pa'i bar du gtan med cing mi dmigs te /	rab byor rtag ba dang bde ba dang bdag dang sdug ba ba du gtan med cing mi dmigs te 
BO_K06_D0011-2_H0013-2:230a-5	de'i phyir de dag gi 'gro ba'am /	de phyir de dag gi gro ba 
BO_K06_D0011-2_H0013-2:230a-6	'ong ba lta ga la yod pa'i phyir ro //	ng ba lta ga la yod ba phyir ro 
BO_K06_D0011-2_H0013-2:230a-7	rab 'byor / chos thams cad ni 'dod chags kyi gzhi can dang / zhe sdang gi gzhi can dang / gti mug gi gzhi can te /	rab byor chos thams cad ni dod chags kyi gzhi can dang zhe sdang gi gzhi can dang gti mug gi gzhi can te 
BO_K06_D0011-2_H0013-2:230a-8	tshul de las mi 'da'o //	tshul de las mi da 
BO_K06_D0011-2_H0013-2:230a-9	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:230a-10	rab 'byor / 'dod chags kyi gzhi dang / zhe sdang gi gzhi dang / gti mug gi gzhi gtan med cing mi dmigs na /	rab byor dod chags kyi gzhi dang zhe sdang gi gzhi dang gti mug gi gzhi gtan med cing mi dmigs na 
BO_K06_D0011-2_H0013-2:230a-11	de dag gi 'gro ba'am /	de dag gi gro ba 
BO_K06_D0011-2_H0013-2:230a-12	'ong ba lta ga la yod pa'i phyir ro //	ng ba lta ga la yod ba phyir ro 
BO_K06_D0011-2_H0013-2:230a-13	rab 'byor / chos thams cad ni lta ba'i rnam pa'i gzhi can te /	rab byor chos thams cad ni lta ba rnam ba gzhi can te 
BO_K06_D0011-2_H0013-2:230a-14	tshul de las mi 'da'o //	tshul de las mi da 
BO_K06_D0011-2_H0013-2:230a-15	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K06_D0011-2_H0013-2:230a-16	rab 'byor / lta ba'i rnam pa'i gzhi gtan med cing mi dmigs na /	rab byor lta ba rnam ba gzhi gtan med cing mi dmigs na 
BO_K06_D0011-2_H0013-2:230a-17	de dag gi 'gro ba'am /	de dag gi gro ba 
BO_K06_D0011-2_H0013-2:230a-18	'ong ba lta ga la yod pa'i phyir ro //	ng ba lta ga la yod ba phyir ro 
BO_K06_D0011-2_H0013-2:230a-19	rab 'byor / de bzhin du chos thams cad ni de bzhin nyid kyi tshul can dang / chos kyi dbyings kyi tshul can dang / yang dag pa'i mtha'i tshul can dang / mnyam pa nyid kyi tshul can dang / bsam kyis mi khyab pa'i dbyings kyi tshul can te /	rab byor de bzhin du chos thams cad ni de bzhin nyid kyi tshul can dang chos kyi dbyings kyi tshul can dang yang dag ba mtha tshul can dang mnyam ba nyid kyi tshul can dang bsam kyis mi khyab ba dbyings kyi tshul can te 
BO_K06_D0011-2_H0013-2:230a-20	tshul de las mi 'da'o //	tshul de las mi da 
