segmentnr	original	folio	stemmed
BO_T02_D3312:11a-0	@11a # // rgya gar skad du /	11a	rgya gar skad du 
BO_T02_D3312:11a-1	a'arya manydzu shr'i s'a dha nam /	11a	aarya manydzu shr sa dha nam 
BO_T02_D3312:11a-2	bod skad du /	11a	bod skad du 
BO_T02_D3312:11a-3	'phags pa 'jam dpal gyi sgrub thabs /	11a	phag ba jam dpal gyi sgrub thabs 
BO_T02_D3312:11a-4	'phags pa 'jam dpal la phyag 'tshal lo //	11a	phag ba jam dpal la phyag tshal lo 
BO_T02_D3312:11a-5	rnam dag 'jam dpal sgrub pa'i thabs //	11a	rnam dag jam dpal sgrub ba thabs 
BO_T02_D3312:11a-6	shin tu gsal zhing mdor bsdus pa //	11a	shin tu gsal zhing mdor sdud ba 
BO_T02_D3312:11a-7	mi shes rab rib 'joms par byed //	11a	mi shes rab rib joms ba byed 
BO_T02_D3312:11a-8	dam pa rnams phyir legs brjod bya //	11a	dam ba rnams phyir legs rjod byed 
BO_T02_D3312:11a-9	stong pa nyid kyi rjes su de bzhin du snying gar yi ge mu:ser po yongs su gyur pa las /	11a	stong ba nyid kyi rjes su de bzhin du snying gar yi ge mu:ser po yongs su gyur ba las 
BO_T02_D3312:11b-0	'jam dpal gzhon nur gyur pa zhal gsum phyag drug @11b pa gur gum dmar po 'dra zhing sngon po dang / dkar po ni g-yas dang cig shos kyi zhal lo //	11b	jam dpal gzhon nur gyur ba zhal gsum phyag drug ba gur gum dmar po dra zhing sngon po dang dkar po ni g-yas dang cig shos kyi zhal lo 
BO_T02_D3312:11b-1	sems dpa'i skyil mo krung dang ldan pa /	11b	sems dpa skyil mo krung dang ldan ba 
BO_T02_D3312:11b-2	ral gri dang mda' dang mchog sbyin pa ni g-yas kyi phyag gsum na'o //	11b	ral gri dang mda dang mchog sbyin ba ni g-yas kyi phyag gsum na 
BO_T02_D3312:11b-3	shes rab kyi pha rol tu phyin pa'i glegs bam dang / autpal sngon po dang / gzhu ni g-yon ba'i phyag gsum na'o //	11b	shes rab kyi pha rol tu phyin ba glegs bam dang autpal sngon po dang gzhu ni g-yon ba phyag gsum na 
BO_T02_D3312:11b-4	sgeg pa dang bcas shing gzhon nu'i rgyan gyis brgyan pa /	11b	sgeg ba dang cha shing gzhon nu rgyan gyis rgyan ba 
BO_T02_D3312:11b-5	kha dog sna tshogs kyi gos dang / me tog la sogs pas brgyan par byas shing lcang lo gsum gyis mdzes pa'o //	11b	kha dog sna tshogs kyi gos dang me tog la sogs ba rgyan ba byed shing lcang lo gsum gyis mdzes ba 
BO_T02_D3312:11b-6	de bzhin gshegs pa'i rdul phra rab las yongs su rdzogs pa'i bdag nyid bsgom bar bya'o //	11b	de bzhin gshegs ba rdul phra rab las yongs su rdzogs ba bdag nyid bsgom ba byed 
BO_T02_D3312:11b-7	aom mu:zhes bya ba'i sngags bzlas par bya'o //	11b	aom mu:zhes byed ba sngags bzlas ba byed 
BO_T02_D3312:11b-8	'phags pa 'jam dpal gyi sgrub thabs rdzogs so //	11b	phag ba jam dpal gyi sgrub thabs rdzogs so 
BO_T02_D3312:11b-9	khams pa lo ts'a ba ba ris bsgyur ba'o//	11b	khams ba lo tsa ba ba ris sgyur 
