segmentnr	original	stemmed
BO_T17_O2MS163914CZ189761:0	@#/_/gsang ba'i sgrub thabs zhes bya ba/	ba sgrub thabs zhes byed 
BO_T17_O2MS163914CZ189761:1	@/_phyag drug ye shes mgon po'i chos bskor las/_sha ba ri pas mdzad pa'i gsang	drug ye shes mgon po chos skor ba ri ba mdzad ba gsang 
BO_T17_O2MS163914CZ189761:2	sgrub bzhugs so//_@##/_/rgya gar skad du/_gu h+ya swa d+ha na ma/_bod skad du/	sgrub bzhugs gar skad h+ya swa d+ha na skad 
BO_T17_O2MS163914CZ189761:3	gsang ba'i sgrub thabs zhes bya ba/_spyan ras gzigs la phyag 'tshhal lo/_/	gsang ba sgrub thabs zhes byed ras gzigs la phyag tshhal 
BO_T17_O2MS163914CZ189761:4	dben par tshhogs gnyis sngon 'gro bas/_/bsrung ba rdo rje chos 'byung nang /_/	dben ba tshhogs gnyis sngon gro ba rdo rje chos byung nang 
BO_T17_O2MS163914CZ189761:5	rlung me chu sa lhun po'i steng /_/rgyu las gzhal yas khang pa'i dbus/_/sna	rlung me chu sa lhun po steng las jal yas khang ba 
BO_T17_O2MS163914CZ189761:6	tshhogs pad+ma nyi zla'i steng /_/tshhogs bdag pho mo 'gyel ba'i steng /_/dpal	tshhogs pad+ma nyi zla steng bdag pho mo gyel ba steng 
BO_T17_O2MS163914CZ189761:7	ldan grags chen he ru ka_/zhal gcig phyag drug 'jigs pa'i gzugs/_/gri	ldan grags chen he ru gcig phyag drug jigs ba 
BO_T17_O2MS163914CZ189761:8	gug thod pa da ma ru/_/thod pa rtshe gsum zhags pa can/_/g.yon rkyang gar	gug thod ba da ma ba rtshe gsum zhags ba rkyang gar 
BO_T17_O2MS163914CZ189761:9	gyis rol pa'i sku/_/sbrul dang rus pa'i rgyan gyis spras/_/stag lpags grol ba	gyis rol ba dang rus ba rgyan gyis lpags grol ba 
BO_T17_O2MS163914CZ189761:10	dpa' bo'i sku/_/gsang ba ye shes ra ga'i 'od/_/zhal gcig phyag gnyis spyan	dpa bo ba ye shes ra ga gcig phyag gnyis spyan 
BO_T17_O2MS163914CZ189761:11	gsum ma/_/da  ma ru dang thod pa can/_/g.yas rkyang stabs kyis yab la	gsum ma ru dang thod ba rkyang stabs kyis yab la 
BO_T17_O2MS163914CZ189761:12	gsang /_/thabs zhes bya ba/	gsang zhes byed 
BO_T17_O2MS163914CZ189761:13	'khyud/_/las bzhir sku dang yon tan rigs/_/gsung dang 'phrin las	bzhir sku dang yon tan dang phrin las 
BO_T17_O2MS163914CZ189761:14	bdud rtshi can/_/'khor lo rin chen pad+ma dang /_/sna tshhogs rdo rje rab mdzes	bdud rtshi lo rin chen pad+ma dang tshhogs rdo rje rab mdzes 
BO_T17_O2MS163914CZ189761:15	pa'i/_/gri gug 'dzin sogs mgon po bzhi/_/rdo rje rin chen pad+ma las/_/	gug dzin sogs mgon po rje rin chen pad+ma 
