segmentnr	original	folio	stemmed
BO_T02_D1492:205b-2	de'i steng du bam yongs su gyur pa las chu'i dkyil 'khor zlum po kha dog dkar po 'o //	205b	de steng du bam yongs su gyur ba las chu dkyil khor zlum po kha dog dkar po mang 
BO_T02_D1492:205b-3	de'i steng du lam yongs su gyur pa las sa'i dkyil 'khor gru bzhi pa la kha dog ser po'o //	205b	de steng du lam yongs su gyur ba las sa dkyil khor gru bzhi ba la kha dog ser po 
BO_T02_D1492:205b-4	de'i steng du sum yongs su gyur pa las ri rab zur bzhi pa /	205b	de steng du sum yongs su gyur ba las ri rab zur bzhi ba 
BO_T02_D1492:205b-5	rin po che sna bzhi las grub pa gru bzhi'i rang bzhin can lcog brgyad kyis nye bar mdzes pa'o //	205b	rin po che sna bzhi las grub ba gru bzhi rang bzhin can lcogs brgyad kyis nye ba mdzes ba 
BO_T02_D1492:205b-6	de'i steng du pam yongs su gyur pa las sna tshogs padma 'dab ma brgyad pa lte ba dang ge sar du bcas pa'o //	205b	de steng du pam yongs su gyur ba las sna tshogs padma dab ma brgyad ba lte ba dang ge sar du cha ba 
BO_T02_D1492:205b-7	de'i steng du thabs kyi rang bzhin a'a li las zla ba /	205b	de steng du thabs kyi rang bzhin aa li las zla ba 
BO_T02_D1492:205b-8	shes rab kyi rang bzhin k'a li las nyi ma /	205b	shes rab kyi rang bzhin ka li las nyi ma 
BO_T02_D1492:205b-9	de'i steng du h'um mthing ga rdo rje sems dpa'i rang bzhin 'od zer lnga 'phro zhing 'du ba dang bcas pa'o //	205b	de steng du hum mthing ga rdo rje sems dpa rang bzhin d zer lnga phro zhing du ba dang cha ba 
BO_T02_D1492:205b-10	de dag thams cad yongs su gyur pa las /	205b	de dag thams cad yongs su gyur ba las 
BO_T02_D1492:205b-11	dpal he ru ka zhal bzhi ba spyan gsum pa ;	205b	dpal he ru ka zhal bzhi ba spyan gsum ba 
BO_T02_D1492:205b-12	phyag bcu gnyis pa /	205b	phyag chu gnyis ba 
BO_T02_D1492:205b-13	sku mdog mthing ga dbral bar rdo rje'i phreng ba 'dzin pa g-yas brkyang bas bzhugs pa /	205b	sku mdog mthing ga dbrol ba rdo rje phreng ba dzin ba g-yas rkyong ba bzhugs ba 
BO_T02_D1492:205b-14	'jigs byed dang dus mtshan zhabs kyis mnan pa /	205b	jigs byed dang dus mtshan zhabs kyis gnon ba 
BO_T02_D1492:205b-15	rdo rje phag mo la 'khyud pa'i phyag gnyis kyis rdo rje dang drul bu bsnams ma /	205b	rdo rje phag mo la khyud ba phyag gnyis kyis rdo rje dang drul bu snom ma 
BO_T02_D1492:205b-16	de'i 'og ma'i phyag gnyis kyis glang po che'i pags pa brgyang ba /	205b	de g ma phyag gnyis kyis glang po che pags ba rgyong ba 
BO_T02_D1492:205b-17	g-yas pa'i gsum pa na da ma ru /	205b	g-yas ba gsum ba na da ma ru 
BO_T02_D1492:205b-18	bzhi pa na dgra ste /	205b	bzhi ba na dgra ste 
BO_T02_D1492:205b-19	lnga pa na gri gug / drug pa na mdung rtse gsum pa /	205b	lnga ba na gri gug drug ba na mdung rtse gsum ba 
BO_T02_D1492:205b-20	g-yon pa'i gsum pa na kha tv'am pa //	205b	g-yon ba gsum ba na kha tv ba 
BO_T02_D1492:205b-21	bzhi pa na thod pa /	205b	bzhi ba na thod ba 
BO_T02_D1492:205b-22	lnga pa na rdo rje zhags pa /	205b	lnga ba na rdo rje zhags ba 
BO_T02_D1492:205b-23	drug pa na tshangs mgo bsnams pa /	205b	drug ba na tshangs mgo snom ba 
BO_T02_D1492:205b-24	ral ba dang cod pan gyis brgyan pa'i thod pa /	205b	ral ba dang cod pan gyis rgyan ba thod ba 
BO_T02_D1492:205b-25	thod pa'i phreng ba'i thod can /	205b	thod ba phreng ba thod can 
BO_T02_D1492:205b-26	zla ba phyed pa dbu la 'jog pa /	205b	zla ba phyed ba dbu la jog ba 
BO_T02_D1492:205b-27	sna tshogs rdo rjes mtshan pa'i dbu rgyan can zhal rnam par 'gyur ba /	205b	sna tshogs rdo rjes mtshan ba dbu rgyan can zhal rnam ba gyur ba 
