segmentnr	original	stemmed
BO_K12_D0673B_H0650B:244b-0	@244b / aom pun+ye pun+ye ma h'a pun+ye /	aom pun+ye pun+ye ma ha pun+ye 
BO_K12_D0673B_H0650B:244b-1	aa pa ri mi ta a'a yur pun+ya dzny'a na sam bh'a ro pa tsi te sv'a h'a ////	aa ba ri mi ta aa yur pun+ya dznya na sam bha ro ba tsi te sva ha 
