segmentnr	original	stemmed
BO_T17_O2MS163914CZ187923:0	@#/_/gan+da ri'i glu/ @#@#/_/mkha' la ba 'jo 'jo byed bla ma ste/_/'thung ba'i be'u ni rang	ri la ba jo jo byed bla ma ba beu ni rang 
BO_T17_O2MS163914CZ187923:1	gi sems nyid yin/_/mkha' la rgyun mi 'chad 'jo ka na pa/_/rnal 'byor	gi sems nyid la rgyun mi chad jo ka na byor 
BO_T17_O2MS163914CZ187923:2	sdom pa'i tshhogs la mchod pa 'bul/_/ba 'jo snod gsol ga re ma ma ki/_/ba	sdom ba tshhogs la mchod ba jo snod gsol ga re ma ma 
BO_T17_O2MS163914CZ187923:3	'jo snod ni dri med lhan cig skyes/_/mkha' la rgyun mi 'chad 'jo ka na pa/_/	jo snod ni dri med lhan cig la rgyun mi chad jo ka na 
BO_T17_O2MS163914CZ187923:4	rnal 'byor sdom pa'i tshhogs la mchod pa 'bul/_/mkha' la bzhos shing bzhos	rnal byor sdom ba tshhogs la mchod ba la jo shing jo 
BO_T17_O2MS163914CZ187923:5	shing snod bkang bzhag_/bzung bar mi nus 'di ltar glang po lnga/_/mkha' la	shing snod geng ba mi nus di ltar glang po la 
BO_T17_O2MS163914CZ187923:6	rgyun mi 'chad 'jo ka na pa/_/rnal 'byor sdom pa'i tshhogs la mchod pa 'bul/_/	rgyun mi chad jo ka na byor sdom ba tshhogs la mchod ba 
BO_T17_O2MS163914CZ187923:7	mkha' la ba 'jo 'jo byed 'dir ma mthong /_/ji ltar nang du chus gang ka li pa//	mkha la ba jo jo byed dir ma mthong ltar nang du chus gang ka li 
BO_T17_O2MS163914CZ187923:8	mkha' la rgyun mi 'chad 'jo ka na pa/_/rnal 'byor sdom pa'i tshhogs la mchod pa	mkha la rgyun mi chad jo ka na byor sdom ba tshhogs la mchod ba 
BO_T17_O2MS163914CZ187923:9	'bul/_/gan+da ri'i glu rdzogs so//_//	ri glu rdzogs 
BO_T17_O2MS163914CZ187923:10	gza ri'i glu/	gza ri 
