segmentnr	original	stemmed
BO_K10_D0155_H0156:313b-0	@313b rgya gar skad du /	rgya gar skad du 
BO_K10_D0155_H0156:313b-1	a'arya s'a ga ra n'a ga r'a dza pa ri pritstsha n'a ma m'a h'a y'a na s'u tra /	aarya sa ga ra na ga ra dza ba ri pritstsha na ma ma ha ya na su tra 
BO_K10_D0155_H0156:313b-2	bod skad du /	bod skad du 
BO_K10_D0155_H0156:313b-3	'phags pa klu'i rgyal po rgya mtshos zhus pa zhes bya ba theg pa chen po'i mdo //	phag ba klu rgyal po rgya mtshos zhus ba zhes byed ba theg ba chen po mdo 
BO_K10_D0155_H0156:313b-4	sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K10_D0155_H0156:313b-5	'di skad bdag gis thos pa dus gcig na /	di skad bdag gis thos ba dus gcig na 
BO_K10_D0155_H0156:313b-6	bcom ldan 'das klu'i rgyal po rgya mtsho'i gnas na dge slong stong nyis brgya lnga bcu'i dge slong gi dge 'dun chen po dang / byang chub sems dpa' sems dpa' chen po rab tu mang po dang thabs cig tu bzhugs te /	joms ldan da klu rgyal po rgya mtsho gnas na dge slong stong nyis brgya lnga chu dge slong gi dge dun chen po dang byang chub sems dpa sems dpa chen po rab tu mang po dang thabs cig tu bzhugs te 
BO_K10_D0155_H0156:313b-7	de nas bcom ldan 'das kyis klu'i rgyal po rgya mtsho la bka' stsal pa /	de nas joms ldan da kyis klu rgyal po rgya mtsho la bka stsal ba 
BO_K10_D0155_H0156:313b-8	klu'i bdag po /	klu bdag po 
BO_K10_D0155_H0156:313b-9	chos kyi mdo bzhi po 'di dag brjod na gang dag brjod pas chos kyi phung po brgyad khri bzhi stong brjod par 'gyur ba rnams yin no //	chos kyi mdo bzhi po di dag rjod na gang dag rjod ba chos kyi phung po brgyad khri bzhi stong rjod ba gyur ba rnams yin no 
BO_K10_D0155_H0156:313b-10	bzhi gang zhe na /	bzhi gang zhe na 
BO_K10_D0155_H0156:313b-11	'di lta ste /	di lta ste 
BO_K10_D0155_H0156:313b-12	'du byed thams cad mi rtag par byang chub sems dpa' sems dpa' chen po rnams kyi bstan pa mi zad pa'i shes pa rab tu 'jug pa dang / zag pa dang bcas pa'i chos thams cad sdug bsngal bar byang chub sems dpa' sems dpa' chen po rnams kyi bstan pa mi zad pa'i shes pa rab tu 'jug pa dang /	du byed thams cad mi rtag ba byang chub sems dpa sems dpa chen po rnams kyi ston ba mi zad ba shes ba rab tu jug ba dang zag ba dang cha ba chos thams cad sdug sngal ba byang chub sems dpa sems dpa chen po rnams kyi ston ba mi zad ba shes ba rab tu jug ba dang 
BO_K10_D0155_H0156:314a-0	chos thams cad bdag med par byang chub sems dpa' sems dpa' chen po rnams kyi bstan pa mi zad pa'i shes pa rab tu 'jug pa @314a *//	chos thams cad bdag med ba byang chub sems dpa sems dpa chen po rnams kyi ston ba mi zad ba shes ba rab tu jug ba 
BO_K10_D0155_H0156:314a-1	dang / mya ngan las 'das pa zhi bar byang chub sems dpa' sems dpa' chen po rnams kyi bstan pa mi zad pa'i shes pa rab tu 'jug pa ste /	dang mya ngan las da ba zhi ba byang chub sems dpa sems dpa chen po rnams kyi ston ba mi zad ba shes ba rab tu jug ba ste 
BO_K10_D0155_H0156:314a-2	klu'i bdag po /	klu bdag po 
BO_K10_D0155_H0156:314a-3	chos kyi mdo bzhi po 'di dag brjod na gang dag brjod pas chos kyi phung po brgyad khri bzhi stong brjod par 'gyur ba rnams yin no //	chos kyi mdo bzhi po di dag rjod na gang dag rjod ba chos kyi phung po brgyad khri bzhi stong rjod ba gyur ba rnams yin no 
BO_K10_D0155_H0156:314a-4	bcom ldan 'das kyis de skad ces bka' stsal nas dge slong de dag dang / byang chub sems dpa' de dag yid rangs te bcom ldan 'das kyis gsungs pa la mngon par bstod do //	joms ldan da kyis de skad ces bka stsal nas dge slong de dag dang byang chub sems dpa de dag yid rangs te joms ldan da kyis gsungs ba la mngon ba bstod do 
BO_K10_D0155_H0156:314a-5	'phags pa klu'i rgyal po rgya mtshos zhus pa zhes bya ba theg pa chen po'i mdo rdzogs so ////	phag ba klu rgyal po rgya mtshos zhus ba zhes byed ba theg ba chen po mdo rdzogs so 
BO_K10_D0155_H0156:314a-6	rgya gar gyi mkhan po su rendra bo dhi dang / zhu chen gyi lo ts'a ba bandhe ye shes sdes bsgyur cing zhus te gtan la phab pa /	rgya gar gyi mkhan po su rendra bo dhi dang ju chen gyi lo tsa ba bandhe ye shes sdes sgyur cing zhus te gtan la bebs ba 
