segmentnr	original	stemmed
BO_K03_D0009-3_H0010-3:421a-3	rgyun du zhugs pa'i 'bras bu'am /	rgyun du jug ba bras bu 
BO_K03_D0009-3_H0010-3:421a-4	lan gcig phyir 'ong ba'i 'bras bu dang / phyir mi 'ong ba'i 'bras bu dang / dgra bcom pa nyid dam /	lan gcig phyir ng ba bras bu dang phyir mi ng ba bras bu dang dgra joms ba nyid dam 
BO_K03_D0009-3_H0010-3:421a-5	rang byang chub bam /	rang byang chub bam 
BO_K03_D0009-3_H0010-3:421a-6	bla na med pa yang dag par rdzogs pa'i byang chub kyi bar ram /	bla na med ba yang dag ba rdzogs ba byang chub kyi ba ram 
BO_K03_D0009-3_H0010-3:421a-7	chos gang la'ang mngon par chags par mi 'gyur ro //	chos gang la mngon ba chags ba mi gyur ro 
BO_K03_D0009-3_H0010-3:421a-8	de ci'i phyir zhe na /	de ci phyir zhe na 
BO_K03_D0009-3_H0010-3:421a-9	de ni 'di ltar chos thams cad ni ngo bo nyid kyis chos thams cad kyis stong ste /	de ni di ltar chos thams cad ni ngo bo nyid kyis chos thams cad kyis stong ste 
BO_K03_D0009-3_H0010-3:421a-10	stong pa nyid ni stong pa nyid la mngon par zhen par mi 'gyur ro //	stong ba nyid ni stong ba nyid la mngon ba zhen ba mi gyur ro 
BO_K03_D0009-3_H0010-3:421a-11	stong pa nyid kyang dmigs su med na /	stong ba nyid kyang dmigs su med na 
BO_K03_D0009-3_H0010-3:421a-12	gang stong pa nyid la mngon par zhen par 'gyur ba lta ci smos te /	gang stong ba nyid la mngon ba zhen ba gyur ba lta ci smos te 
BO_K03_D0009-3_H0010-3:421a-13	rab 'byor / de ltar na byang chub sems dpa' sems dpa' chen po chos thams cad la mngon par zhen pa med par chos thams cad kyis rnam par spyod do //	rab byor de ltar na byang chub sems dpa sems dpa chen po chos thams cad la mngon ba zhen ba med ba chos thams cad kyis rnam ba spyod do 
BO_K03_D0009-3_H0010-3:421a-14	de bslab pa 'di la gnas shing sems can 'di dag ci la spyod ces sems can gyi spyod pa la lta ste; de 'di snyam du /	de bslab ba di la gnas shing sems can di dag ci la spyod ces sems can gyi spyod ba la lta ste; de di snyam du 
BO_K03_D0009-3_H0010-3:421a-15	kye ma sems can 'di dag ni yang dag pa ma yin pa'i 'dzin pa la spyod de /	kye ma sems can di dag ni yang dag ba ma yin ba dzin ba la spyod de 
BO_K03_D0009-3_H0010-3:421b-0	kye ma sems can 'di dag ni yang dag pa ma yin @421b pa'i 'dzin pa las dgrol bar bya na dka' ba byed do zhes nas /	kye ma sems can di dag ni yang dag ba ma yin ba dzin ba las grol ba byed na dka ba byed do zhes nas 
BO_K03_D0009-3_H0010-3:421b-1	de'i tshe thabs mkhas pas shes rab kyi pha rol tu phyin pa la gnas te /	de tshe thabs mkhas ba shes rab kyi pha rol tu phyin ba la gnas te 
BO_K03_D0009-3_H0010-3:421b-2	'di skad du ston to //	di skad du ston to 
BO_K03_D0009-3_H0010-3:421b-3	kye sems can dag /	kye sems can dag 
BO_K03_D0009-3_H0010-3:421b-4	tshur gshegs / sbyin pa byin cig /	tshur gshegs sbyin ba byin cig 
BO_K03_D0009-3_H0010-3:421b-5	des khyod longs spyod dang ldan par 'gyur gyi /	des khyod longs spyod dang ldan ba gyur gyi 
BO_K03_D0009-3_H0010-3:421b-6	longs spyod des kyang rlom sems su ma byed cig /	longs spyod des kyang rlom sems su ma byed cig 
BO_K03_D0009-3_H0010-3:421b-7	de la snying po gang yang med do //	de la snying po gang yang med do 
BO_K03_D0009-3_H0010-3:421b-8	de bzhin du tshul khrims la 'dems te /	de bzhin du tshul khrims la dems te 
BO_K03_D0009-3_H0010-3:421b-9	kye sems can dag /	kye sems can dag 
