segmentnr	original	folio	stemmed
BO_T02_D2419:36a-0	@36a # // rgya gar skad du /	36a	rgya gar skad du 
BO_T02_D2419:36a-1	tsarya drishti aa nu ta phanna tva ta bh'a ba na n'a ma /	36a	tsarya drishti aa nu ta phanna tva ta bha ba na na ma 
BO_T02_D2419:36a-2	bod skad du /	36a	bod skad du 
BO_T02_D2419:36a-3	lta spyod skye med kyi bsgom pa zhes bya ba /	36a	lta spyod skye med kyi bsgom ba zhes byed ba 
BO_T02_D2419:36a-4	bla ma rnams la phyag 'tshal lo //	36a	bla ma rnams la phyag tshal lo 
BO_T02_D2419:36a-5	sems nyid stong pa skye med yin //	36a	sems nyid stong ba skye med yin 
BO_T02_D2419:36a-6	de nyid ma bcos chos nyid de //	36a	de nyid ma chos chos nyid de 
BO_T02_D2419:36a-7	de yang dbyer med lta ba rtogs //	36a	de yang dbyer med lta ba rtogs 
BO_T02_D2419:36a-8	sgom las ma 'das pa ni smra //	36a	sgom las ma da ba ni smra 
BO_T02_D2419:36a-9	zhen med rnal 'byor rang sar spyod //	36a	zhen med rnal byor rang sar spyod 
BO_T02_D2419:36a-10	phyogs bcur re med 'bras bu yin //	36a	phyogs jur re med bras bu yin 
BO_T02_D2419:36a-11	de la mi re chags pa spyad //	36a	de la mi re chags ba spyod 
BO_T02_D2419:36a-12	rang bzhin nyams skyes ngo mtshar che //	36a	rang bzhin nyams skye ngo mtshar che 
BO_T02_D2419:36a-13	pa na ha ni smra bar byed //	36a	ba na ha ni smra ba byed 
BO_T02_D2419:36b-0	gnyis @36b med ye shes rtogs pa yin //	36b	gnyis med ye shes rtogs ba yin 
BO_T02_D2419:36b-1	bde chen bdud rtsi bdag gis 'thungs //	36b	bde chen bdud rtsi bdag gis thung 
BO_T02_D2419:36b-2	kunydza na'i breng bas mgul pa brgyan //	36b	kunydza na breng ba mgul ba rgyan 
BO_T02_D2419:36b-3	lo ma'i sham thabs brtan par chings //	36b	lo ma sham thabs brtan ba ching 
BO_T02_D2419:36b-4	myos bas nags kyi gseb tu 'khyam //	36b	myos ba nags kyi gseb tu khyam 
BO_T02_D2419:36b-5	bdag nyid pa na ha ngo mtshar mthong //	36b	bdag nyid ba na ha ngo mtshar mthong 
BO_T02_D2419:36b-6	pu ri ma lar bdag po lnga //	36b	pu ri ma lar bdag po lnga 
BO_T02_D2419:36b-7	gcig dang mi 'brel ngo mtshar che //	36b	gcig dang mi brel ngo mtshar che 
BO_T02_D2419:36b-8	mya ngan 'das pa'i gnas su ni //	36b	mya ngan da ba gnas su ni 
BO_T02_D2419:36b-9	me tog ldum ra rgyas par byed //	36b	me tog ldum ra rgya ba byed 
BO_T02_D2419:36b-10	de ni ge sar 'jib par byed //	36b	de ni ge sar jib ba byed 
BO_T02_D2419:36b-11	bdag nyid bo la kakko la'i //	36b	bdag nyid bo la kakko la 
BO_T02_D2419:36b-12	rnal 'byor rgyal po grub pa thob //	36b	rnal byor rgyal po grub ba thob 
BO_T02_D2419:36b-13	lta spyod skye med kyi sgom pa zhes bya ba slob dpon pa na ha sa mdzad pa rdzogs so /	36b	lta spyod skye med kyi sgom ba zhes byed ba slob dpon ba na ha sa mdzad ba rdzogs so 
