segmentnr	original	folio	stemmed
BO_T02_D2763:140a-0	@140a * // 'phags pa spyan ras gzigs rtag pa'i rnal 'byor la phyag 'tshal lo //	140a	phag ba spyan ras gzigs rtag ba rnal byor la phyag tshal lo 
BO_T02_D2763:140a-1	de nas / spyi gtsug cod pan rtag tu 'dzin //	140a	de nas spyi gtsug cod pan rtag tu dzin 
BO_T02_D2763:140b-0	zhes @140b 'byung ba'i sgrub thams bshad par bya'o //	140b	zhes byung ba sgrub thams chad ba byed 
BO_T02_D2763:140b-1	'jig rten mgon po 'jig rten gyi //	140b	jig rten mgon po jig rten gyi 
BO_T02_D2763:140b-2	rtsa lag gcig pu la btud de //	140b	rtsa lag gcig pu la dud de 
BO_T02_D2763:140b-3	de snying cod pan gtsug tor gyi //	140b	de snying cod pan gtsug tor gyi 
BO_T02_D2763:140b-4	rnal 'byor cho ga bdag gis bshad //	140b	rnal byor cho ga bdag gis chad 
BO_T02_D2763:140b-5	dben pa'i gnas 'dug 'khor ba'i me 'obs 'bar ba dang // bde ba'i rkyen tshogs yid skyo mngon dga' drag po yis //	140b	dben ba gnas dug khor ba me bs bar ba dang bde ba rkyen tshogs yid skyo mngon dga drag po yis 
BO_T02_D2763:140b-6	thar pa'i grong khyer rdul bral skyed mos tshal bzangs su //	140b	thar ba grong khyer rdul bral skyed mos tshal bzangs su 
BO_T02_D2763:140b-7	zhugs nas rjes 'jug dang ba dam pas sems dul bya //	140b	jug nas rjes jug dang ba dam ba sems dul byed 
BO_T02_D2763:140b-8	de nas rnal 'byor zhi ba 'dis //	140b	de nas rnal byor zhi ba dis 
BO_T02_D2763:140b-9	blo ldan rgyud rab brlan gyur pa //	140b	blo ldan brgyud rab brlan gyur ba 
BO_T02_D2763:140b-10	de nyid rjes thogs dpal gsum gyi //	140b	de nyid rjes thogs dpal gsum gyi 
BO_T02_D2763:140b-11	cho ga dam pa bsgom par bya //	140b	cho ga dam ba bsgom ba byed 
BO_T02_D2763:140b-12	ae ma'o spyi gtsug rin chen khang //	140b	ae ma spyi gtsug rin chen khang 
BO_T02_D2763:140b-13	bkra shis mchod rten dri ma med //	140b	bkra shis mchod rten dri ma med 
BO_T02_D2763:140b-14	thub pa stong gis spras pa'i sgo //	140b	thub ba stong gis spras ba sgo 
BO_T02_D2763:140b-15	mgon po nyid kyis dbus mdzes pa'o //	140b	mgon po nyid kyis dbus mdzes ba 
BO_T02_D2763:140b-16	'dam skyes dmar 'dab stong gi snying //	140b	dam skye dmar dab stong gi snying 
BO_T02_D2763:140b-17	aa stong de dbus sems yig h'um //	140b	aa stong de dbus sems yig hum 
BO_T02_D2763:140b-18	'od gsal dkar 'khyil rnam par 'phro //	140b	d gsal dkar khyil rnam ba phro 
BO_T02_D2763:140b-19	bum pa'i mar me 'bar ba bzhin //	140b	bum ba mar me bar ba bzhin 
BO_T02_D2763:140b-20	de bzhin lte ba'i dkyil 'khor dbus //	140b	de bzhin lte ba dkyil khor dbus 
BO_T02_D2763:140b-21	nyi ma'am zla ba la gnas pa'i //	140b	nyi ma zla ba la gnas ba 
BO_T02_D2763:140b-22	rlung gi rgyal po me yi dbus //	140b	rlung gi rgyal po me yi dbus 
BO_T02_D2763:140b-23	bde ba'i chus brlan mkhregs pa'i sa //	140b	bde ba chus brlan mkhreg ba sa 
BO_T02_D2763:140b-24	rnam dag rnam par 'phrul pa'i rgyud //	140b	rnam dag rnam ba phrul ba brgyud 
BO_T02_D2763:140b-25	'byung bzhi'i rang bzhin ram yig bsam //	140b	byung bzhi rang bzhin ram yig bsam 
BO_T02_D2763:140b-26	de las 'od 'phros tsha reg 'dis //	140b	de las d phro tsha reg dis 
BO_T02_D2763:140b-27	rtsa mchog 'dis brgyud skyob pa yis //	140b	rtsa mchog dis brgyud skyob ba yis 
BO_T02_D2763:140b-28	thugs reg thugs bskul thugs byung ba'i //	140b	thugs reg thugs skul thugs byung ba 
BO_T02_D2763:140b-29	byin brlabs zhi byed dag byed dang // dri ma med byed 'ong 'phro byed //	140b	byin brlabs zhi byed dag byed dang dri ma med byed ng phro byed 
BO_T02_D2763:140b-30	rnam bzhi bdud rtsi'i rgyun dbab bya //	140b	rnam bzhi bdud rtsi rgyun bebs byed 
BO_T02_D2763:140b-31	gang tshe ye shes mchog 'di babs gyur pa //	140b	gang tshe ye shes mchog di bab gyur ba 
BO_T02_D2763:140b-32	de tshe mi g-yo 'od gsal rnam par dag / kun 'byung mtsho chen nyi 'dod sgron mchog dang // nam mkha'i yid bzhin nor bu ji bzhin no //	140b	de tshe mi g-yo d gsal rnam ba dag kun byung mtsho chen nyi dod sgron mchog dang nam mkha yid bzhin nor bu ji bzhin no 
BO_T02_D2763:140b-33	bde chen gnyis su med nyed la //	140b	bde chen gnyis su med nyed la 
BO_T02_D2763:140b-34	ji srid bzod par nus re srid //	140b	ji srid bzod ba nus re srid 
BO_T02_D2763:140b-35	mnyam par gzhag bya mi gnas na //	140b	mnyam ba jog byed mi gnas na 
BO_T02_D2763:140b-36	de tshe dge tshogs dpag med bsgrub //	140b	de tshe dge tshogs dpog med sgrub 
BO_T02_D2763:140b-37	dpal thugs rje chen po rtag tu bya ba'i rnal 'byor rdzogs so//	140b	dpal thugs rje chen po rtag tu byed ba rnal byor rdzogs 
