segmentnr	original	stemmed
BO_K10_D0099_H0102:80a-1	pas gnod sems med pa'i khams shes pa 'gog par 'gyur ba'i lam shes pa yang dag pa ji lta ba bzhin rab tu mkhyen ce na /	ba gnod sems med ba khams shes ba gog ba gyur ba lam shes ba yang dag ba ji lta ba bzhin rab tu mkhyen ce na 
BO_K10_D0099_H0102:80a-2	khyim bdag / 'di la de bzhin gshegs pas 'di ltar rab tu mkhyen te /	khyim bdag di la de bzhin gshegs ba di ltar rab tu mkhyen te 
BO_K10_D0099_H0102:80a-3	shes pa gang gis gnod sems med pa'i khams shes pa yongs su shes /	shes ba gang gis gnod sems med ba khams shes ba yongs su shes 
BO_K10_D0099_H0102:80a-4	khong du chud /	khong du chud 
BO_K10_D0099_H0102:80a-5	mngon sum du byas pa'i 'gog pa gal te ro myang ba med par rjes su lta bar gnas pa'am /	mngon sum du byed ba gog ba gal te ro myang ba med ba rjes su lta ba gnas ba 
BO_K10_D0099_H0102:80a-6	gal te nyes dmigs su rjes su blta bar gnas pa'am /	gal te nyes dmigs su rjes su lta ba gnas ba 
BO_K10_D0099_H0102:80a-7	gal te nges par 'byung bar rjes su blta bar gnas pa 'di ni /	gal te nges ba byung ba rjes su lta ba gnas ba di ni 
BO_K10_D0099_H0102:80a-8	gnod sems med pa'i khams shes pa 'gog par 'gyur ba'i lam shes pa zhes bya ste /	gnod sems med ba khams shes ba gog ba gyur ba lam shes ba zhes byed ste 
BO_K10_D0099_H0102:80a-9	de de bzhin gshegs pas yang dag pa ji lta ba bzhin rab tu mkhyen to //	de de bzhin gshegs ba yang dag ba ji lta ba bzhin rab tu mkhyen to 
BO_K10_D0099_H0102:80a-10	de bzhin gshegs pa gnod sems med pa'i khams shes pa 'gog par 'gyur ba'i lam shes pa de la'ang zhu ba zhus pa na bskal par lan gsung pa nas de bzhin du sbyar te /	de bzhin gshegs ba gnod sems med ba khams shes ba gog ba gyur ba lam shes ba de la ju ba zhus ba na bskal ba lan gsung ba nas de bzhin du sbyor te 
BO_K10_D0099_H0102:80a-11	de ni / tsandan gyi khyams dang / khang bzang gi bar 'di la longs spyod par 'gyur ro //	de ni tsandan gyi khyams dang khang bzang gi ba di la longs spyod ba gyur ro 
BO_K10_D0099_H0102:80a-12	khyim bdag / ji ltar na /	khyim bdag ji ltar na 
BO_K10_D0099_H0102:80a-13	de bzhin gshegs pas rnam par mi 'tshe ba'i khams shes pa yang dag pa ji ltar ba bzhin rab tu mkhyen ce na /	de bzhin gshegs ba rnam ba mi tshe ba khams shes ba yang dag ba ji ltar ba bzhin rab tu mkhyen ce na 
BO_K10_D0099_H0102:80b-0	khyim bdag / 'di la de bzhin @80b gshegs pas lta bar gyur pa drug cu rtsa gnyis dag gis kun nas nyon mongs pa med pa'i khams shes pa yang dag pa ji lta ba bzhin rab tu mkhyen to //	khyim bdag di la de bzhin gshegs ba lta ba gyur ba drug cu rtsa gnyis dag gis kun nas nyon mongs ba med ba khams shes ba yang dag ba ji lta ba bzhin rab tu mkhyen to 
BO_K10_D0099_H0102:80b-1	de la shes pa dang / mthong ba dang / gsal ba dang / mngon par rtogs pa dang / yang dag par khong du chud pa dang / mkhas pa gang yin pa 'di ni /	de la shes ba dang mthong ba dang gsal ba dang mngon ba rtogs ba dang yang dag ba khong du chud ba dang mkhas ba gang yin ba di ni 
BO_K10_D0099_H0102:80b-2	rnam par mi 'tshe ba'i khams shes pa zhes bya ste /	rnam ba mi tshe ba khams shes ba zhes byed ste 
BO_K10_D0099_H0102:80b-3	de de bzhin gshegs pas yang dag pa ji ltar ba bzhin rab tu mkhyen to //	de de bzhin gshegs ba yang dag ba ji ltar ba bzhin rab tu mkhyen to 
BO_K10_D0099_H0102:80b-4	de bzhin gshegs pa rnam par mi 'tshe ba'i khams shes pa de la'ang zhu ba zhus pa na bskal par lan gsung ba nas de bzhin du sbyar te /	de bzhin gshegs ba rnam ba mi tshe ba khams shes ba de la ju ba zhus ba na bskal ba lan gsung ba nas de bzhin du sbyor te 
BO_K10_D0099_H0102:80b-5	de ni / tsandan gyi khyams dang / khang bzang gi bar 'di la longs spyod par 'gyur ro //	de ni tsandan gyi khyams dang khang bzang gi ba di la longs spyod ba gyur ro 
BO_K10_D0099_H0102:80b-6	kun 'byung ba dang; 'gog pa dang / lam yang sngar ji skad bstan pa bzhin no //	kun byung ba dang; gog ba dang lam yang sngar ji skad ston ba bzhin no 
BO_K10_D0099_H0102:80b-7	khyim bdag / ji ltar na /	khyim bdag ji ltar na 
BO_K10_D0099_H0102:80b-8	de bzhin gshegs pas log par lta ba shes pa yang dag pa ji lta ba bzhin rab tu mkhyen ce na /	de bzhin gshegs ba log ba lta ba shes ba yang dag ba ji lta ba bzhin rab tu mkhyen ce na 
BO_K10_D0099_H0102:80b-9	khyim bdag / 'di la de bzhin gshegs pas log par lta ba la log par lta ba zhes yang dag pa ji lta ba bzhin rab tu mkhyen te /	khyim bdag di la de bzhin gshegs ba log ba lta ba la log ba lta ba zhes yang dag ba ji lta ba bzhin rab tu mkhyen te 
BO_K10_D0099_H0102:80b-10	de 'di'i lta ba yang dag pa yin zhe na /	de di lta ba yang dag ba yin zhe na 
BO_K10_D0099_H0102:80b-11	de ltar de bzhin gshegs pas log par lta ba shes pa yang dag pa ji lta ba bzhin rab tu mkhyen to //	de ltar de bzhin gshegs ba log ba lta ba shes ba yang dag ba ji lta ba bzhin rab tu mkhyen to 
BO_K10_D0099_H0102:80b-12	de bzhin du sbyar te /	de bzhin du sbyor te 
BO_K10_D0099_H0102:81a-0	de @81a *// ni; tsandan gyi khyams dang / khang bzang gi bar 'di la longs spyod par 'gyur ro //	de ni; tsandan gyi khyams dang khang bzang gi ba di la longs spyod ba gyur ro 
BO_K10_D0099_H0102:81a-1	khyim bdag / ji ltar na /	khyim bdag ji ltar na 
BO_K10_D0099_H0102:81a-2	de bzhin gshegs pas log par lta ba shes pa kun 'byung ba shes pa yang dag pa ji lta ba bzhin rab tu mkhyen ce na /	de bzhin gshegs ba log ba lta ba shes ba kun byung ba shes ba yang dag ba ji lta ba bzhin rab tu mkhyen ce na 
BO_K10_D0099_H0102:81a-3	khyim bdag / 'di la de bzhin gshegs pas 'di ltar rab tu mkhyen te; sangs rgyas bcom ldan 'das dpag tu med pa rnams la dge ba'i rtsa ba bskyed nas log par lta ba shes pa kun 'byung ba shes pa yang dag par 'grub pa dang /	khyim bdag di la de bzhin gshegs ba di ltar rab tu mkhyen te; sangs rgya joms ldan da dpog tu med ba rnams la dge ba rtsa ba skyed nas log ba lta ba shes ba kun byung ba shes ba yang dag ba grub ba dang 
BO_K10_D0099_H0102:81a-4	khyim bdag / gzhan yang de bzhin gshegs pas 'di ltar rab tu mkhyen te /	khyim bdag gzhan yang de bzhin gshegs ba di ltar rab tu mkhyen te 
BO_K10_D0099_H0102:81a-5	rgyu gang dang / rkyen gang dag gis log par lta ba shes pa kun 'byung ba shes pa yang dag par 'grub pa de /	rgyu gang dang rkyen gang dag gis log ba lta ba shes ba kun byung ba shes ba yang dag ba grub ba de 
BO_K10_D0099_H0102:81a-6	de bzhin gshegs pas yang dag pa ji lta ba bzhin rab tu mkhyen te /	de bzhin gshegs ba yang dag ba ji lta ba bzhin rab tu mkhyen te 
BO_K10_D0099_H0102:81a-7	gal te mi rtag par rjes su blta bar gnas pa nas de bzhin du sbyar te thams cad la'ang bya'o //	gal te mi rtag ba rjes su lta ba gnas ba nas de bzhin du sbyor te thams cad la byed 
BO_K10_D0099_H0102:81a-8	khyim bdag / ji ltar na /	khyim bdag ji ltar na 
BO_K10_D0099_H0102:81a-9	de bzhin gshegs pas 'das pa'i khams shes pa yang dag pa ji lta ba bzhin rab tu mkhyen ce na /	de bzhin gshegs ba da ba khams shes ba yang dag ba ji lta ba bzhin rab tu mkhyen ce na 
BO_K10_D0099_H0102:81b-0	khyim bdag / 'di la de bzhin gshegs pas 'das pa'i khams su gyur pa byung ba dang / skyes pa dang / kun nas skyes pa dang / shin tu byung ba dang / rab tu byung ba @81b dang / 'das pa'i char gyur pa dang /	khyim bdag di la de bzhin gshegs ba da ba khams su gyur ba byung ba dang skye ba dang kun nas skye ba dang shin tu byung ba dang rab tu byung ba dang da ba char gyur ba dang 
BO_K10_D0099_H0102:81b-1	'das pa'i rgyud ma chad pa dang / 'das pa'i dus kyis bzung ba gang yin pa 'di ni /	da ba brgyud ma chad ba dang da ba dus kyis bzung ba gang yin ba di ni 
BO_K10_D0099_H0102:81b-2	'das pa'i khams zhes bya ste /	da ba khams zhes byed ste 
BO_K10_D0099_H0102:81b-3	de de bzhin gshegs pas rab tu mkhyen to //	de de bzhin gshegs ba rab tu mkhyen to 
BO_K10_D0099_H0102:81b-4	de bzhin gshegs pa 'das pa'i khams shes pa de la'ang zhu ba zhus pa na bskal par lan gsung ba nas de bzhin du sbyar te /	de bzhin gshegs ba da ba khams shes ba de la ju ba zhus ba na bskal ba lan gsung ba nas de bzhin du sbyor te 
BO_K10_D0099_H0102:81b-5	de ni tsandan gyi khyams dang / khang bzang gi bar 'di la longs spyod bar 'gyur ro //	de ni tsandan gyi khyams dang khang bzang gi ba di la longs spyod ba gyur ro 
BO_K10_D0099_H0102:81b-6	khyim bdag / ji ltar na /	khyim bdag ji ltar na 
BO_K10_D0099_H0102:81b-7	de bzhin gshegs pas 'das pa'i khams shes pa kun 'byung ba shes pa yang dag pa ji lta ba bzhin rab tu mkhyen ce na /	de bzhin gshegs ba da ba khams shes ba kun byung ba shes ba yang dag ba ji lta ba bzhin rab tu mkhyen ce na 
