segmentnr	original	stemmed
BO_K10_D0175_H0176:181b-9	de ni sgo'i tshig go /	de ni sgo tshig go 
BO_K10_D0175_H0176:181b-10	de ni kha'i tshig go /	de ni kha tshig go 
BO_K10_D0175_H0176:181b-11	de ni rgyu'i tshig go /	de ni rgyu tshig go 
BO_K10_D0175_H0176:181b-12	de ni rkyen gyi tshig go /	de ni rkyen gyi tshig go 
BO_K10_D0175_H0176:181b-13	de ni mi 'gog pa'i tshig go /	de ni mi gog ba tshig go 
BO_K10_D0175_H0176:181b-14	de ni mi 'gal ba'i tshig go /	de ni mi gal ba tshig go 
BO_K10_D0175_H0176:181b-15	de ni btang snyoms kyi tshig go /	de ni gtong snyom kyi tshig go 
BO_K10_D0175_H0176:181b-16	de ni len pa med pa'i tshig go /	de ni len ba med ba tshig go 
BO_K10_D0175_H0176:181b-17	de ni dor ba med pa'i tshig go /	de ni dor ba med ba tshig go 
BO_K10_D0175_H0176:181b-18	de ni rkyen med pa'i tshig go /	de ni rkyen med ba tshig go 
BO_K10_D0175_H0176:181b-19	de ni rten pa med pa'i tshig go /	de ni rten ba med ba tshig go 
BO_K10_D0175_H0176:181b-20	de ni mi gnas pa'i tshig go /	de ni mi gnas ba tshig go 
BO_K10_D0175_H0176:181b-21	de ni ma g-yos pa'i tshig go /	de ni ma g-yos ba tshig go 
BO_K10_D0175_H0176:182a-0	de ni rnam par ma g-yos @182a *//	de ni rnam ba ma g-yos 
BO_K10_D0175_H0176:182a-1	pa'i tshig go /	ba tshig go 
BO_K10_D0175_H0176:182a-2	de ni sgro btags pa med pa'i tshig go /	de ni sgro dogs ba med ba tshig go 
BO_K10_D0175_H0176:182a-3	de ni mnyam pa nyid kyi tshig go /	de ni mnyam ba nyid kyi tshig go 
BO_K10_D0175_H0176:182a-4	don ma mnyam pa med pa'i tshig go /	don ma mnyam ba med ba tshig go 
BO_K10_D0175_H0176:182a-5	de ni bden pa'i tshig go /	de ni bden ba tshig go 
BO_K10_D0175_H0176:182a-6	de ni yang dag pa'i tshig go /	de ni yang dag ba tshig go 
BO_K10_D0175_H0176:182a-7	de ni mi 'gyur ba'i tshig go /	de ni mi gyur ba tshig go 
BO_K10_D0175_H0176:182a-8	de ni phyir bya ba med pa'i tshig go /	de ni phyir byed ba med ba tshig go 
BO_K10_D0175_H0176:182a-9	de ni zhi ba'i tshig go /	de ni zhi ba tshig go 
BO_K10_D0175_H0176:182a-10	de ni rab tu zhi ba'i tshig go /	de ni rab tu zhi ba tshig go 
