segmentnr	original	folio	stemmed
BO_K08_D0056_H0056:112a-4	de dag zhi bar bya ba dang / nye bar zhi bar bya ba dang / spong bar bya ba'i phyir de bzhin gshegs pa chos ston to //	112a	de dag zhi ba byed ba dang nye ba zhi ba byed ba dang spong ba byed ba phyir de bzhin gshegs ba chos ston to 
BO_K08_D0056_H0056:112a-5	de bzhin gshegs pa'i mi 'jigs pa de yang 'khor thams cad shes par byed pa /	112a	de bzhin gshegs ba mi jigs ba de yang khor thams cad shes ba byed ba 
BO_K08_D0056_H0056:112a-6	'khor thams cad mgu bar byed pa /	112a	khor thams cad mgu ba byed ba 
BO_K08_D0056_H0056:112a-7	'khor thams cad kyi lus sim par byed pa /	112a	khor thams cad kyi lus sim ba byed ba 
BO_K08_D0056_H0056:112a-8	'khor thams cad kyi sems tshim pa skyed pa /	112a	khor thams cad kyi sems tshim ba skyed ba 
BO_K08_D0056_H0056:112a-9	'khor thams cad dga' ba dang / rab tu dga' ba dang / dad pa bskyed pa dang / snying rje chen pos sbyor ba /	112a	khor thams cad dga ba dang rab tu dga ba dang dad ba skyed ba dang snying rje chen pos sbyor ba 
BO_K08_D0056_H0056:112a-10	de bzhin nyid kyis mnyam pa /	112a	de bzhin nyid kyis mnyam ba 
BO_K08_D0056_H0056:112a-11	de kho na nyid /	112a	de kho na nyid 
BO_K08_D0056_H0056:112a-12	de bzhin nyid /	112a	de bzhin nyid 
BO_K08_D0056_H0056:112a-13	gzhan ma yin pa nyid /	112a	gzhan ma yin ba nyid 
BO_K08_D0056_H0056:112a-14	mi 'gyur ba nyid /	112a	mi gyur ba nyid 
BO_K08_D0056_H0056:112a-15	mi 'khrugs pa nyid /	112a	mi khrugs ba nyid 
BO_K08_D0056_H0056:112a-16	'byung ba med pa nyid /	112a	byung ba med ba nyid 
BO_K08_D0056_H0056:112a-17	'jig pa med pa nyid /	112a	jig ba med ba nyid 
BO_K08_D0056_H0056:112a-18	rtsod pa med pa nyid /	112a	rtsod ba med ba nyid 
BO_K08_D0056_H0056:112a-19	de bzhin gshegs pa'i mi 'jigs pa la rtsod pa gang yang med do //	112a	de bzhin gshegs ba mi jigs ba la rtsod ba gang yang med do 
BO_K08_D0056_H0056:112a-20	de bzhin gshegs pa'i mi 'jigs pa ni rtsod pa med pa /	112a	de bzhin gshegs ba mi jigs ba ni rtsod ba med ba 
BO_K08_D0056_H0056:112a-21	'thab pa med pa'o //	112a	thab ba med ba 
BO_K08_D0056_H0056:112a-22	de bzhin nyid dang mnyam zhing chos kyi dbyings ngos mnyam pa /	112a	de bzhin nyid dang mnyam zhing chos kyi dbyings ngos mnyam ba 
BO_K08_D0056_H0056:112a-23	'jig rten gyi khams rab 'byams ma lus pa thams cad la thogs pa med do //	112a	jig rten gyi khams rab byam ma lus ba thams cad la thogs ba med do 
BO_K08_D0056_H0056:112a-24	de ltar de bzhin gshegs pa tshad med /	112a	de ltar de bzhin gshegs ba tshad med 
BO_K08_D0056_H0056:112a-25	grangs med / bsam gyis mi khyab /	112a	grangs med bsam gyis mi khyab 
BO_K08_D0056_H0056:112a-26	gzhal du med /	112a	jal du med 
BO_K08_D0056_H0056:112b-0	brjod du @112b med pa'i chos dang ldan zhing snying rje chen pos yang dag par zin pa'i sems kyi bar du gcod pa'i chos rnams zhi bar bya ba dang / spang bar bya ba'i phyir chos ston to //	112b	rjod du med ba chos dang ldan zhing snying rje chen pos yang dag ba zin ba sems kyi ba du gcod ba chos rnams zhi ba byed ba dang spong ba byed ba phyir chos ston to 
BO_K08_D0056_H0056:112b-1	de ltar sh'a ri'i bu /	112b	de ltar sha ri bu 
BO_K08_D0056_H0056:112b-2	de bzhin gshegs pa'i mi 'jigs pa mtha' yas mu med pa nas gang de bzhin gshegs pa'i mi 'jigs pa'i mtha' 'dod pa de nam mkha'i mtha' 'dod pa zhes bya ba'i bar du ste /	112b	de bzhin gshegs ba mi jigs ba mtha yas mu med ba nas gang de bzhin gshegs ba mi jigs ba mtha dod ba de nam mkha mtha dod ba zhes byed ba ba du ste 
BO_K08_D0056_H0056:112b-3	byang chub sems dpa' de bzhin gshegs pa'i mi 'jigs pa bsam gyis mi khyab pa de thos nas mngon par dad /	112b	byang chub sems dpa de bzhin gshegs ba mi jigs ba bsam gyis mi khyab ba de thos nas mngon ba dad 
BO_K08_D0056_H0056:112b-4	yid ches / rab tu rtog /	112b	yid ches rab tu rtogs 
BO_K08_D0056_H0056:112b-5	so ma nyi med /	112b	so ma nyi med 
BO_K08_D0056_H0056:112b-6	the tshom mi za ba nas ngo mtshar dang / rmad kyi bar du 'du shes bskyed do //	112b	the tshom mi za ba nas ngo mtshar dang rmad kyi ba du du shes skyed do 
BO_K08_D0056_H0056:112b-7	sh'a ri'i bu /	112b	sha ri bu 
BO_K08_D0056_H0056:112b-8	'di ni de bzhin gshegs pa'i mi 'jigs pa gsum pa ste /	112b	di ni de bzhin gshegs ba mi jigs ba gsum ba ste 
